wl T cache kv rep1 rep2 rep3 rep4 rep5 median_mops max_mops
workloada 4 on 512 1551157 5879 5879 3014 5879 0.0059 1.5512
workloada 16 on 512 5577244 24185 6843690 5524251 24603 5.5243 6.8437
workloada 32 on 512 9240436 50574 9221689 9272997 9216589 9.2217 9.2730
workloada 64 on 512 13444474 13433637 16388069 12810658 95814 13.4336 16.3881
workloada 32 on 1024 7441583 60695 8680555 27646 7672241 7.4416 8.6806
workloada 64 on 1024 122862 119908 13564839 13273161 95803 0.1229 13.5648
workloada 2 off 512 830702 829600 831531 835100 861549 0.8315 0.8615
workloada 4 off 512 5879 1743618 1658154 5879 5879 0.0059 1.7436
workloada 8 off 512 12078 3110419 6105 12078 3390750 0.0121 3.3908
workloada 2 off 1024 797575 2988 1679 796216 792732 0.7927 0.7976
workloada 16 off 1024 4739336 31099 6084945 5562972 5113520 5.1135 6.0849
workloadb 4 on 256 2256215 3735 2250630 2286550 2233040 2.2506 2.2866
workloadb 4 on 512 2089340 3190 2126935 2123953 3015 2.0893 2.1269
workloadb 64 on 512 47775 47775 11862396 48005 48005 0.0480 11.8624
workloadb 2 on 1024 1152286 1139834 1139757 1137009 1141995 1.1398 1.1523
workloadb 4 off 512 2266443 2285296 4020 1072225 1254453 1.2545 2.2853
workloadb 16 off 512 5801810 6045218 5817335 5933309 6147792 5.9333 6.1478
workloadc 32 on 256 6607638 7939028 7241129 6293266 6475006 6.6076 7.9390
workloadc 64 on 256 11299435 11337868 10510826 11431184 10792143 11.2994 11.4312
workloadc 64 on 512 10633772 11899095 10040160 11392116 11299435 11.2994 11.8991
workloadc 2 off 512 46076 1100424 1100739 1515 1106610 1.1004 1.1066
workloadc 4 off 512 2177984 2165814 3016 2150722 2178839 2.1658 2.1788
workloadc 16 off 512 5860290 5753739 5822077 5800464 5941064 5.8221 5.9411
workloadc 32 off 512 6764984 6658676 6496881 7128599 6605892 6.6587 7.1286
workloadc 4 off 1024 2185028 2317067 2364401 2266340 2274588 2.2746 2.3644
workloadc 64 off 1024 10604453 62394 11361054 10857763 59431 10.6045 11.3611
workloadd 2 on 256 924932 922679 846453 30069 922628 0.9226 0.9249
workloadd 4 off 512 1781070 1653165 3934 3695 3930 0.0039 1.7811
workloadf 2 on 512 3920 4251 4251 2229 1464 0.0039 0.0043
workloadf 8 on 512 3628710 16784 3610368 16784 16784 0.0168 3.6287
workloadf 2 off 512 16557 1454 908001 2229 1464 0.0022 0.9080
workloadf 4 off 512 4497 2975 8752 2975 4497 0.0045 0.0088
workloadf 16 off 512 6103515 11649 6250781 7043245 6290890 6.2508 7.0432
workloadf 32 off 512 8451656 7729169 8131403 23826 8404773 8.1314 8.4517
workloadf 64 off 512 12953367 14192449 73873 11731581 13873473 12.9534 14.1924
workloadf 16 off 1024 5016554 23340 30638 5001000 5109339 5.0010 5.1093
workloadf 32 off 1024 6771397 47906 47677 47908 26689 0.0479 6.7714
