[A:thread] Worker pinned host=1 client=1 -> cpu=1 (pid=62407)
[A:thread] Worker pinned host=1 client=2 -> cpu=2 (pid=62408)
[A:thread] Worker pinned host=1 client=3 -> cpu=3 (pid=62409)
[A:thread] Worker pinned host=1 client=4 -> cpu=4 (pid=62410)
[A:thread] Worker pinned host=1 client=5 -> cpu=5 (pid=62411)
[A:thread] Worker pinned host=1 client=6 -> cpu=6 (pid=62412)
[A:thread] Worker pinned host=1 client=7 -> cpu=7 (pid=62413)
[A:thread] Worker pinned host=1 client=8 -> cpu=8 (pid=62414)
[A:thread] Worker pinned host=1 client=9 -> cpu=9 (pid=62415)
[A:thread] Worker pinned host=1 client=10 -> cpu=10 (pid=62416)
[A:thread] Worker pinned host=1 client=11 -> cpu=11 (pid=62417)
[A:thread] Worker pinned host=1 client=12 -> cpu=12 (pid=62418)
[A:thread] Worker pinned host=1 client=13 -> cpu=13 (pid=62419)
[A:thread] Worker pinned host=1 client=14 -> cpu=14 (pid=62420)
[A:thread] Worker pinned host=1 client=15 -> cpu=15 (pid=62421)
[A:thread] Worker pinned host=1 client=16 -> cpu=16 (pid=62422)
[A:thread] Worker pinned host=1 client=17 -> cpu=17 (pid=62423)
[A:thread] Worker pinned host=1 client=18 -> cpu=18 (pid=62424)
[A:thread] Worker pinned host=1 client=19 -> cpu=19 (pid=62425)
[A:thread] Worker pinned host=1 client=20 -> cpu=20 (pid=62426)
[A:thread] Worker pinned host=1 client=21 -> cpu=21 (pid=62427)
[A:thread] Worker pinned host=1 client=22 -> cpu=22 (pid=62428)
[A:thread] Worker pinned host=1 client=23 -> cpu=23 (pid=62429)
[A:thread] Worker pinned host=1 client=24 -> cpu=24 (pid=62430)
[A:thread] Worker pinned host=1 client=25 -> cpu=25 (pid=62431)
[A:thread] Worker pinned host=1 client=26 -> cpu=26 (pid=62432)
[A:thread] Worker pinned host=1 client=27 -> cpu=27 (pid=62433)
[A:thread] Worker pinned host=1 client=28 -> cpu=28 (pid=62434)
[A:thread] Worker pinned host=1 client=29 -> cpu=29 (pid=62435)
[A:thread] Worker pinned host=1 client=30 -> cpu=30 (pid=62436)
[A:thread] Worker pinned host=1 client=31 -> cpu=31 (pid=62437)
[A:thread] Worker pinned host=1 client=32 -> cpu=32 (pid=62438)
[A:thread] Worker pinned host=1 client=33 -> cpu=33 (pid=62439)
[A:thread] Worker pinned host=1 client=34 -> cpu=34 (pid=62440)
[A:thread] Worker pinned host=1 client=35 -> cpu=35 (pid=62441)
[A:thread] Worker pinned host=1 client=36 -> cpu=36 (pid=62442)
[A:thread] Worker pinned host=1 client=37 -> cpu=37 (pid=62443)
[A:thread] Worker pinned host=1 client=38 -> cpu=38 (pid=62444)
[A:thread] Worker pinned host=1 client=39 -> cpu=39 (pid=62445)
[A:thread] Worker pinned host=1 client=40 -> cpu=40 (pid=62446)
[A:thread] Worker pinned host=1 client=41 -> cpu=41 (pid=62447)
[A:thread] Worker pinned host=1 client=42 -> cpu=42 (pid=62448)
[A:thread] Worker pinned host=1 client=43 -> cpu=43 (pid=62449)
[A:thread] Worker pinned host=1 client=44 -> cpu=44 (pid=62450)
[A:thread] Worker pinned host=1 client=45 -> cpu=45 (pid=62451)
[A:thread] Worker pinned host=1 client=46 -> cpu=46 (pid=62452)
[A:thread] Worker pinned host=1 client=47 -> cpu=47 (pid=62453)
[A:thread] Worker pinned host=1 client=48 -> cpu=48 (pid=62454)
[A:thread] Worker pinned host=1 client=49 -> cpu=49 (pid=62455)
[A:thread] Worker pinned host=1 client=50 -> cpu=50 (pid=62456)
[A:thread] Worker pinned host=1 client=51 -> cpu=51 (pid=62457)
[A:thread] Worker pinned host=1 client=52 -> cpu=52 (pid=62458)
[A:thread] Worker pinned host=1 client=53 -> cpu=53 (pid=62459)
[A:thread] Worker pinned host=1 client=54 -> cpu=54 (pid=62460)
[A:thread] Worker pinned host=1 client=55 -> cpu=55 (pid=62461)
[A:thread] Worker pinned host=1 client=56 -> cpu=56 (pid=62462)
[A:thread] Worker pinned host=1 client=57 -> cpu=57 (pid=62463)
[A:thread] Worker pinned host=1 client=58 -> cpu=58 (pid=62464)
[A:thread] Worker pinned host=1 client=59 -> cpu=59 (pid=62465)
[A:thread] Worker pinned host=1 client=60 -> cpu=60 (pid=62466)
[A:thread] Worker pinned host=1 client=61 -> cpu=61 (pid=62467)
[A:thread] Worker pinned host=1 client=62 -> cpu=62 (pid=62468)
[A:thread] Worker pinned host=1 client=0 -> cpu=0 (pid=62383)
[A:thread] WriteReceiver pid=62383 tid=139672925079232 pinned cpu=65 (host_id=1)
[A:thread] ReadReceiver pid=62383 tid=139672916686528 pinned cpu=67 (host_id=1)
[A:thread] Worker pinned host=1 client=63 -> cpu=63 (pid=62469)
[A:thread] InvalReceiver pid=62383 tid=139672908293824 pinned cpu=69 (host_id=1)
[A:thread] WriteSender pid=62383 tid=139672899901120 pinned cpu=64 (host_id=1)
[A:sender] kind=0 policy=P0 K=16 T_us=100 host_id=1
[A:thread] ReadSender pid=62383 tid=139672755893952 pinned cpu=66 (host_id=1)
[A:sender] kind=1 policy=P0 K=16 T_us=100 host_id=1
[A:thread] InvalSender pid=62383 tid=139672806225600 pinned cpu=68 (host_id=1)
[A:sender] kind=2 policy=P0 K=16 T_us=100 host_id=1
[A:tls] worker host=1 client=51 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=39 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=37 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=15 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=8 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=35 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=11 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=10 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=52 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=32 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=16 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=46 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=45 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=3 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=49 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=7 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=12 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=50 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=48 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=43 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=28 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=4 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=19 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=5 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=34 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=26 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=21 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=47 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=6 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=24 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=1 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=17 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=56 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=44 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=30 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=13 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=38 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=53 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=18 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=40 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=42 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=25 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=9 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=27 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=41 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=55 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=14 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=59 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=29 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=36 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=54 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=31 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=20 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=33 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=22 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=23 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=2 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=57 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=58 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=0 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=60 entries=1024 (~1088 KiB)
