cell	rep	trans_agg_thpt	w_p99_ns	r_p99_ns	first_op_ns_max	first_op_ns_avg	ops_to_first_ns_max	ops_to_first_ns_avg
workloada_T4_on_kv512	1	1472970	19706	16395	73061	31393	93074	39369
workloada_T4_on_kv512	2	1468515	18671	15865	48734	24032	77860	32608
workloada_T4_on_kv512	3	1439428	20285	15131	51865	24138	89392	34463
workloada_T4_on_kv512	4	1427837	21672	16123	44979	25303	74274	33186
workloada_T4_on_kv512	5	1555258	18943	15816	41405	17284	71646	31034
workloada_T4_on_kv512	6	1614517	18274	15385	47350	16784	506896	120119
workloada_T4_on_kv512	7	1604981	18494	15096	39185	14672	463199	107771
workloada_T4_on_kv512	8	6165	21549	18170	39367	15091	443848	109273
workloada_T4_on_kv512	9	5879	20748	16135	41592	15434	454489	115211
workloada_T4_on_kv512	10	1747213	17742	15147	51821	15750	473657	114662
workloada_T4_on_kv512	11	1738767	17158	14588	39131	14183	467500	113816
workloada_T4_on_kv512	12	1728608	17364	15161	44149	14980	468529	109012
workloada_T4_on_kv512	13	1670174	18407	15518	55054	16901	504300	120680
workloada_T4_on_kv512	14	1741068	17773	15728	38578	14499	486278	109987
workloada_T4_on_kv512	15	5879	17540	17130	38143	15904	482014	117356
workloada_T4_on_kv512	16	1745810	16761	15510	39238	15196	212442	78995
workloada_T4_on_kv512	17	6165	19250	16821	47998	16258	468157	115328
workloada_T4_on_kv512	18	6165	19890	15000	40034	14718	476411	108872
workloada_T4_on_kv512	19	1569316	19074	14526	51995	16211	491403	114598
workloada_T4_on_kv512	20	6166	18010	15940	39250	14320	481422	110068
workloada_T64_on_kv1024	1	13408420	89509	91210	301132	45069	461059	83568
workloada_T64_on_kv1024	2	13280212	105308	49908	120369	35722	195444	61040
workloada_T64_on_kv1024	3	95805	49804	34544	128744	34782	167489	56656
workloada_T64_on_kv1024	4	13157894	118966	43335	118966	31517	150346	54484
workloada_T64_on_kv1024	5	122865	80025	81910	345540	38196	391305	63995
workloada_T64_on_kv1024	6	12245897	76186	60178	236651	37105	238698	60866
