[A:thread] Worker pinned host=1 client=1 -> cpu=1 (pid=254711)
[A:thread] Worker pinned host=1 client=2 -> cpu=2 (pid=254712)
[A:thread] Worker pinned host=1 client=3 -> cpu=3 (pid=254713)
[A:thread] Worker pinned host=1 client=4 -> cpu=4 (pid=254714)
[A:thread] Worker pinned host=1 client=5 -> cpu=5 (pid=254715)
[A:thread] Worker pinned host=1 client=6 -> cpu=6 (pid=254716)
[A:thread] Worker pinned host=1 client=7 -> cpu=7 (pid=254717)
[A:thread] Worker pinned host=1 client=8 -> cpu=8 (pid=254718)
[A:thread] Worker pinned host=1 client=9 -> cpu=9 (pid=254719)
[A:thread] Worker pinned host=1 client=10 -> cpu=10 (pid=254720)
[A:thread] Worker pinned host=1 client=11 -> cpu=11 (pid=254721)
[A:thread] Worker pinned host=1 client=12 -> cpu=12 (pid=254722)
[A:thread] Worker pinned host=1 client=13 -> cpu=13 (pid=254723)
[A:thread] Worker pinned host=1 client=14 -> cpu=14 (pid=254724)
[A:thread] Worker pinned host=1 client=15 -> cpu=15 (pid=254725)
[A:thread] Worker pinned host=1 client=16 -> cpu=16 (pid=254726)
[A:thread] Worker pinned host=1 client=17 -> cpu=17 (pid=254727)
[A:thread] Worker pinned host=1 client=18 -> cpu=18 (pid=254728)
[A:thread] Worker pinned host=1 client=19 -> cpu=19 (pid=254729)
[A:thread] Worker pinned host=1 client=20 -> cpu=20 (pid=254730)
[A:thread] Worker pinned host=1 client=21 -> cpu=21 (pid=254731)
[A:thread] Worker pinned host=1 client=22 -> cpu=22 (pid=254732)
[A:thread] Worker pinned host=1 client=23 -> cpu=23 (pid=254733)
[A:thread] Worker pinned host=1 client=24 -> cpu=24 (pid=254734)
[A:thread] Worker pinned host=1 client=25 -> cpu=25 (pid=254735)
[A:thread] Worker pinned host=1 client=26 -> cpu=26 (pid=254736)
[A:thread] Worker pinned host=1 client=27 -> cpu=27 (pid=254737)
[A:thread] Worker pinned host=1 client=28 -> cpu=28 (pid=254738)
[A:thread] Worker pinned host=1 client=29 -> cpu=29 (pid=254739)
[A:thread] Worker pinned host=1 client=30 -> cpu=30 (pid=254740)
[A:thread] Worker pinned host=1 client=31 -> cpu=31 (pid=254741)
[A:thread] Worker pinned host=1 client=32 -> cpu=32 (pid=254742)
[A:thread] Worker pinned host=1 client=33 -> cpu=33 (pid=254743)
[A:thread] Worker pinned host=1 client=34 -> cpu=34 (pid=254744)
[A:thread] Worker pinned host=1 client=35 -> cpu=35 (pid=254745)
[A:thread] Worker pinned host=1 client=36 -> cpu=36 (pid=254746)
[A:thread] Worker pinned host=1 client=37 -> cpu=37 (pid=254747)
[A:thread] Worker pinned host=1 client=38 -> cpu=38 (pid=254748)
[A:thread] Worker pinned host=1 client=39 -> cpu=39 (pid=254749)
[A:thread] Worker pinned host=1 client=40 -> cpu=40 (pid=254750)
[A:thread] Worker pinned host=1 client=41 -> cpu=41 (pid=254751)
[A:thread] Worker pinned host=1 client=42 -> cpu=42 (pid=254752)
[A:thread] Worker pinned host=1 client=43 -> cpu=43 (pid=254753)
[A:thread] Worker pinned host=1 client=44 -> cpu=44 (pid=254754)
[A:thread] Worker pinned host=1 client=45 -> cpu=45 (pid=254755)
[A:thread] Worker pinned host=1 client=46 -> cpu=46 (pid=254756)
[A:thread] Worker pinned host=1 client=47 -> cpu=47 (pid=254757)
[A:thread] Worker pinned host=1 client=48 -> cpu=48 (pid=254758)
[A:thread] Worker pinned host=1 client=49 -> cpu=49 (pid=254759)
[A:thread] Worker pinned host=1 client=50 -> cpu=50 (pid=254760)
[A:thread] Worker pinned host=1 client=52 -> cpu=52 (pid=254762)
[A:thread] Worker pinned host=1 client=51 -> cpu=51 (pid=254761)
[A:thread] Worker pinned host=1 client=53 -> cpu=53 (pid=254763)
[A:thread] Worker pinned host=1 client=54 -> cpu=54 (pid=254764)
[A:thread] Worker pinned host=1 client=55 -> cpu=55 (pid=254765)
[A:thread] Worker pinned host=1 client=56 -> cpu=56 (pid=254766)
[A:thread] Worker pinned host=1 client=57 -> cpu=57 (pid=254767)
[A:thread] Worker pinned host=1 client=58 -> cpu=58 (pid=254768)
[A:thread] Worker pinned host=1 client=59 -> cpu=59 (pid=254769)
[A:thread] Worker pinned host=1 client=60 -> cpu=60 (pid=254770)
[A:thread] Worker pinned host=1 client=61 -> cpu=61 (pid=254771)
[A:thread] Worker pinned host=1 client=0 -> cpu=0 (pid=254710)
[A:thread] Worker pinned host=1 client=62 -> cpu=62 (pid=254772)
[A:thread] Worker pinned host=1 client=63 -> cpu=63 (pid=254773)
[A:thread] WriteSender pid=254710 tid=139962983892672 pinned cpu=64 (host_id=1)
[A:sender] kind=0 policy=P0 K=16 T_us=100 host_id=1
[A:thread] WriteReceiver pid=254710 tid=139963009070784 pinned cpu=65 (host_id=1)
[A:thread] ReadReceiver pid=254710 tid=139963000678080 pinned cpu=67 (host_id=1)
[A:thread] InvalReceiver pid=254710 tid=139962992285376 pinned cpu=69 (host_id=1)
[A:thread] ReadSender pid=254710 tid=139962975499968 pinned cpu=66 (host_id=1)
[A:sender] kind=1 policy=P0 K=16 T_us=100 host_id=1
[A:thread] InvalSender pid=254710 tid=139962967107264 pinned cpu=68 (host_id=1)
[A:sender] kind=2 policy=P0 K=16 T_us=100 host_id=1
[A:tls] worker host=1 client=4 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=0 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=20 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=36 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=12 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=27 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=32 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=34 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=18 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=8 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=42 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=26 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=7 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=31 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=1 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=41 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=24 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=28 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=14 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=11 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=9 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=6 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=44 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=40 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=38 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=33 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=13 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=46 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=48 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=37 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=16 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=49 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=53 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=17 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=43 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=39 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=21 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=22 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=30 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=25 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=2 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=47 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=45 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=23 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=5 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=19 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=29 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=35 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=3 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=10 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=51 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=15 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=50 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=55 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=56 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=54 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=52 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=57 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=59 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=58 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=60 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=62 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=61 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=63 entries=1024 (~1088 KiB)
