cell	rep	trans_agg_thpt	w_p99_ns	r_p99_ns	first_op_ns_max	first_op_ns_avg	ops_to_first_ns_max	ops_to_first_ns_avg
workloada_T4_on_kv512	1	1603694	17672	17997	38226	15903	552506	124647
workloada_T4_on_kv512	2	365566	5011003	16590	39923	14461	474823	109877
workloada_T4_on_kv512	3	1610928	18133	15781	38778	15376	149538	66934
workloada_T4_on_kv512	4	1598772	18079	16467	51066	15803	479111	111266
workloada_T4_on_kv512	5	1600819	21255	15253	40934	15135	453135	106148
workloada_T4_on_kv512	6	1557729	19517	15375	52112	16934	468287	118303
workloada_T4_on_kv512	7	1605600	17882	15558	35875	14715	473001	112831
workloada_T4_on_kv512	8	1581277	19903	15560	42801	14903	458399	113940
workloada_T4_on_kv512	9	1565876	19338	14801	49092	17372	485415	116974
workloada_T4_on_kv512	10	1566465	19222	15889	43937	15845	469170	112613
workloada_T4_on_kv512	11	1583330	20711	14183	46079	15630	468978	111630
workloada_T4_on_kv512	12	1613475	18576	15442	44945	15198	475945	110169
workloada_T4_on_kv512	13	1560598	18697	16763	46333	15438	473503	110762
workloada_T4_on_kv512	14	1609372	20341	15477	38318	14651	148801	68586
workloada_T4_on_kv512	15	1626122	17692	16475	41903	15768	190939	72468
workloada_T4_on_kv512	16	1570006	18891	15115	75014	20307	154610	74208
workloada_T4_on_kv512	17	1620903	18036	13565	39953	14395	495869	109709
workloada_T4_on_kv512	18	1603849	18481	16318	40154	15090	487531	124559
workloada_T4_on_kv512	19	1593981	20443	15889	38316	15017	147935	66025
workloada_T4_on_kv512	20	1609735	21210	15486	38841	14751	466511	106349
workloada_T64_on_kv1024	1	13206550	92746	41977	171092	37065	542443	64075
workloada_T64_on_kv1024	2	119885	61250	87195	394299	38988	465500	62825
workloada_T64_on_kv1024	3	12088974	52714	48615	143900	34618	511540	60608
workloada_T64_on_kv1024	4	95794	69370	49841	624621	42671	680330	66865
workloada_T64_on_kv1024	5	95792	106436	48399	418302	39992	509816	63015
workloada_T64_on_kv1024	6	13089005	130018	51286	122245	35701	261683	61856
workloada_T64_on_kv1024	7	13044612	71535	53391	74397	31607	248142	57274
workloada_T64_on_kv1024	8	12690355	117400	94795	127724	37567	148374	61423
workloada_T64_on_kv1024	9	12413108	66439	37368	145720	32970	152452	57600
workloada_T64_on_kv1024	10	122836	50498	71421	384772	33143	455882	57911
workloada_T64_on_kv1024	11	122841	71791	46864	251495	34263	329107	57711
workloada_T64_on_kv1024	12	95793	51179	36092	76630	30063	130613	50462
workloada_T64_on_kv1024	13	95791	53430	37793	500207	41252	526584	62251
workloada_T64_on_kv1024	14	122837	61342	32391	636834	42997	649079	66450
workloada_T64_on_kv1024	15	95783	66992	37587	483681	35526	502035	54900
workloada_T64_on_kv1024	16	11865211	71107	62750	477913	34527	505830	54698
workloada_T64_on_kv1024	17	13422818	69709	38938	109058	34472	123489	55942
workloada_T64_on_kv1024	18	53944	73305	41977	229927	34075	313646	58512
workloada_T64_on_kv1024	19	12856775	67642	59406	80669	31440	124482	51651
workloada_T64_on_kv1024	20	13605442	119396	61816	134468	36458	191034	63957
workloadb_T64_on_kv512	1	10631511	59853	33467	491606	27627	583820	56275
workloadb_T64_on_kv512	2	10704345	138445	35003	63826	24611	190741	52422
workloadb_T64_on_kv512	3	10838933	50174	31652	348920	26426	349946	52171
