| Stage | N | p50 µs | p90 µs | p99 µs | max µs | mean µs |
|---|---|---|---|---|---|---|
| W1 | 150567 | 0.801 | 4.783 | 46.397 | 1918.797 | 4.068 |
| W2 | 150555 | 0.146 | 0.320 | 2.511 | 100.597 | 0.257 |
| W3 | 150555 | 0.027 | 0.145 | 2.587 | 223.042 | 0.165 |
| W7 | 150555 | 0.045 | 0.051 | 2.375 | 74.986 | 0.118 |
| W8 | 150555 | 0.029 | 0.030 | 1.713 | 954.036 | 0.159 |
| W9 | 150555 | 0.021 | 0.024 | 0.096 | 132.229 | 0.054 |
| W10 | 150555 | 3.820 | 15.352 | 27.232 | 248.034 | 7.031 |
| W12 | 150507 | 0.565 | 3.230 | 14.294 | 20032.047 | 5.236 |
| R1 | 100074 | 7.284 | 11.003 | 17.798 | 159.626 | 5.413 |
| R2hit | 64927 | 0.086 | 0.212 | 0.427 | 78.328 | 0.152 |
| R2miss | 15845 | 2.930 | 5.557 | 8.539 | 108.353 | 3.512 |
| R3 | 156 | 11.965 | 15.097 | 5019.829 | 5020.970 | 108.621 |
| R4 | 137 | 0.317 | 0.510 | 0.758 | 7.138 | 0.358 |
| R6 | 99665 | 0.964 | 2.272 | 6.234 | 25040.125 | 16.267 |
| R0_tls_h | 19302 | 0.031 | 0.039 | 0.460 | 69.281 | 0.076 |
