rep	wall_s	thpt_mops	w_avg_us	r_avg_us
1	0.037783	1.323346	9.087	4.004
2	0.037857	1.320724	9.152	4.025
3	TIMEOUT	0.000000	0.000	0.000
4	0.034726	1.439801	8.444	3.710
5	8.507994	0.005876	7.783	3.526
6	0.032512	1.537846	7.881	3.239
7	8.508810	0.005876	8.011	3.323
8	0.032509	1.537988	7.889	3.247
9	0.143258	0.349020	33.032	3.257
10	8.508341	0.005876	7.865	3.239
11	8.628326	0.005794	42.380	3.180
12	0.032509	1.538035	7.927	3.277
13	TIMEOUT	0.000000	0.000	0.000
14	8.508368	0.005876	7.862	3.204
15	8.508497	0.005876	7.840	3.229
16	0.032758	1.526344	8.026	3.315
17	0.032592	1.534118	7.994	3.331
18	8.583476	0.005825	30.868	3.200
19	8.658319	0.005774	50.094	3.217
20	0.035669	1.401738	8.707	3.454
