rep	wall_s	thpt_mops	w_avg_us	r_avg_us
1	0.038576	1.296109	10.265	6.142
2	0.039320	1.271585	10.336	6.099
3	0.039650	1.261002	10.392	6.215
4	0.036377	1.374457	9.841	5.890
5	0.036550	1.367989	10.100	5.354
6	0.035537	1.406984	9.798	5.313
7	0.847572	0.058992	9.786	5.350
8	0.035500	1.408411	9.972	5.461
9	TIMEOUT	0.000000	0.000	0.000
10	0.035515	1.407816	9.635	5.262
11	0.035385	1.413028	9.869	5.420
12	0.035427	1.411313	9.790	5.319
13	0.039799	1.256312	10.458	6.131
14	0.039608	1.262339	10.556	6.269
15	0.848045	0.058959	9.831	5.949
16	0.039705	1.259287	10.355	6.150
17	0.039725	1.258653	10.342	6.218
18	0.038172	1.309860	9.940	6.203
19	0.847586	0.058991	9.884	5.291
20	0.035409	1.412030	9.836	5.240
