rep	class	wall_s	thpt_mops	w_avg_us	r_avg_us	inval_recv	write_recv	read_recv	inval_sends
1	MID	0.050767	0.9849	9.655	4.114	1	1	1	29
2	MID	0.050160	0.9968	9.646	4.150	1	1	1	27
3	MID	0.050906	0.9822	9.653	4.066	1	1	1	29
4	COLLAPSE	0.115021	0.4347	20.449	3.991	1	1	1	27
5	WIN	0.049047	1.0194	8.695	3.940	1	1	1	29
6	WIN	0.049140	1.0175	8.688	3.381	1	1	1	44
7	WIN	0.049111	1.0181	8.613	3.397	1	1	1	42
8	WIN	0.049264	1.0149	8.780	3.473	1	1	1	43
9	WIN	0.049022	1.0199	8.703	3.437	1	1	1	45
10	WIN	0.049178	1.0167	8.678	3.477	1	1	1	46
11	WIN	0.048942	1.0216	8.631	3.407	1	1	1	43
12	WIN	0.049021	1.0200	8.747	3.461	1	1	1	44
