rep	wall_s	thpt_mops	w_avg_us	r_avg_us
1	0.117701	0.424805	32.979	3.235
2	0.031798	1.572376	7.972	3.315
3	0.142584	0.350668	33.096	3.149
4	0.142699	0.350385	33.122	3.214
5	0.031831	1.570746	7.891	3.283
6	0.031927	1.566072	7.819	3.298
7	8.508063	0.005876	7.849	3.238
8	0.031963	1.564259	7.856	3.267
9	0.031829	1.570845	7.819	3.260
10	0.031784	1.573118	7.863	3.253
11	0.032266	1.549618	8.061	3.347
12	0.031849	1.569908	7.851	3.244
13	0.031954	1.564749	7.852	3.270
14	0.031984	1.563281	7.903	3.250
15	0.031855	1.569612	7.908	3.330
16	0.032132	1.556032	7.939	3.280
17	0.031907	1.567054	7.921	3.225
18	0.142672	0.350451	33.035	3.185
19	0.031920	1.566366	7.809	3.224
20	0.031778	1.573415	7.843	3.227
