wl T cache kv rep1 rep2 rep3 rep4 rep5 median_mops max_mops
workloada 16 on 256 4704996 4719207 4608719 4725897 764 4.7050 4.7259
workloada 64 on 256 12444001 14598540 95775 14371945 15698587 14.3719 15.6986
workloada 16 off 256 6307556 6313131 5767012 5535872 5979430 5.9794 6.3131
workloada 64 off 256 14293882 13808340 3011 13642564 14662756 13.8083 14.6628
workloada 32 off 512 9446438 9152480 9218289 1179 5498735 9.1525 9.4464
workloada 64 off 512 95749 14710208 14355440 95750 13861935 13.8619 14.7102
workloadb 8 off 256 3255208 3289690 1979492 129729 129720 1.9795 3.2897
workloadf 64 on 512 13119916 124306 6253126 124308 12275963 6.2531 13.1199
workloada 4 off 256 1595201 1612747 5877 1617128 1611655 1.6117 1.6171
workloadd 4 on 256 59004 1423082 59002 1420535 1421868 1.4205 1.4231
workloadd 8 on 256 2920731 2899895 0 2916982 2923976 2.9170 2.9240
workloadd 16 on 256 4527345 4552075 4539676 4205921 224885 4.5273 4.5521
workloada 4 off 512 1588410 1572079 1557486 1573415 1569760 1.5721 1.5884
## total=13 BIMODAL=0 FULL_COLLAPSE=0 OK=13
