build	wl	T	cache	kv	rep	wall_s	thpt_mops	w_avg_us	r_avg_us	w_p99_us	r_p99_us
staging	workloada	4	off	512	1	0.156034	1.2818	8.561	2.391	18.197	16.470
staging	workloada	4	off	512	2	0.156357	1.2791	8.594	2.387	18.530	16.486
staging	workloada	4	off	512	3	0.155044	1.2900	8.507	2.336	17.900	16.490
staging	workloada	4	off	512	4	0.162720	1.2291	9.061	2.627	20.197	16.772
staging	workloada	4	off	512	5	0.155542	1.2858	8.529	2.367	18.196	16.574
rcu	workloada	4	off	512	1	0.155157	1.2890	8.491	2.374	18.173	16.807
rcu	workloada	4	off	512	2	0.156054	1.2816	8.622	2.406	19.084	16.926
rcu	workloada	4	off	512	3	0.164611	1.2150	8.937	2.509	19.970	17.091
rcu	workloada	4	off	512	4	0.156895	1.2747	8.583	2.388	18.067	16.814
rcu	workloada	4	off	512	5	0.156730	1.2761	8.608	2.398	18.213	16.782
hazard	workloada	4	off	512	1	0.156138	1.2809	8.531	2.372	18.613	16.899
hazard	workloada	4	off	512	2	0.158298	1.2634	8.659	2.454	19.697	16.976
hazard	workloada	4	off	512	3	0.157491	1.2699	8.546	2.360	18.327	16.987
hazard	workloada	4	off	512	4	0.156789	1.2756	8.554	2.383	18.401	16.823
hazard	workloada	4	off	512	5	0.156607	1.2771	8.536	2.392	17.868	16.851
staging	workloada	32	off	1024	1	0.021806	9.1718	11.704	5.162	73.611	26.822
staging	workloada	32	off	1024	2	0.018461	10.8331	11.427	5.259	32.995	25.895
staging	workloada	32	off	1024	3	0.019097	10.4728	11.830	5.306	34.694	25.759
staging	workloada	32	off	1024	4	0.018875	10.5960	11.730	5.154	32.239	24.578
staging	workloada	32	off	1024	5	0.018934	10.5625	11.593	5.124	32.790	22.735
rcu	workloada	32	off	1024	1	0.019160	10.4384	11.432	5.061	35.262	25.117
rcu	workloada	32	off	1024	2	0.019185	10.4243	11.379	5.021	32.212	24.388
rcu	workloada	32	off	1024	3	0.018778	10.6508	11.001	4.914	31.561	27.117
rcu	workloada	32	off	1024	4	0.019753	10.1245	11.809	5.162	34.634	25.314
rcu	workloada	32	off	1024	5	0.020465	9.7723	11.674	4.952	78.378	24.878
hazard	workloada	32	off	1024	1	0.019870	10.0649	11.596	4.814	66.452	23.823
hazard	workloada	32	off	1024	2	0.020345	9.8299	11.688	4.934	70.454	23.651
hazard	workloada	32	off	1024	3	0.020348	9.8290	11.511	4.899	58.686	23.772
hazard	workloada	32	off	1024	4	0.020173	9.9142	11.539	4.874	67.743	23.425
hazard	workloada	32	off	1024	5	0.020285	9.8590	11.370	4.853	68.352	23.741
staging	workloadb	32	off	256	1	0.017929	11.1545	13.137	4.963	56.484	22.559
staging	workloadb	32	off	256	2	0.018875	10.5955	13.314	5.230	56.346	23.489
staging	workloadb	32	off	256	3	0.018293	10.9331	13.196	5.085	72.092	23.597
staging	workloadb	32	off	256	4	0.018571	10.7695	13.143	5.022	57.708	22.421
staging	workloadb	32	off	256	5	0.018413	10.8613	13.279	5.170	68.489	22.467
rcu	workloadb	32	off	256	1	0.018648	10.7250	13.141	5.077	59.726	22.670
rcu	workloadb	32	off	256	2	0.018105	11.0461	13.247	5.078	51.820	23.752
rcu	workloadb	32	off	256	3	0.018722	10.6820	13.225	5.094	80.030	22.209
rcu	workloadb	32	off	256	4	0.018291	10.9343	13.234	5.170	61.994	22.922
rcu	workloadb	32	off	256	5	0.018486	10.8184	13.288	5.077	73.591	22.581
hazard	workloadb	32	off	256	1	0.021950	9.1112	13.786	6.207	48.957	27.117
hazard	workloadb	32	off	256	2	0.019599	10.2041	13.614	5.035	48.361	23.329
