T	K	rep	wall_s	thpt_mops	w_avg_us	r_avg_us	w_p99_us	r_p99_us
4	64	1	0.131996	1.5152	7.223	2.133	19.167	13.654
4	64	2	0.130405	1.5337	7.176	2.093	16.285	13.664
4	64	3	0.130692	1.5303	7.178	2.089	16.765	13.658
4	128	1	0.130250	1.5355	7.165	2.092	16.035	13.659
4	128	2	0.130027	1.5381	7.186	2.104	16.058	13.733
4	128	3	0.130329	1.5346	7.199	2.088	18.106	13.740
4	256	1	0.129996	1.5385	7.179	2.096	16.077	13.860
4	256	2	0.129611	1.5431	7.177	2.086	16.035	13.746
4	256	3	0.129790	1.5409	7.170	2.108	18.105	13.725
4	512	1	0.129828	1.5405	7.164	2.097	15.968	13.735
4	512	2	0.129969	1.5388	7.160	2.083	15.927	13.847
4	512	3	0.129960	1.5389	7.171	2.094	15.742	13.720
4	1024	1	0.129973	1.5388	7.188	2.103	16.076	13.720
4	1024	2	0.131005	1.5267	7.164	2.071	15.958	13.623
4	1024	3	0.130584	1.5316	7.143	2.084	16.246	13.621
4	2048	1	0.130706	1.5301	7.150	2.077	16.075	13.623
4	2048	2	0.130683	1.5304	7.157	2.076	15.837	13.617
4	2048	3	0.130554	1.5319	7.165	2.080	18.252	13.598
4	4096	1	0.130784	1.5292	7.133	2.061	15.518	13.694
4	4096	2	FAIL	0	0	0	0	0
4	4096	3	0.130116	1.5371	7.126	2.070	15.847	13.544
16	64	1	0.031545	6.3401	8.355	3.302	19.984	14.478
16	64	2	0.030902	6.4719	8.320	3.293	19.206	14.791
16	64	3	0.031171	6.4160	8.339	3.326	19.885	14.810
16	128	1	0.030695	6.5155	8.299	3.285	18.791	14.469
16	128	2	0.031410	6.3674	8.302	3.278	19.346	14.657
16	128	3	0.030711	6.5123	8.337	3.286	18.941	14.716
16	256	1	0.031147	6.4212	8.354	3.288	19.706	14.638
16	256	2	0.031113	6.4280	8.350	3.303	19.104	14.713
16	256	3	0.031084	6.4342	8.339	3.298	19.529	14.656
16	512	1	0.030428	6.5727	8.298	3.289	19.542	14.502
16	512	2	0.030915	6.4691	8.290	3.260	19.188	14.352
16	512	3	0.030657	6.5236	8.328	3.290	19.536	14.513
16	1024	1	0.031305	6.3886	8.369	3.286	19.873	14.771
16	1024	2	0.033293	6.0073	8.810	3.549	22.390	15.894
16	1024	3	0.030742	6.5055	8.328	3.277	19.920	14.667
16	2048	1	0.030727	6.5089	8.378	3.329	19.019	14.773
16	2048	2	0.030570	6.5421	8.291	3.267	19.732	14.521
16	2048	3	0.030742	6.5055	8.365	3.298	19.678	14.524
16	4096	1	0.030603	6.5351	8.342	3.309	20.375	14.647
16	4096	2	0.030863	6.4803	8.351	3.299	19.568	14.834
16	4096	3	0.030692	6.5161	8.339	3.316	19.752	14.657
32	64	1	0.020110	9.9453	11.325	5.069	72.501	21.262
32	64	2	0.019602	10.2025	11.006	4.705	71.720	19.499
32	64	3	0.019218	10.4064	11.090	4.767	58.724	20.429
32	128	1	0.019466	10.2743	11.165	4.790	66.926	19.969
32	128	2	0.019836	10.0827	11.171	4.810	72.486	19.818
32	128	3	0.019812	10.0949	11.184	4.729	61.840	19.954
32	256	1	0.019658	10.1740	11.096	4.749	64.107	20.279
32	256	2	0.019055	10.4954	10.899	4.680	58.812	19.500
32	256	3	0.019605	10.2015	11.072	4.677	63.451	19.310
32	512	1	0.019808	10.0969	11.060	4.797	68.073	20.038
32	512	2	0.019796	10.1031	11.095	4.785	62.799	20.034
32	512	3	0.019674	10.1657	11.113	4.815	67.041	20.639
32	1024	1	0.019676	10.1647	11.091	4.804	58.072	20.526
32	1024	2	0.019614	10.1963	11.122	4.804	72.457	19.948
32	1024	3	0.019498	10.2575	10.999	4.726	58.683	19.401
32	2048	1	0.019449	10.2828	11.080	4.754	64.327	20.170
32	2048	2	0.019780	10.1107	11.236	4.843	58.126	19.946
32	2048	3	0.019827	10.0867	11.144	4.770	67.009	21.185
32	4096	1	0.019592	10.2077	11.079	4.800	63.288	20.142
32	4096	2	0.019077	10.4833	11.039	4.743	60.910	19.326
32	4096	3	0.019418	10.2992	11.159	4.771	67.669	20.018
64	64	1	0.018196	10.9908	17.061	6.065	451.952	25.725
64	64	2	0.019195	10.4194	16.357	5.657	596.765	22.370
64	64	3	0.019173	10.4308	16.529	5.992	504.502	25.208
64	128	1	0.018524	10.7962	16.567	5.895	596.604	23.646
64	128	2	0.017562	11.3882	16.252	6.014	488.318	25.709
64	128	3	0.019518	10.2464	16.771	6.059	464.737	26.155
64	256	1	0.017841	11.2095	17.108	6.185	528.098	26.356
64	256	2	0.017316	11.5500	16.434	5.909	443.660	24.709
64	256	3	0.018527	10.7951	16.574	5.788	791.201	22.993
64	512	1	0.019454	10.2801	17.108	6.175	616.971	25.055
64	512	2	0.018408	10.8648	16.977	5.820	539.717	24.820
64	512	3	0.017900	11.1726	16.647	6.088	602.347	27.248
64	1024	1	0.018565	10.7724	16.327	5.996	522.290	25.956
64	1024	2	0.018095	11.0522	16.632	5.999	579.908	26.188
64	1024	3	0.018422	10.8560	16.456	6.059	606.327	27.437
64	2048	1	0.019033	10.5081	16.488	5.921	594.561	26.120
64	2048	2	0.019137	10.4504	16.760	6.133	487.963	25.458
64	2048	3	0.018381	10.8808	17.231	5.926	528.692	23.342
64	4096	1	0.017812	11.2284	17.464	6.217	474.364	26.472
64	4096	2	0.019151	10.4433	16.491	5.878	569.352	24.909
64	4096	3	0.019725	10.1394	16.522	6.074	501.611	26.238
