build	workload	T	kv	cache	rep	trans_agg_thpt	w_p50	w_p99	r_p50	r_p99
build-cxl-w1	workloada	4	1024	off	1	1391807	5970	16508	550	15175
build-cxl-w1	workloada	4	1024	off	2	1529683	5212	16090	391	13609
build-cxl-w1	workloada	4	1024	off	3	1532285	5200	16226	383	13514
build-cxl-w1	workloada	4	1024	off	4	1531839	5219	16016	395	13533
build-cxl-w1	workloada	4	1024	off	5	1500802	5226	16153	407	13935
build-cxl-w1	workloada	32	1024	off	1	10534632	11053	74584	3041	19905
build-cxl-w1	workloada	32	1024	off	2	10038648	10796	65773	3042	19313
build-cxl-w1	workloada	32	1024	off	3	10237510	10739	58472	3097	19818
build-cxl-w1	workloada	32	1024	off	4	10213461	11157	72055	3032	19532
build-cxl-w1	workloada	32	1024	off	5	10516352	11126	69259	3036	19761
build-cxl-w1	workloada	64	1024	off	1	10800885	14546	545877	7539	23771
build-cxl-w1	workloada	64	1024	off	2	10779346	14600	378164	7544	26770
build-cxl-w1	workloada	64	1024	off	3	10448229	14608	627404	7595	24651
build-cxl-w1	workloada	64	1024	off	4	10951103	14697	729796	7603	25547
build-cxl-w1	workloada	64	1024	off	5	10981167	14502	713563	7491	24641
build-cxl-w1	workloadc	64	1024	on	1	19089433	0	0	7387	23104
build-cxl-w1	workloadc	64	1024	on	2	17674089	0	0	7431	25480
build-cxl-w1	workloadc	64	1024	on	3	18416206	0	0	7389	22452
build-cxl-w1	workloadc	64	1024	on	4	18115942	0	0	7492	24240
build-cxl-w1	workloadc	64	1024	on	5	18032639	0	0	7442	22894
build-cxl-w1	workloadb	64	256	on	1	17985611	13843	57084	7558	22626
build-cxl-w1	workloadb	64	256	on	2	17594791	13638	64786	7506	22845
build-cxl-w1	workloadb	64	256	on	3	19351717	13794	43879	7526	21110
build-cxl-w1	workloadb	64	256	on	4	17825311	13926	64685	7492	22863
build-cxl-w1	workloadb	64	256	on	5	19442014	13761	60236	7509	21316
build-cxl-p2	workloada	4	1024	off	1	1327994	5184	16075	435	13764
build-cxl-p2	workloada	4	1024	off	2	1326911	5189	18256	438	13689
build-cxl-p2	workloada	4	1024	off	3	1328612	5197	16189	447	13857
build-cxl-p2	workloada	4	1024	off	4	1328082	5192	19080	454	13850
build-cxl-p2	workloada	4	1024	off	5	1328374	5219	16873	456	13728
build-cxl-p2	workloada	32	1024	off	1	10250627	10977	58587	3155	20163
build-cxl-p2	workloada	32	1024	off	2	10075566	10863	55799	3145	19935
build-cxl-p2	workloada	32	1024	off	3	10107646	10626	64380	3056	20641
build-cxl-p2	workloada	32	1024	off	4	10473946	11132	68142	3174	20224
build-cxl-p2	workloada	32	1024	off	5	10505305	10614	57070	3152	19793
build-cxl-p2	workloada	64	1024	off	1	10358937	14629	650952	7597	56818
build-cxl-p2	workloada	64	1024	off	2	10606140	14638	726253	7559	23776
build-cxl-p2	workloada	64	1024	off	3	11133377	14638	578781	7582	25359
build-cxl-p2	workloada	64	1024	off	4	10206685	14698	702201	7639	146092
build-cxl-p2	workloada	64	1024	off	5	10811395	14571	434405	7564	32770
build-cxl-p2	workloadc	64	1024	on	1	17675651	0	0	7450	23502
build-cxl-p2	workloadc	64	1024	on	2	19214141	0	0	7410	21515
build-cxl-p2	workloadc	64	1024	on	3	20082337	0	0	7407	22532
build-cxl-p2	workloadc	64	1024	on	4	18623707	0	0	7421	24443
build-cxl-p2	workloadc	64	1024	on	5	18296587	0	0	7440	22870
build-cxl-p2	workloadb	64	256	on	1	17956545	13793	50383	7504	22505
build-cxl-p2	workloadb	64	256	on	2	18370533	13905	50177	7487	21654
build-cxl-p2	workloadb	64	256	on	3	17706949	13935	67932	7527	22480
build-cxl-p2	workloadb	64	256	on	4	18353675	13797	54099	7492	21816
build-cxl-p2	workloadb	64	256	on	5	20538098	13668	42442	7440	20454
