build	workload	T	kv	cache	rep	trans_agg_thpt
build-cxl-w1	workloadc	64	1024	on	1	18208302
build-cxl-w1	workloadc	64	1024	on	2	18825301
build-cxl-w1	workloadc	64	1024	on	3	18414510
build-cxl-w1	workloadc	64	1024	on	4	19151584
build-cxl-w1	workloadc	64	1024	on	5	18511662
build-cxl-w1	workloadc	64	256	on	1	18008283
build-cxl-w1	workloadc	64	256	on	2	19206760
build-cxl-w1	workloadc	64	256	on	3	18496254
build-cxl-w1	workloadc	64	256	on	4	18717828
build-cxl-w1	workloadc	64	256	on	5	18869704
build-cxl-w1	workloadb	64	1024	on	1	18358729
build-cxl-w1	workloadb	64	1024	on	2	17922752
build-cxl-w1	workloadb	64	1024	on	3	17858737
build-cxl-w1	workloadb	64	1024	on	4	17889087
build-cxl-w1	workloadb	64	1024	on	5	18000180
build-cxl-w1	workloada	64	1024	on	1	10963109
build-cxl-w1	workloada	64	1024	on	2	10982373
build-cxl-w1	workloada	64	1024	on	3	11832219
build-cxl-w1	workloada	64	1024	on	4	10816657
build-cxl-w1	workloada	64	1024	on	5	11415525
build-cxl-w1	workloadd	64	1024	on	1	17817371
build-cxl-w1	workloadd	64	1024	on	2	17636684
build-cxl-w1	workloadd	64	1024	on	3	17895490
build-cxl-w1	workloadd	64	1024	on	4	17190991
build-cxl-w1	workloadd	64	1024	on	5	17849174
build-cxl-w1-lru	workloadc	64	1024	on	1	18345257
build-cxl-w1-lru	workloadc	64	1024	on	2	18521948
build-cxl-w1-lru	workloadc	64	1024	on	3	18378974
build-cxl-w1-lru	workloadc	64	1024	on	4	18363786
build-cxl-w1-lru	workloadc	64	1024	on	5	18296587
build-cxl-w1-lru	workloadc	64	256	on	1	18422991
build-cxl-w1-lru	workloadc	64	256	on	2	18256503
build-cxl-w1-lru	workloadc	64	256	on	3	20584602
build-cxl-w1-lru	workloadc	64	256	on	4	18968133
build-cxl-w1-lru	workloadc	64	256	on	5	18348623
build-cxl-w1-lru	workloadb	64	1024	on	1	18065215
build-cxl-w1-lru	workloadb	64	1024	on	2	18079913
build-cxl-w1-lru	workloadb	64	1024	on	3	18019641
build-cxl-w1-lru	workloadb	64	1024	on	4	17930787
build-cxl-w1-lru	workloadb	64	1024	on	5	18259837
build-cxl-w1-lru	workloada	64	1024	on	1	10309809
build-cxl-w1-lru	workloada	64	1024	on	2	11596892
build-cxl-w1-lru	workloada	64	1024	on	3	11524056
build-cxl-w1-lru	workloada	64	1024	on	4	10532968
build-cxl-w1-lru	workloada	64	1024	on	5	11003521
build-cxl-w1-lru	workloadd	64	1024	on	1	17542320
build-cxl-w1-lru	workloadd	64	1024	on	2	17830079
build-cxl-w1-lru	workloadd	64	1024	on	3	17706949
build-cxl-w1-lru	workloadd	64	1024	on	4	17085255
build-cxl-w1-lru	workloadd	64	1024	on	5	17511601
