build	workload	T	kv	cache	rep	trans_agg_thpt
build-cxl-w1	workloadc	64	1024	on	1	19000570
build-cxl-w1	workloadc	64	1024	on	2	21547080
build-cxl-w1	workloadc	64	1024	on	3	18816445
build-cxl-w1	workloadc	64	1024	on	4	19062142
build-cxl-w1	workloadc	64	1024	on	5	20708221
build-cxl-w1	workloadc	64	256	on	1	19944156
build-cxl-w1	workloadc	64	256	on	2	18608113
build-cxl-w1	workloadc	64	256	on	3	18712574
build-cxl-w1	workloadc	64	256	on	4	17675651
build-cxl-w1	workloadc	64	256	on	5	19872813
build-cxl-w1	workloadb	64	1024	on	1	18675880
build-cxl-w1	workloadb	64	1024	on	2	18138944
build-cxl-w1	workloadb	64	1024	on	3	16976487
build-cxl-w1	workloadb	64	1024	on	4	18057060
build-cxl-w1	workloadb	64	1024	on	5	19716088
build-cxl-w1	workloada	64	1024	on	1	11094469
build-cxl-w1	workloada	64	1024	on	2	11056443
build-cxl-w1	workloada	64	1024	on	3	11422044
build-cxl-w1	workloada	64	1024	on	4	11077263
build-cxl-w1	workloada	64	1024	on	5	10289653
build-cxl-w1	workloadd	64	1024	on	1	17613386
build-cxl-w1	workloadd	64	1024	on	2	18980734
build-cxl-w1	workloadd	64	1024	on	3	19990004
build-cxl-w1	workloadd	64	1024	on	4	17616489
build-cxl-w1	workloadd	64	1024	on	5	17964609
build-cxl-w1-lru	workloadc	64	1024	on	1	18400956
build-cxl-w1-lru	workloadc	64	1024	on	2	18859028
build-cxl-w1-lru	workloadc	64	1024	on	3	19020446
build-cxl-w1-lru	workloadc	64	1024	on	4	18566654
build-cxl-w1-lru	workloadc	64	1024	on	5	19588638
build-cxl-w1-lru	workloadc	64	256	on	1	20294266
build-cxl-w1-lru	workloadc	64	256	on	2	19502681
build-cxl-w1-lru	workloadc	64	256	on	3	17852360
build-cxl-w1-lru	workloadc	64	256	on	4	19157088
build-cxl-w1-lru	workloadc	64	256	on	5	18402649
build-cxl-w1-lru	workloadb	64	1024	on	1	17897091
build-cxl-w1-lru	workloadb	64	1024	on	2	18770530
build-cxl-w1-lru	workloadb	64	1024	on	3	18234865
build-cxl-w1-lru	workloadb	64	1024	on	4	18238190
build-cxl-w1-lru	workloadb	64	1024	on	5	18451886
build-cxl-w1-lru	workloada	64	1024	on	1	10963109
build-cxl-w1-lru	workloada	64	1024	on	2	10957102
build-cxl-w1-lru	workloada	64	1024	on	3	11013215
build-cxl-w1-lru	workloada	64	1024	on	4	10630381
build-cxl-w1-lru	workloada	64	1024	on	5	10384755
build-cxl-w1-lru	workloadd	64	1024	on	1	17818959
build-cxl-w1-lru	workloadd	64	1024	on	2	17296549
build-cxl-w1-lru	workloadd	64	1024	on	3	18313341
build-cxl-w1-lru	workloadd	64	1024	on	4	18073377
build-cxl-w1-lru	workloadd	64	1024	on	5	20544427
