| Stage | N | p50 µs | p90 µs | p99 µs | max µs | mean µs |
|---|---|---|---|---|---|---|
| W1 | 12421 | 0.744 | 1.081 | 3.020 | 39.011 | 0.865 |
| W2 | 10691 | 0.124 | 0.165 | 0.178 | 13.851 | 0.130 |
| W3 | 10691 | 0.023 | 0.025 | 4.454 | 32.842 | 0.101 |
| W7 | 10691 | 0.038 | 0.041 | 0.060 | 4.582 | 0.041 |
| W8 | 10691 | 0.025 | 0.026 | 5.184 | 12.110 | 0.109 |
| W9 | 10691 | 0.018 | 0.020 | 0.026 | 8.704 | 0.023 |
| W10 | 10691 | 3.367 | 4.125 | 10.297 | 17.515 | 3.530 |
| W12 | 10691 | 0.475 | 0.546 | 4.959 | 14.274 | 0.562 |
| R1 | 4990 | 0.387 | 7.438 | 13.070 | 42.490 | 3.125 |
| R2hit | 471 | 0.099 | 0.397 | 1.023 | 6.648 | 0.214 |
| R2miss | 4298 | 1.043 | 1.911 | 5.225 | 14.078 | 1.170 |
| R3 | 645 | 9.626 | 11.821 | 14.267 | 85.228 | 10.024 |
| R4 | 64 | 1.049 | 1.465 | 6.256 | 6.256 | 1.182 |
| R6 | 947 | 0.495 | 1.080 | 4.616 | 15.514 | 0.521 |
| P5R_AK | 582 | 9.648 | 40.644 | 80.017 | 5021.905 | 42.688 |
| P5R_GH | 576 | 0.027 | 0.028 | 0.030 | 35.118 | 0.099 |
| P5R_GZ | 576 | 2.889 | 3.595 | 9.171 | 10.348 | 3.019 |
| P5R_PL | 592 | 0.726 | 0.765 | 12447.622 | 13715.541 | 135.306 |
| P5R_VS | 583 | 0.778 | 3.511 | 7.068 | 18.052 | 1.387 |
| P5W_FA | 661 | 0.626 | 0.662 | 0.923 | 5.200 | 0.646 |
| P5W_OK | 659 | 0.114 | 1.811 | 4.297 | 8.729 | 0.787 |
| P5W_PP | 661 | 0.020 | 0.028 | 0.032 | 8.950 | 0.096 |
| P5W_PT | 661 | 5.305 | 8.011 | 12.587 | 5009.726 | 20.885 |
| P5W_SF | 661 | 0.041 | 0.057 | 0.175 | 4.720 | 0.058 |
| P5W_SR | 661 | 1.345 | 1.411 | 1.709 | 7.653 | 1.365 |
| R0_tls_h | 218 | 0.029 | 0.067 | 1.209 | 4.460 | 0.104 |
