| Stage | N | p50 µs | p90 µs | p99 µs | max µs | mean µs |
|---|---|---|---|---|---|---|
| W1 | 10154 | 0.750 | 1.043 | 4.519 | 14.426 | 0.911 |
| W2 | 9912 | 0.145 | 0.187 | 0.790 | 8.534 | 0.174 |
| W3 | 9912 | 0.025 | 0.028 | 5.074 | 230.152 | 0.208 |
| W7 | 9912 | 0.031 | 0.032 | 0.049 | 4.992 | 0.041 |
| W8 | 9912 | 0.029 | 0.030 | 5.748 | 62.233 | 0.211 |
| W9 | 9912 | 0.022 | 0.023 | 0.026 | 2.446 | 0.023 |
| W10 | 9912 | 2.766 | 6.624 | 10.609 | 80.048 | 3.703 |
| W12 | 9912 | 0.187 | 0.221 | 5.262 | 117.669 | 0.386 |
| R1 | 9492 | 11.625 | 16.633 | 26.527 | 133.274 | 10.306 |
| R2hit | 1134 | 0.213 | 0.369 | 0.491 | 11.963 | 0.236 |
| R2miss | 8084 | 1.463 | 2.180 | 6.874 | 92.242 | 1.729 |
| R3 | 69 | 9.856 | 12.133 | 14.259 | 14.259 | 10.116 |
| R4 | 9 | 1.383 | 1.521 | 1.521 | 1.521 | 1.273 |
| R6 | 1760 | 0.697 | 0.984 | 1.771 | 15.764 | 0.766 |
| P5R_PL | 12 | 11647.424 | 12267.713 | 13328.705 | 13328.705 | 8310.538 |
| P5W_FA | 6 | 0.613 | 0.623 | 0.623 | 0.623 | 0.613 |
| P5W_OK | 6 | 0.702 | 0.867 | 0.867 | 0.867 | 0.620 |
| P5W_PP | 6 | 0.022 | 0.038 | 0.038 | 0.038 | 0.024 |
| P5W_PT | 6 | 5.733 | 6.055 | 6.055 | 6.055 | 5.719 |
| P5W_SF | 6 | 0.053 | 7.074 | 7.074 | 7.074 | 1.232 |
| P5W_SR | 6 | 1.263 | 1.296 | 1.296 | 1.296 | 1.254 |
| R0_tls_h | 226 | 0.033 | 0.082 | 0.157 | 8.999 | 0.083 |
