| Stage | N | p50 µs | p90 µs | p99 µs | max µs | mean µs |
|---|---|---|---|---|---|---|
| W1 | 10120 | 0.751 | 1.076 | 9.044 | 52.667 | 1.133 |
| W2 | 10120 | 0.143 | 0.181 | 1.007 | 54.306 | 0.178 |
| W3 | 10120 | 0.026 | 0.028 | 5.073 | 84.197 | 0.161 |
| W7 | 10120 | 0.046 | 0.053 | 0.069 | 14.617 | 0.050 |
| W8 | 10120 | 0.029 | 0.030 | 5.845 | 62.121 | 0.165 |
| W9 | 10120 | 0.022 | 0.024 | 0.028 | 3.525 | 0.023 |
| W10 | 10120 | 3.466 | 8.265 | 23.451 | 940.794 | 4.860 |
| W12 | 10120 | 0.554 | 0.700 | 12.712 | 81.325 | 1.201 |
| R1 | 10016 | 11.492 | 16.769 | 28.277 | 141.870 | 10.339 |
| R2hit | 955 | 0.245 | 0.406 | 0.566 | 88.981 | 0.432 |
| R2miss | 8768 | 1.459 | 1.818 | 6.696 | 149.969 | 1.780 |
| R3 | 89 | 9.635 | 10.364 | 28.321 | 28.321 | 9.875 |
| R6 | 1263 | 0.703 | 0.991 | 1.098 | 22.767 | 0.739 |
| P5R_PL | 13 | 12301.994 | 12544.200 | 13431.821 | 13431.821 | 12218.458 |
| R0_tls_h | 236 | 0.043 | 0.123 | 0.174 | 96.429 | 0.469 |
