build	rep	trans_agg_thpt	dram_read_MBps	dram_write_MBps	cxl_read_MBps	cxl_write_MBps	mem_total_MBps
build-cxl	1	10538518	858	503	169	465	1361
build-cxl	2	10693471	761	462	146	387	1223
build-cxl	3	11294968	764	466	146	387	1230
build-cxl	4	10575296	804	480	146	387	1284
build-cxl	5	10983579	756	459	157	387	1215
build-cxl-w1	1	10723860	838	499	172	464	1337
build-cxl-w1	2	10744600	764	466	146	387	1230
build-cxl-w1	3	17394329	891	521	166	464	1413
build-cxl-w1	4	17818959	845	503	160	465	1348
build-cxl-w1	5	17198383	877	514	164	465	1391
