scenario	keydist	T	NB	rep	trans_agg_thpt	w_p50	w_p99	r_p50	r_p99
local_read	uniform	64	1024	1	24257125	0	0	3343	17992
local_read	uniform	64	1024	2	24292481	0	0	3151	16280
local_read	uniform	64	1024	3	24125452	0	0	3095	17220
local_read	uniform	64	1048576	1	9688044	0	0	11817	39562
local_read	uniform	64	1048576	2	9943817	0	0	11927	29646
local_read	uniform	64	1048576	3	9780907	0	0	12025	55889
local_read	zipf	64	1024	1	23261223	0	0	726	11834
local_read	zipf	64	1024	2	23291021	0	0	728	16811
local_read	zipf	64	1024	3	23679848	0	0	690	12376
local_read	zipf	64	1048576	1	12392341	0	0	500	29025
local_read	zipf	64	1048576	2	13403029	0	0	543	31542
local_read	zipf	64	1048576	3	12368583	0	0	477	26765
xhost_read	uniform	64	1024	1	25223861	0	0	2788	11732
xhost_read	uniform	64	1024	2	24891101	0	0	2727	17600
xhost_read	uniform	64	1024	3	25109855	0	0	1480	12524
xhost_read	uniform	64	1048576	1	9444654	0	0	11927	36302
xhost_read	uniform	64	1048576	2	9604763	0	0	12047	42561
xhost_read	uniform	64	1048576	3	9516558	0	0	11825	34803
xhost_read	zipf	64	1024	1	22792022	0	0	726	18391
xhost_read	zipf	64	1024	2	22859755	0	0	698	22273
xhost_read	zipf	64	1024	3	21822149	0	0	678	18272
xhost_read	zipf	64	1048576	1	12305420	0	0	11096	43918
xhost_read	zipf	64	1048576	2	12370113	0	0	11283	30507
xhost_read	zipf	64	1048576	3	13380611	0	0	10595	31529
