scenario	keydist	T	cache	rep	trans_agg_thpt	w_p50	w_p99	r_p50	r_p99
local_read	uniform	1	cold	1	378134	0	0	627	13514
local_read	uniform	1	cold	2	382020	0	0	560	13460
local_read	uniform	1	cold	3	379836	0	0	603	13493
local_read	uniform	1	warm	1	382744	0	0	544	13440
local_read	uniform	1	warm	2	378263	0	0	582	13472
local_read	uniform	1	warm	3	364473	0	0	12268	13670
local_read	uniform	4	cold	1	1384247	0	0	3972	15431
local_read	uniform	4	cold	2	1543105	0	0	3472	13591
local_read	uniform	4	cold	3	1544850	0	0	3469	13563
local_read	uniform	4	warm	1	1534019	0	0	3477	13599
local_read	uniform	4	warm	2	1535529	0	0	3521	13634
local_read	uniform	4	warm	3	1537557	0	0	3473	13632
local_read	uniform	32	cold	1	7649470	0	0	7423	17056
local_read	uniform	32	cold	2	7675303	0	0	7396	16916
local_read	uniform	32	cold	3	7613768	0	0	7429	16872
local_read	uniform	32	warm	1	7794779	0	0	7412	16752
local_read	uniform	32	warm	2	7706653	0	0	7407	17003
local_read	uniform	32	warm	3	7675480	0	0	7412	16997
local_read	uniform	64	cold	1	12142111	0	0	9864	21111
local_read	uniform	64	cold	2	12221651	0	0	9775	20934
local_read	uniform	64	cold	3	12187096	0	0	9759	21698
local_read	uniform	64	warm	1	12205690	0	0	9759	21542
local_read	uniform	64	warm	2	12160420	0	0	9662	21368
local_read	uniform	64	warm	3	11934883	0	0	9825	21591
local_read	zipf	1	cold	1	785480	0	0	239	13597
local_read	zipf	1	cold	2	789671	0	0	239	13518
local_read	zipf	1	cold	3	787224	0	0	241	13540
local_read	zipf	1	warm	1	789362	0	0	238	13523
local_read	zipf	1	warm	2	788713	0	0	254	13514
local_read	zipf	1	warm	3	673019	0	0	245	13472
local_read	zipf	4	cold	1	3953069	0	0	241	13031
local_read	zipf	4	cold	2	4016064	0	0	239	12993
local_read	zipf	4	cold	3	4015032	0	0	242	13043
local_read	zipf	4	warm	1	3969104	0	0	239	13119
local_read	zipf	4	warm	2	3857563	0	0	239	13014
local_read	zipf	4	warm	3	3957762	0	0	242	13039
local_read	zipf	32	cold	1	14983742	0	0	332	17993
local_read	zipf	32	cold	2	13492181	0	0	430	18745
local_read	zipf	32	cold	3	13476362	0	0	510	18402
local_read	zipf	32	warm	1	15369246	0	0	316	15885
local_read	zipf	32	warm	2	13707455	0	0	503	18306
local_read	zipf	32	warm	3	15324026	0	0	332	16177
local_read	zipf	64	cold	1	21549402	0	0	562	19385
local_read	zipf	64	cold	2	21473973	0	0	634	19597
local_read	zipf	64	cold	3	21358850	0	0	613	19892
local_read	zipf	64	warm	1	21758997	0	0	597	19985
local_read	zipf	64	warm	2	21598738	0	0	576	19904
local_read	zipf	64	warm	3	21555440	0	0	591	19797
xhost_read	uniform	1	cold	1	378710	0	0	576	13495
xhost_read	uniform	1	cold	2	382692	0	0	556	13434
xhost_read	uniform	1	cold	3	380127	0	0	545	13564
xhost_read	uniform	1	warm	1	381643	0	0	552	13466
xhost_read	uniform	1	warm	2	380239	0	0	610	13870
xhost_read	uniform	1	warm	3	380676	0	0	547	13490
xhost_read	uniform	4	cold	1	1532649	0	0	3476	13612
xhost_read	uniform	4	cold	2	1532184	0	0	3427	13641
xhost_read	uniform	4	cold	3	1549417	0	0	3424	13535
xhost_read	uniform	4	warm	1	1535645	0	0	3480	13589
xhost_read	uniform	4	warm	2	1340024	0	0	4035	15497
xhost_read	uniform	4	warm	3	1509668	0	0	3513	13851
xhost_read	uniform	32	cold	1	7490524	0	0	7606	18544
xhost_read	uniform	32	cold	2	7463633	0	0	7559	18549
xhost_read	uniform	32	cold	3	7552242	0	0	7552	18291
xhost_read	uniform	32	warm	1	7639886	0	0	7461	17248
xhost_read	uniform	32	warm	2	7644967	0	0	7472	16977
xhost_read	uniform	32	warm	3	7564868	0	0	7515	17197
xhost_read	uniform	64	cold	1	12109029	0	0	9771	21673
xhost_read	uniform	64	cold	2	12155837	0	0	9800	21607
xhost_read	uniform	64	cold	3	12014609	0	0	9842	21321
xhost_read	uniform	64	warm	1	12050080	0	0	9811	20891
xhost_read	uniform	64	warm	2	12027760	0	0	9845	21179
xhost_read	uniform	64	warm	3	12037315	0	0	9869	21018
xhost_read	zipf	1	cold	1	1099606	0	0	253	13178
xhost_read	zipf	1	cold	2	1113465	0	0	219	13244
xhost_read	zipf	1	cold	3	905807	0	0	213	13307
xhost_read	zipf	1	warm	1	1109640	0	0	231	13242
xhost_read	zipf	1	warm	2	1115165	0	0	219	13224
xhost_read	zipf	1	warm	3	1114371	0	0	219	13154
xhost_read	zipf	4	cold	1	4003587	0	0	246	13026
xhost_read	zipf	4	cold	2	3995572	0	0	238	13116
xhost_read	zipf	4	cold	3	3963488	0	0	241	13037
xhost_read	zipf	4	warm	1	4011327	0	0	237	13066
xhost_read	zipf	4	warm	2	3998576	0	0	237	13093
xhost_read	zipf	4	warm	3	4008530	0	0	238	13042
xhost_read	zipf	32	cold	1	15547747	0	0	333	15965
xhost_read	zipf	32	cold	2	15063870	0	0	344	16225
xhost_read	zipf	32	cold	3	15256228	0	0	335	16076
xhost_read	zipf	32	warm	1	15535187	0	0	337	15875
xhost_read	zipf	32	warm	2	15292390	0	0	340	16038
xhost_read	zipf	32	warm	3	15514940	0	0	331	15871
xhost_read	zipf	64	cold	1	20925755	0	0	602	19913
xhost_read	zipf	64	cold	2	21371631	0	0	734	21312
xhost_read	zipf	64	cold	3	21381227	0	0	597	19803
xhost_read	zipf	64	warm	1	21311510	0	0	561	21056
xhost_read	zipf	64	warm	2	20964800	0	0	651	20572
xhost_read	zipf	64	warm	3	20458265	0	0	657	20649
local_write	uniform	1	cold	1	259344	10766	12293	0	0
local_write	uniform	1	cold	2	244361	9342	12720	0	0
local_write	uniform	1	cold	3	248956	9302	12142	0	0
local_write	uniform	4	cold	1	978495	11416	17429	0	0
local_write	uniform	4	cold	2	978093	11387	17212	0	0
local_write	uniform	4	cold	3	1123811	10783	17114	0	0
local_write	uniform	32	cold	1	8271024	10277	22580	0	0
local_write	uniform	64	cold	3	13010160	16559	80476	0	0
local_write	zipf	1	cold	1	230592	10300	12582	0	0
local_write	zipf	1	cold	2	240803	9836	12133	0	0
local_write	zipf	1	cold	3	240853	9838	12127	0	0
local_write	zipf	4	cold	1	947918	5096	16945	0	0
local_write	zipf	4	cold	2	948494	5094	17060	0	0
local_write	zipf	4	cold	3	948245	5118	17291	0	0
local_write	zipf	32	cold	1	6646770	8363	206830	0	0
local_write	zipf	32	cold	2	5911702	11724	178324	0	0
local_write	zipf	32	cold	3	6375396	11744	177932	0	0
local_write	zipf	64	cold	1	6532830	10260	858034	0	0
local_write	zipf	64	cold	2	6489376	10238	576799	0	0
local_write	zipf	64	cold	3	6839103	14904	641032	0	0
xhost_write	uniform	1	cold	1	249131	9345	12143	0	0
xhost_write	uniform	1	cold	2	284491	10770	12251	0	0
xhost_write	uniform	1	cold	3	305051	10777	12233	0	0
xhost_write	uniform	4	cold	1	1195280	10788	16903	0	0
xhost_write	uniform	4	cold	2	977491	11446	17784	0	0
xhost_write	uniform	4	cold	3	979034	11421	17180	0	0
xhost_write	uniform	32	cold	1	8084139	14449	23081	0	0
xhost_write	uniform	32	cold	3	8002176	14390	25533	0	0
xhost_write	uniform	64	cold	1	13096033	16560	82341	0	0
local_write	uniform	32	cold	2	8062435	14415	24973	0	0
local_write	uniform	32	cold	3	8055810	14447	24194	0	0
local_write	uniform	64	cold	1	12959243	16627	74855	0	0
local_write	uniform	64	cold	2	13032542	16563	80394	0	0
xhost_write	uniform	32	cold	2	8068094	14438	22945	0	0
xhost_write	zipf	1	cold	1	240390	9818	13018	0	0
xhost_write	zipf	1	cold	3	245593	9629	12119	0	0
xhost_write	zipf	4	cold	1	968221	5071	16779	0	0
xhost_write	zipf	4	cold	2	967403	5085	16970	0	0
xhost_write	uniform	64	cold	2	12706641	16763	78863	0	0
xhost_write	uniform	64	cold	3	736066	17955	50312	0	0
xhost_write	zipf	1	cold	2	261889	10697	12224	0	0
xhost_write	zipf	4	cold	3	968050	5056	17031	0	0
xhost_write	zipf	32	cold	1	6195633	12253	171174	0	0
xhost_write	zipf	32	cold	2	8517815	10201	27773	0	0
xhost_write	zipf	32	cold	3	5798546	12356	188899	0	0
xhost_write	zipf	64	cold	1	6704704	15116	594432	0	0
xhost_write	zipf	64	cold	2	6856735	14599	720180	0	0
xhost_write	zipf	64	cold	3	6867943	14980	700476	0	0
