scenario	keydist	T	cache	rep	trans_agg_thpt	w_p50	w_p99	r_p50	r_p99
local_read	uniform	1	cold	1	382354	0	0	546	13526
local_read	uniform	1	cold	2	381412	0	0	543	13524
local_read	uniform	1	cold	3	382594	0	0	540	13478
local_read	uniform	1	warm	1	382524	0	0	556	13477
local_read	uniform	1	warm	2	382381	0	0	544	13507
local_read	uniform	1	warm	3	383333	0	0	540	13479
local_read	uniform	4	cold	1	1533890	0	0	3474	13596
local_read	uniform	4	cold	2	1538707	0	0	3479	13620
local_read	uniform	4	cold	3	1534114	0	0	3479	13571
local_read	uniform	4	warm	1	1548586	0	0	3436	13657
local_read	uniform	4	warm	2	1541345	0	0	3463	13652
local_read	uniform	4	warm	3	1544005	0	0	3463	13600
local_read	uniform	32	cold	1	7662893	0	0	7450	17755
local_read	uniform	32	cold	2	7577020	0	0	7445	17342
local_read	uniform	32	cold	3	7708495	0	0	7372	17482
