T,N,routing,rep,thpt,wp50_us,wp99_us,wc_s
8,0,worker_id,1,709440,22.30,24.54,11
8,0,worker_id,2,766405,20.75,22.65,11
8,0,worker_id,3,766532,20.75,22.24,11
16,0,worker_id,1,767485,41.50,44.06,12
16,0,worker_id,2,767406,41.51,44.07,11
16,0,worker_id,3,764525,41.56,44.49,11
32,0,worker_id,1,831244,76.62,81.36,10
32,0,worker_id,2,830608,76.68,84.06,10
32,0,worker_id,3,811213,78.34,86.69,10
64,0,worker_id,1,814962,156.28,163.99,11
64,0,worker_id,2,811921,156.81,171.58,12
64,0,worker_id,3,824010,154.75,161.24,12
8,4,worker_id,1,1239779,12.43,16.20,9
8,4,worker_id,2,1244714,12.48,16.50,9
8,4,worker_id,3,1221053,12.18,16.66,9
16,4,worker_id,1,1511507,20.58,31.88,8
16,4,worker_id,2,1490189,20.22,30.72,8
16,4,worker_id,3,1505731,20.15,30.89,8
32,4,worker_id,1,1486830,38.82,96.68,8
32,4,worker_id,2,1506651,38.51,107.46,8
32,4,worker_id,3,1518266,35.67,135.36,8
64,4,worker_id,1,1422146,69.95,1406.66,9
64,4,worker_id,2,1508697,80.34,183.72,9
64,4,worker_id,3,1489006,79.98,184.32,9
8,8,worker_id,1,767116,20.75,22.04,11
8,8,worker_id,2,751826,20.98,23.57,11
8,8,worker_id,3,712705,22.22,24.40,11
16,8,worker_id,1,1439402,20.14,25.57,8
16,8,worker_id,2,1445219,20.04,25.41,8
16,8,worker_id,3,1415940,21.36,25.85,8
32,8,worker_id,1,1510645,41.35,57.06,8
32,8,worker_id,2,1525625,41.06,57.64,7
32,8,worker_id,3,1502509,41.19,58.05,7
64,8,worker_id,1,1512711,81.32,188.66,9
64,8,worker_id,2,1484320,79.93,167.36,9
64,8,worker_id,3,1501013,80.71,172.56,9
8,0,key_hash,1,752159,20.99,23.52,12
8,0,key_hash,2,766472,20.75,22.54,11
8,0,key_hash,3,765489,20.77,22.78,11
16,0,key_hash,1,759541,41.68,45.00,11
16,0,key_hash,2,767476,41.51,44.01,11
16,0,key_hash,3,767264,41.51,44.10,11
32,0,key_hash,1,831732,76.56,80.92,11
32,0,key_hash,2,832210,76.56,81.18,11
32,0,key_hash,3,831260,76.63,82.17,11
64,0,key_hash,1,823116,154.85,160.04,11
64,0,key_hash,2,821442,155.22,160.27,11
64,0,key_hash,3,812608,156.77,171.07,12
8,4,key_hash,1,764957,20.78,22.66,11
8,4,key_hash,2,766796,20.76,22.16,11
8,4,key_hash,3,765759,20.78,22.24,11
16,4,key_hash,1,819467,38.87,42.08,10
16,4,key_hash,2,791383,40.06,44.16,10
16,4,key_hash,3,802482,39.55,43.88,10
32,4,key_hash,1,817909,77.95,81.19,11
32,4,key_hash,2,827967,76.99,80.45,10
32,4,key_hash,3,828870,76.88,80.47,10
64,4,key_hash,1,794245,160.30,167.62,11
64,4,key_hash,2,785436,115.69,759.14,11
64,4,key_hash,3,794801,160.32,167.04,11
8,8,key_hash,1,710816,22.27,24.49,11
8,8,key_hash,2,710293,22.29,24.69,11
8,8,key_hash,3,752257,20.98,23.50,12
16,8,key_hash,1,791154,40.06,44.12,11
16,8,key_hash,2,766313,41.54,44.28,11
16,8,key_hash,3,767093,41.52,43.96,11
32,8,key_hash,1,818859,77.75,83.80,11
32,8,key_hash,2,811056,78.47,85.24,11
32,8,key_hash,3,829901,76.80,80.38,11
64,8,key_hash,1,802016,90.80,718.84,12
64,8,key_hash,2,478627,148.54,1821.32,16
64,8,key_hash,3,814557,156.48,162.38,12
