[A:cfg] ring_sharding T=32 N=0 (disabled) -> shards=1 block=32 routing=worker_id
[A:thread] Worker pinned host=0 client=1 -> cpu=1 (pid=34886)
[A:thread] Worker pinned host=0 client=2 -> cpu=2 (pid=34887)
[A:thread] Worker pinned host=0 client=3 -> cpu=3 (pid=34888)
[A:thread] Worker pinned host=0 client=4 -> cpu=4 (pid=34889)
[A:thread] Worker pinned host=0 client=5 -> cpu=5 (pid=34890)
[A:thread] Worker pinned host=0 client=6 -> cpu=6 (pid=34891)
[A:thread] Worker pinned host=0 client=7 -> cpu=7 (pid=34892)
[A:thread] Worker pinned host=0 client=8 -> cpu=8 (pid=34893)
[A:thread] Worker pinned host=0 client=9 -> cpu=9 (pid=34894)
[A:thread] Worker pinned host=0 client=10 -> cpu=10 (pid=34895)
[A:thread] Worker pinned host=0 client=11 -> cpu=11 (pid=34896)
[A:thread] Worker pinned host=0 client=12 -> cpu=12 (pid=34897)
[A:thread] Worker pinned host=0 client=13 -> cpu=13 (pid=34898)
[A:thread] Worker pinned host=0 client=14 -> cpu=14 (pid=34899)
[A:thread] Worker pinned host=0 client=15 -> cpu=15 (pid=34900)
[A:thread] Worker pinned host=0 client=16 -> cpu=16 (pid=34901)
[A:thread] Worker pinned host=0 client=17 -> cpu=17 (pid=34902)
[A:thread] Worker pinned host=0 client=18 -> cpu=18 (pid=34903)
[A:thread] Worker pinned host=0 client=20 -> cpu=20 (pid=34905)
[A:thread] Worker pinned host=0 client=19 -> cpu=19 (pid=34904)
[A:thread] Worker pinned host=0 client=21 -> cpu=21 (pid=34906)
[A:thread] Worker pinned host=0 client=22 -> cpu=22 (pid=34907)
[A:thread] Worker pinned host=0 client=23 -> cpu=23 (pid=34908)
[A:thread] Worker pinned host=0 client=24 -> cpu=24 (pid=34909)
[A:thread] Worker pinned host=0 client=25 -> cpu=25 (pid=34910)
[A:thread] Worker pinned host=0 client=26 -> cpu=26 (pid=34911)
[A:thread] Worker pinned host=0 client=27 -> cpu=27 (pid=34912)
[A:thread] Worker pinned host=0 client=28 -> cpu=28 (pid=34913)
[A:thread] Worker pinned host=0 client=29 -> cpu=29 (pid=34914)
[A:thread] Worker pinned host=0 client=0 -> cpu=0 (pid=34863)
[A:thread] Worker pinned host=0 client=30 -> cpu=30 (pid=34915)
[A:thread] Worker pinned host=0 client=31 -> cpu=31 (pid=34916)
[A:thread] WriteRecv0 pid=34863 tid=140663878088384 cpu=64 host=0 rings=[0]
[A:thread] ReadRecv0 pid=34863 tid=140663869695680 cpu=65 host=0 rings=[0]
[A:thread] InvalRecv0 pid=34863 tid=140663861302976 cpu=66 host=0 rings=[0]
[A:thread] ReservHandler pid=34863 tid=140663852910272 pinned cpu=85 (host_id=0)
[A:tls] worker host=0 client=18 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=17 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=10 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=24 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=3 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=20 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=28 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=26 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=2 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=16 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=8 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=21 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=22 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=7 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=11 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=6 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=0 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=19 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=4 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=14 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=27 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=15 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=31 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=9 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=30 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=23 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=25 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=12 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=1 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=13 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=5 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=29 entries=1024 (~1088 KiB)
