dist,T,N,threads_force,routing,rep,thpt,wp50_us,wp99_us,wc_s
zipf,64,4,1,worker_id,1,813064,156.04,198.60,20
zipf,64,4,1,worker_id,2,812118,156.36,190.53,20
zipf,64,4,1,worker_id,3,810620,156.22,201.26,20
zipf,64,4,2,worker_id,1,1606163,78.74,97.99,17
zipf,64,4,2,worker_id,2,1579822,78.64,111.07,17
zipf,64,4,2,worker_id,3,1606019,78.81,96.81,16
zipf,64,4,4,worker_id,1,3028583,40.93,69.96,16
zipf,64,4,4,worker_id,2,3036296,40.92,70.47,16
zipf,64,4,4,worker_id,3,3031603,40.91,70.33,16
zipf,64,4,8,worker_id,1,512079,20.62,633.36,26
zipf,64,4,8,worker_id,2,409293,20.86,637.44,28
zipf,64,4,8,worker_id,3,659558,20.79,644.52,25
zipf,64,4,16,worker_id,1,92005,8.49,24.39,71
zipf,64,4,16,worker_id,2,92945,9.93,25.48,71
zipf,64,4,16,worker_id,3,81107,8.64,21.14,79
zipf,64,4,default,worker_id,1,5783094,21.27,30.79,17
zipf,64,4,default,worker_id,2,5633752,21.09,40.88,17
zipf,64,4,default,worker_id,3,5802079,21.28,29.28,18
uniform,64,4,1,worker_id,1,812164,156.70,165.09,20
uniform,64,4,1,worker_id,2,809871,156.63,169.00,20
uniform,64,4,1,worker_id,3,810824,156.66,168.83,20
uniform,64,4,2,worker_id,1,1588876,78.84,120.72,16
uniform,64,4,2,worker_id,2,1575114,78.81,124.15,17
uniform,64,4,2,worker_id,3,1598351,78.75,117.82,17
uniform,64,4,4,worker_id,1,3004350,40.92,67.44,15
uniform,64,4,4,worker_id,2,3025246,40.95,71.35,15
uniform,64,4,4,worker_id,3,3010704,41.02,70.98,16
uniform,64,4,8,worker_id,1,1959573,20.78,614.76,19
uniform,64,4,8,worker_id,2,445345,19.82,2304.14,28
uniform,64,4,8,worker_id,3,452771,20.59,554.39,27
uniform,64,4,16,worker_id,1,89954,10.39,31.24,72
uniform,64,4,16,worker_id,2,91718,11.33,19.95,71
uniform,64,4,16,worker_id,3,86840,11.74,30.27,75
uniform,64,4,default,worker_id,1,5774605,21.12,41.34,17
uniform,64,4,default,worker_id,2,5503201,21.08,47.34,17
uniform,64,4,default,worker_id,3,3890369,20.95,737.70,18
