[A:cfg] ring_sharding T=64 N=4 -> shards=16 block=4 routing=worker_id
[A:thread] Worker pinned host=0 client=1 -> cpu=1 (pid=49863)
[A:thread] Worker pinned host=0 client=2 -> cpu=2 (pid=49864)
[A:thread] Worker pinned host=0 client=3 -> cpu=3 (pid=49865)
[A:thread] Worker pinned host=0 client=4 -> cpu=4 (pid=49866)
[A:thread] Worker pinned host=0 client=5 -> cpu=5 (pid=49867)
[A:thread] Worker pinned host=0 client=6 -> cpu=6 (pid=49868)
[A:thread] Worker pinned host=0 client=7 -> cpu=7 (pid=49869)
[A:thread] Worker pinned host=0 client=8 -> cpu=8 (pid=49870)
[A:thread] Worker pinned host=0 client=9 -> cpu=9 (pid=49871)
[A:thread] Worker pinned host=0 client=10 -> cpu=10 (pid=49872)
[A:thread] Worker pinned host=0 client=11 -> cpu=11 (pid=49873)
[A:thread] Worker pinned host=0 client=12 -> cpu=12 (pid=49874)
[A:thread] Worker pinned host=0 client=13 -> cpu=13 (pid=49875)
[A:thread] Worker pinned host=0 client=14 -> cpu=14 (pid=49876)
[A:thread] Worker pinned host=0 client=15 -> cpu=15 (pid=49877)
[A:thread] Worker pinned host=0 client=16 -> cpu=16 (pid=49878)
[A:thread] Worker pinned host=0 client=17 -> cpu=17 (pid=49879)
[A:thread] Worker pinned host=0 client=18 -> cpu=18 (pid=49880)
[A:thread] Worker pinned host=0 client=19 -> cpu=19 (pid=49881)
[A:thread] Worker pinned host=0 client=20 -> cpu=20 (pid=49882)
[A:thread] Worker pinned host=0 client=21 -> cpu=21 (pid=49883)
[A:thread] Worker pinned host=0 client=22 -> cpu=22 (pid=49884)
[A:thread] Worker pinned host=0 client=23 -> cpu=23 (pid=49885)
[A:thread] Worker pinned host=0 client=24 -> cpu=24 (pid=49886)
[A:thread] Worker pinned host=0 client=25 -> cpu=25 (pid=49887)
[A:thread] Worker pinned host=0 client=26 -> cpu=26 (pid=49888)
[A:thread] Worker pinned host=0 client=27 -> cpu=27 (pid=49889)
[A:thread] Worker pinned host=0 client=28 -> cpu=28 (pid=49890)
[A:thread] Worker pinned host=0 client=29 -> cpu=29 (pid=49891)
[A:thread] Worker pinned host=0 client=30 -> cpu=30 (pid=49892)
[A:thread] Worker pinned host=0 client=31 -> cpu=31 (pid=49893)
[A:thread] Worker pinned host=0 client=32 -> cpu=32 (pid=49894)
[A:thread] Worker pinned host=0 client=33 -> cpu=33 (pid=49895)
[A:thread] Worker pinned host=0 client=34 -> cpu=34 (pid=49896)
[A:thread] Worker pinned host=0 client=35 -> cpu=35 (pid=49897)
[A:thread] Worker pinned host=0 client=36 -> cpu=36 (pid=49898)
[A:thread] Worker pinned host=0 client=37 -> cpu=37 (pid=49899)
[A:thread] Worker pinned host=0 client=38 -> cpu=38 (pid=49900)
[A:thread] Worker pinned host=0 client=39 -> cpu=39 (pid=49901)
[A:thread] Worker pinned host=0 client=40 -> cpu=40 (pid=49902)
[A:thread] Worker pinned host=0 client=41 -> cpu=41 (pid=49903)
[A:thread] Worker pinned host=0 client=42 -> cpu=42 (pid=49904)
[A:thread] Worker pinned host=0 client=43 -> cpu=43 (pid=49905)
[A:thread] Worker pinned host=0 client=44 -> cpu=44 (pid=49906)
[A:thread] Worker pinned host=0 client=45 -> cpu=45 (pid=49907)
[A:thread] Worker pinned host=0 client=46 -> cpu=46 (pid=49908)
[A:thread] Worker pinned host=0 client=47 -> cpu=47 (pid=49909)
[A:thread] Worker pinned host=0 client=48 -> cpu=48 (pid=49910)
[A:thread] Worker pinned host=0 client=49 -> cpu=49 (pid=49911)
[A:thread] Worker pinned host=0 client=50 -> cpu=50 (pid=49912)
[A:thread] Worker pinned host=0 client=51 -> cpu=51 (pid=49913)
[A:thread] Worker pinned host=0 client=52 -> cpu=52 (pid=49914)
[A:thread] Worker pinned host=0 client=53 -> cpu=53 (pid=49915)
[A:thread] Worker pinned host=0 client=54 -> cpu=54 (pid=49916)
[A:thread] Worker pinned host=0 client=55 -> cpu=55 (pid=49917)
[A:thread] Worker pinned host=0 client=56 -> cpu=56 (pid=49918)
[A:thread] Worker pinned host=0 client=57 -> cpu=57 (pid=49919)
[A:thread] Worker pinned host=0 client=58 -> cpu=58 (pid=49920)
[A:thread] Worker pinned host=0 client=59 -> cpu=59 (pid=49921)
[A:thread] Worker pinned host=0 client=60 -> cpu=60 (pid=49922)
[A:thread] Worker pinned host=0 client=61 -> cpu=61 (pid=49923)
[A:thread] Worker pinned host=0 client=0 -> cpu=0 (pid=49862)
[A:thread] Worker pinned host=0 client=62 -> cpu=62 (pid=49924)
[A:thread] Worker pinned host=0 client=63 -> cpu=63 (pid=49925)
[A:thread] WriteRecv0 pid=49862 tid=139948148463296 cpu=64 host=0 rings=[0,1,2,3,4,5,6,7]
[A:thread] WriteRecv1 pid=49862 tid=139948140070592 cpu=65 host=0 rings=[8,9,10,11,12,13,14,15]
[A:thread] ReadRecv0 pid=49862 tid=139948131677888 cpu=66 host=0 rings=[0,1,2,3,4,5,6,7]
[A:thread] ReadRecv1 pid=49862 tid=139948081657536 cpu=67 host=0 rings=[8,9,10,11,12,13,14,15]
[A:thread] InvalRecv0 pid=49862 tid=139948073264832 cpu=68 host=0 rings=[0,1,2,3,4,5,6,7]
[A:thread] InvalRecv1 pid=49862 tid=139948064872128 cpu=69 host=0 rings=[8,9,10,11,12,13,14,15]
[A:thread] ReservHandler pid=49862 tid=139948056479424 pinned cpu=85 (host_id=0)
[A:tls] worker host=0 client=63 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=3 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=5 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=16 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=15 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=57 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=9 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=8 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=59 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=12 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=0 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=43 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=14 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=55 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=48 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=10 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=45 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=31 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=54 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=49 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=47 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=44 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=1 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=26 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=50 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=36 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=42 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=61 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=6 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=18 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=20 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=34 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=38 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=30 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=51 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=53 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=32 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=7 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=52 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=58 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=24 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=27 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=21 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=23 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=2 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=60 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=41 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=28 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=22 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=19 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=35 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=62 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=33 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=37 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=39 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=25 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=56 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=40 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=46 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=13 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=4 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=29 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=17 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=11 entries=1024 (~1088 KiB)
