[A:cfg] ring_sharding T=64 N=4 -> shards=16 block=4 routing=worker_id
[A:thread] Worker pinned host=0 client=1 -> cpu=1 (pid=50001)
[A:thread] Worker pinned host=0 client=2 -> cpu=2 (pid=50002)
[A:thread] Worker pinned host=0 client=3 -> cpu=3 (pid=50003)
[A:thread] Worker pinned host=0 client=4 -> cpu=4 (pid=50004)
[A:thread] Worker pinned host=0 client=5 -> cpu=5 (pid=50005)
[A:thread] Worker pinned host=0 client=6 -> cpu=6 (pid=50006)
[A:thread] Worker pinned host=0 client=7 -> cpu=7 (pid=50007)
[A:thread] Worker pinned host=0 client=8 -> cpu=8 (pid=50008)
[A:thread] Worker pinned host=0 client=9 -> cpu=9 (pid=50009)
[A:thread] Worker pinned host=0 client=10 -> cpu=10 (pid=50010)
[A:thread] Worker pinned host=0 client=11 -> cpu=11 (pid=50011)
[A:thread] Worker pinned host=0 client=12 -> cpu=12 (pid=50012)
[A:thread] Worker pinned host=0 client=13 -> cpu=13 (pid=50013)
[A:thread] Worker pinned host=0 client=14 -> cpu=14 (pid=50014)
[A:thread] Worker pinned host=0 client=15 -> cpu=15 (pid=50015)
[A:thread] Worker pinned host=0 client=16 -> cpu=16 (pid=50016)
[A:thread] Worker pinned host=0 client=17 -> cpu=17 (pid=50017)
[A:thread] Worker pinned host=0 client=18 -> cpu=18 (pid=50018)
[A:thread] Worker pinned host=0 client=19 -> cpu=19 (pid=50019)
[A:thread] Worker pinned host=0 client=20 -> cpu=20 (pid=50020)
[A:thread] Worker pinned host=0 client=21 -> cpu=21 (pid=50021)
[A:thread] Worker pinned host=0 client=22 -> cpu=22 (pid=50022)
[A:thread] Worker pinned host=0 client=23 -> cpu=23 (pid=50023)
[A:thread] Worker pinned host=0 client=24 -> cpu=24 (pid=50024)
[A:thread] Worker pinned host=0 client=25 -> cpu=25 (pid=50025)
[A:thread] Worker pinned host=0 client=26 -> cpu=26 (pid=50026)
[A:thread] Worker pinned host=0 client=27 -> cpu=27 (pid=50027)
[A:thread] Worker pinned host=0 client=28 -> cpu=28 (pid=50028)
[A:thread] Worker pinned host=0 client=29 -> cpu=29 (pid=50029)
[A:thread] Worker pinned host=0 client=30 -> cpu=30 (pid=50030)
[A:thread] Worker pinned host=0 client=31 -> cpu=31 (pid=50031)
[A:thread] Worker pinned host=0 client=32 -> cpu=32 (pid=50032)
[A:thread] Worker pinned host=0 client=33 -> cpu=33 (pid=50033)
[A:thread] Worker pinned host=0 client=35 -> cpu=35 (pid=50035)
[A:thread] Worker pinned host=0 client=36 -> cpu=36 (pid=50036)
[A:thread] Worker pinned host=0 client=37 -> cpu=37 (pid=50037)
[A:thread] Worker pinned host=0 client=34 -> cpu=34 (pid=50034)
[A:thread] Worker pinned host=0 client=38 -> cpu=38 (pid=50038)
[A:thread] Worker pinned host=0 client=39 -> cpu=39 (pid=50039)
[A:thread] Worker pinned host=0 client=40 -> cpu=40 (pid=50040)
[A:thread] Worker pinned host=0 client=41 -> cpu=41 (pid=50041)
[A:thread] Worker pinned host=0 client=42 -> cpu=42 (pid=50042)
[A:thread] Worker pinned host=0 client=43 -> cpu=43 (pid=50043)
[A:thread] Worker pinned host=0 client=44 -> cpu=44 (pid=50044)
[A:thread] Worker pinned host=0 client=45 -> cpu=45 (pid=50045)
[A:thread] Worker pinned host=0 client=46 -> cpu=46 (pid=50046)
[A:thread] Worker pinned host=0 client=47 -> cpu=47 (pid=50047)
[A:thread] Worker pinned host=0 client=48 -> cpu=48 (pid=50048)
[A:thread] Worker pinned host=0 client=49 -> cpu=49 (pid=50049)
[A:thread] Worker pinned host=0 client=50 -> cpu=50 (pid=50050)
[A:thread] Worker pinned host=0 client=51 -> cpu=51 (pid=50051)
[A:thread] Worker pinned host=0 client=52 -> cpu=52 (pid=50052)
[A:thread] Worker pinned host=0 client=53 -> cpu=53 (pid=50053)
[A:thread] Worker pinned host=0 client=54 -> cpu=54 (pid=50054)
[A:thread] Worker pinned host=0 client=55 -> cpu=55 (pid=50055)
[A:thread] Worker pinned host=0 client=56 -> cpu=56 (pid=50056)
[A:thread] Worker pinned host=0 client=57 -> cpu=57 (pid=50057)
[A:thread] Worker pinned host=0 client=58 -> cpu=58 (pid=50058)
[A:thread] Worker pinned host=0 client=59 -> cpu=59 (pid=50059)
[A:thread] Worker pinned host=0 client=60 -> cpu=60 (pid=50060)
[A:thread] Worker pinned host=0 client=61 -> cpu=61 (pid=50061)
[A:thread] Worker pinned host=0 client=62 -> cpu=62 (pid=50062)
[A:thread] Worker pinned host=0 client=0 -> cpu=0 (pid=49977)
[A:thread] Worker pinned host=0 client=63 -> cpu=63 (pid=50063)
[A:thread] WriteRecv0 pid=49977 tid=139789220157120 cpu=64 host=0 rings=[0,1,2,3,4,5,6,7[A:thread] WriteRecv1 pid=49977 tid=139789211764416 cpu=65 host=0 rings=[8,9,10,11,12,13,14,15]
]
[A:thread] ReadRecv0 pid=49977 tid=139789203371712 cpu=66 host=0 rings=[0,1,2,3,4,5,6,7]
[A:thread] ReadRecv1 pid=49977 tid=139789153351360 cpu=67 host=0 rings=[8,9,10,11,12,13,14,15]
[A:thread] InvalRecv0 pid=49977 tid=139789144958656 cpu=68 host=0 rings=[0,1,2,3,4,5,6,7]
[A:thread] InvalRecv1 pid=49977 tid=139789136565952 cpu=69 host=0 rings=[8,9,10,11,12,13,14,15]
[A:thread] ReservHandler pid=49977 tid=139789128173248 pinned cpu=85 (host_id=0)
[A:tls] worker host=0 client=57 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=59 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=52 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=62 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=48 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=56 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=60 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=46 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=54 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=63 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=43 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=44 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=37 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=6 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=49 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=58 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=45 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=0 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=28 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=53 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=61 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=42 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=3 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=2 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=8 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=41 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=31 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=51 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=24 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=39 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=16 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=30 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=32 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=9 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=35 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=25 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=40 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=13 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=4 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=29 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=18 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=55 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=22 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=34 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=7 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=20 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=50 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=12 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=47 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=33 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=23 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=15 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=38 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=21 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=11 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=36 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=26 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=10 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=5 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=14 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=17 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=19 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=1 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=27 entries=1024 (~1088 KiB)
# PATH host=0 label=after_LOAD tid=139789220370560 r0_tls=0 r2hit=0 r2miss_local=0 r3=0 cpool_ins_r=0 local_w=1000929 fwd_w=0 local_w_blk_fwd=0 local_w_stg_fwd=0 cpool_ins_w=1000929 cp_evict=0 cp_set_stale=0 cp_lru_evict=486677 rh_served=0
