T,N,routing,rep,thpt,wp50_us,wp99_us,wc_s
1,0,worker_id,1,223062,9.35,10.72,36
1,0,worker_id,2,223094,9.35,10.71,36
1,0,worker_id,3,223222,9.34,10.72,36
2,0,worker_id,1,435165,9.46,11.45,25
2,0,worker_id,2,434544,9.46,12.58,25
2,0,worker_id,3,435150,9.45,12.52,25
4,0,worker_id,1,686564,11.95,15.30,20
4,0,worker_id,2,683710,12.00,15.29,20
4,0,worker_id,3,691201,11.88,15.28,21
8,0,worker_id,1,821776,19.69,23.93,19
8,0,worker_id,2,822949,19.70,23.50,20
8,0,worker_id,3,827576,19.64,22.77,19
16,0,worker_id,1,827248,38.91,43.63,20
16,0,worker_id,2,829261,38.84,43.52,19
16,0,worker_id,3,822753,39.05,44.49,20
32,0,worker_id,1,912738,70.15,77.76,19
32,0,worker_id,2,910812,70.31,77.52,20
32,0,worker_id,3,917987,69.80,76.31,19
64,0,worker_id,1,896109,140.82,209.56,28
64,0,worker_id,2,906471,140.65,160.37,28
64,0,worker_id,3,906289,140.93,159.93,28
1,4,worker_id,1,223193,9.34,10.73,36
1,4,worker_id,2,222978,9.35,10.72,36
1,4,worker_id,3,223146,9.34,10.73,36
2,4,worker_id,1,434844,9.46,12.58,25
2,4,worker_id,2,322248,9.44,12.57,29
2,4,worker_id,3,434443,9.47,12.73,25
4,4,worker_id,1,685201,11.99,15.32,20
4,4,worker_id,2,692882,11.82,15.24,20
4,4,worker_id,3,699759,11.71,15.19,20
8,4,worker_id,1,1374711,11.65,15.33,16
8,4,worker_id,2,1397697,11.34,15.26,16
8,4,worker_id,3,1452097,11.01,15.01,17
16,4,worker_id,1,2876601,10.67,15.54,15
16,4,worker_id,2,2891694,10.73,15.49,15
16,4,worker_id,3,2938801,10.65,15.52,15
32,4,worker_id,1,5543212,10.98,15.50,14
32,4,worker_id,2,5525020,11.04,15.39,14
32,4,worker_id,3,5438985,11.02,15.54,14
64,4,worker_id,1,5982335,19.99,37.98,30
64,4,worker_id,2,6050704,20.18,36.52,30
64,4,worker_id,3,5904296,19.83,42.10,30
1,8,worker_id,1,223055,9.34,10.73,36
1,8,worker_id,2,223141,9.34,10.71,36
1,8,worker_id,3,223035,9.35,10.72,35
2,8,worker_id,1,265245,9.45,12.62,32
2,8,worker_id,2,282184,9.44,12.63,31
2,8,worker_id,3,434706,9.46,12.62,25
4,8,worker_id,1,688030,11.93,15.28,20
4,8,worker_id,2,693420,11.82,15.27,20
4,8,worker_id,3,686365,11.95,15.31,21
8,8,worker_id,1,822796,19.72,23.08,20
8,8,worker_id,2,825665,19.66,23.19,19
8,8,worker_id,3,816306,19.83,23.86,20
16,8,worker_id,1,1691581,18.57,22.64,16
16,8,worker_id,2,1683650,18.45,22.60,16
16,8,worker_id,3,1687533,18.65,22.80,16
32,8,worker_id,1,3176168,19.69,25.05,15
32,8,worker_id,2,3201772,19.53,25.34,16
32,8,worker_id,3,3213718,19.75,25.21,15
64,8,worker_id,1,4675466,19.74,45.62,31
64,8,worker_id,2,5440690,20.11,42.61,30
64,8,worker_id,3,5736069,20.59,39.42,31
1,0,key_hash,1,223076,9.34,10.72,36
1,0,key_hash,2,223016,9.35,10.73,36
1,0,key_hash,3,223161,9.33,10.71,36
2,0,key_hash,1,434551,9.46,12.37,24
2,0,key_hash,2,343110,9.46,12.55,28
2,0,key_hash,3,246571,9.45,12.85,33
4,0,key_hash,1,692485,11.83,15.25,20
4,0,key_hash,2,691241,11.88,15.21,21
4,0,key_hash,3,687635,11.93,15.31,20
8,0,key_hash,1,828061,19.62,22.75,19
8,0,key_hash,2,823234,19.70,23.52,19
8,0,key_hash,3,823938,19.70,23.36,19
16,0,key_hash,1,826484,38.94,43.61,19
16,0,key_hash,2,828384,38.87,43.59,19
16,0,key_hash,3,829419,38.84,43.51,19
32,0,key_hash,1,909957,70.34,77.85,19
32,0,key_hash,2,910072,70.31,79.42,18
32,0,key_hash,3,911426,70.22,77.42,19
64,0,key_hash,1,874469,142.19,220.78,29
64,0,key_hash,2,876043,140.27,217.08,28
64,0,key_hash,3,876339,141.10,218.62,28
1,4,key_hash,1,223293,9.34,10.72,36
1,4,key_hash,2,223138,9.34,10.73,35
1,4,key_hash,3,223317,9.34,10.71,35
2,4,key_hash,1,331922,9.44,12.69,28
2,4,key_hash,2,435144,9.45,12.61,25
2,4,key_hash,3,434971,9.46,12.64,24
4,4,key_hash,1,688547,11.90,15.32,20
4,4,key_hash,2,692671,11.83,15.27,21
4,4,key_hash,3,690957,11.86,15.29,21
8,4,key_hash,1,1165385,13.13,21.55,17
8,4,key_hash,2,1200402,13.13,21.70,17
8,4,key_hash,3,1201902,13.11,21.63,17
16,4,key_hash,1,2471553,12.40,24.81,15
16,4,key_hash,2,2461705,12.43,24.93,15
16,4,key_hash,3,2472724,12.38,24.82,15
32,4,key_hash,1,4673534,12.63,27.59,14
32,4,key_hash,2,4706480,12.64,27.68,14
32,4,key_hash,3,4707388,12.67,27.65,14
64,4,key_hash,1,5207872,16.99,94.21,31
64,4,key_hash,2,5346472,17.64,102.71,31
64,4,key_hash,3,5097224,17.45,203.16,30
1,8,key_hash,1,223155,9.33,10.73,35
1,8,key_hash,2,223098,9.34,10.73,35
1,8,key_hash,3,223042,9.34,10.73,36
2,8,key_hash,1,434940,9.46,12.63,24
2,8,key_hash,2,434915,9.46,12.59,24
2,8,key_hash,3,435209,9.46,12.53,24
4,8,key_hash,1,693216,11.84,15.23,21
4,8,key_hash,2,692004,11.84,15.29,20
4,8,key_hash,3,687404,11.94,15.30,20
8,8,key_hash,1,822550,19.72,23.39,19
8,8,key_hash,2,825661,19.63,23.34,19
8,8,key_hash,3,825103,19.69,22.80,19
16,8,key_hash,1,1568929,20.35,34.93,16
16,8,key_hash,2,1572862,20.15,34.91,16
16,8,key_hash,3,1570385,20.35,34.94,16
32,8,key_hash,1,2951355,19.96,47.85,15
32,8,key_hash,2,2957731,19.97,47.72,15
32,8,key_hash,3,2974336,20.14,47.23,15
64,8,key_hash,1,5143673,20.01,56.07,30
64,8,key_hash,2,5492181,20.45,61.41,30
64,8,key_hash,3,5205768,20.09,68.62,30
