Group,Dist,T=1,T=2,T=4,T=8,T=16,T=32,T=64
1. iter-15A baseline,zipf-0.99,0.198,0.315,0.527,0.555,0.565,0.612,0.604
1. iter-15A baseline,uniform,NA,NA,NA,NA,NA,NA,NA
2. iter-17A path opt N=0,zipf-0.99,0.227,0.318,0.735,0.924,0.932,1.019,1.009
2. iter-17A path opt N=0,uniform,0.223,0.435,0.687,0.823,0.827,0.913,0.906
3. Plan A worker_id N=0,zipf-0.99,0.227,0.318,0.735,0.924,0.932,1.019,1.009
3. Plan A worker_id N=0,uniform,0.223,0.435,0.687,0.823,0.827,0.913,0.906
4. Plan A worker_id N=4,zipf-0.99,0.227,0.306,0.736,1.258,2.503,2.663,6.628
4. Plan A worker_id N=4,uniform,0.223,0.434,0.693,1.398,2.892,5.525,5.982
5. Plan A worker_id N=8,zipf-0.99,0.228,0.445,0.736,0.910,1.866,3.572,6.001
5. Plan A worker_id N=8,uniform,0.223,0.282,0.688,0.823,1.688,3.202,5.441
6. Plan B key_hash  N=0,zipf-0.99,0.227,0.445,0.733,0.919,0.926,1.024,1.007
6. Plan B key_hash  N=0,uniform,0.223,0.343,0.691,0.824,0.828,0.910,0.876
7. Plan B key_hash  N=4,zipf-0.99,0.227,0.363,0.695,1.148,2.400,1.514,2.222
7. Plan B key_hash  N=4,uniform,0.223,0.435,0.691,1.200,2.472,4.706,5.208
8. Plan B key_hash  N=8,zipf-0.99,0.228,0.379,0.735,0.920,1.694,2.664,2.101
8. Plan B key_hash  N=8,uniform,0.223,0.435,0.692,0.825,1.570,2.958,5.206
