op_id,Stage1,Stage2,Stage3,Stage4,Stage5,Stage6,StageW,StageR1,StageR2,StageR3,StageR,RTT
72057594037928150,1882,2310,274,481638,3402,17536,507042,7954,1498,36,9488,497554
72057594037928247,1086,2382,182,464804,3676,8180,480310,3680,1448,38,5166,475144
72057594037928322,1070,2346,276,466476,2460,7088,479716,6874,1342,36,8252,471464
72057594037927994,1136,2176,192,672256,2564,18106,696430,7506,1440,36,8982,687448
72057594037928204,1130,2312,76,480860,3374,7336,495088,7248,1334,36,8618,486470
72057594037928344,430,2226,312,491078,3476,7164,504686,7436,1336,36,8808,495878
72057594037928382,1890,2426,320,482476,3420,6674,497206,7624,1650,42,9316,487890
72057594037928670,1714,2378,74,470774,3706,7828,486474,7138,1298,36,8472,478002
72057594037928961,1102,2434,326,478096,2670,7184,491812,6920,1312,38,8270,483542
72057594037928966,578,2230,318,489334,3734,3924,500118,6898,1256,36,8190,491928
72057594037929173,1090,2314,272,480100,4350,7700,495826,6726,1296,42,8064,487762
72057594037929241,1090,2384,322,484166,3620,3594,495176,7022,1306,36,8364,486812
72057594037929345,1074,2196,216,468844,3530,7926,483786,5100,1310,36,6446,477340
72057594037929490,1132,2294,166,247928,2738,3542,257800,6282,1298,42,7622,250178
72057594037928028,1134,2490,342,662102,2714,17590,686372,7840,1432,40,9312,677060
72057594037928530,1162,2518,286,467406,2830,7024,481226,7028,1554,40,8622,472604
72057594037928986,1126,2522,252,459750,2798,7858,474306,7574,1416,36,9026,465280
72057594037929052,1156,2440,306,464258,3588,4282,476030,7240,1296,38,8574,467456
72057594037929159,1146,2500,260,482686,3756,8644,498992,7822,1292,36,9150,489842
72057594037928100,1084,2346,76,680732,2572,17526,704336,7498,1442,38,8978,695358
72057594037928114,1076,2406,128,613970,2670,8048,628298,29960,1374,38,31372,596926
72057594037928368,2382,2300,196,476036,2614,8124,491652,6836,1310,40,8186,483466
72057594037928832,1100,2302,548,497100,3584,3076,507710,6868,1390,40,8298,499412
72057594037928183,1118,2506,228,451242,2840,17160,475094,16902,1274,40,18216,456878
72057594037928262,1226,2454,322,483934,2644,7142,497722,7586,1374,38,8998,488724
72057594037928479,1120,2502,76,479806,2630,3138,489272,6882,1234,38,8154,481118
72057594037928565,1522,2468,258,473268,2688,8188,488392,7092,1322,38,8452,479940
72057594037928624,1108,2956,76,466706,3876,7876,482598,7486,1468,42,8996,473602
72057594037929148,1736,2282,324,469660,3634,8194,485830,7300,1392,36,8728,477102
72057594037928224,1138,2640,370,471324,2840,7040,485352,6752,1404,40,8196,477156
72057594037928388,1120,2530,198,485514,2866,7832,500060,6770,1262,36,8068,491992
72057594037929452,1126,2618,82,481476,2852,8624,496778,5072,1374,38,6484,490294
72057594037928019,1078,2402,320,692714,2876,16686,716076,7482,1564,42,9088,706988
72057594037928509,1218,2202,326,482612,4312,8972,499642,7310,1500,42,8852,490790
72057594037928551,1074,2314,282,474358,4122,8148,490298,6952,1258,40,8250,482048
72057594037928811,1082,2900,178,465330,2512,7946,479948,7758,1288,38,9084,470864
72057594037929270,1090,2234,264,466322,2486,7866,480262,7068,1306,38,8412,471850
72057594037929336,1074,2210,330,493234,3510,7892,508250,5062,1356,38,6456,501794
72057594037929388,1102,2154,310,474670,3722,4514,486472,6256,1718,38,8012,478460
72057594037929401,1148,2374,10612,468384,3656,8030,494204,4950,1566,36,6552,487652
72057594037929493,1072,2394,340,76264,2994,8350,91414,5360,2128,38,7526,83888
72057594037928187,500,2350,1742,475938,2856,17730,501116,6840,1520,38,8398,492718
72057594037928354,1064,3170,312,472086,3006,7262,486900,6836,1232,38,8106,478794
72057594037928497,1096,2430,338,473698,3384,8204,489150,6852,1336,36,8224,480926
72057594037928696,1078,2332,302,472512,2816,8010,487050,6990,2268,38,9296,477754
72057594037929362,1370,2320,356,472374,3748,8726,488894,6374,1614,40,8028,480866
72057594037928087,1700,2258,178,478830,2834,18400,504200,7544,5062,38,12644,491556
72057594037928136,1120,3182,136,492512,3640,7248,507838,7578,1448,36,9062,498776
72057594037928195,1134,2252,354,516198,3572,7958,531468,7250,1366,38,8654,522814
72057594037928274,1210,2370,274,474292,2692,7984,488822,7594,1284,38,8916,479906
72057594037928479,1118,2198,312,470956,2578,7454,484616,6882,1234,38,8154,476462
72057594037928037,1154,2398,204,649412,3566,17470,674204,7446,1470,38,8954,665250
72057594037928176,1180,2528,120,472226,2952,6998,486004,6816,1344,36,8196,477808
72057594037928218,1516,2566,140,472294,2644,8312,487472,6792,1450,36,8278,479194
72057594037928318,1220,2878,314,477948,3710,7038,493108,6992,1496,36,8524,484584
72057594037928352,1200,2464,142,467046,2742,7876,481470,7102,1356,38,8496,472974
72057594037928535,1236,2494,186,474012,3648,7940,489516,7868,1248,40,9156,480360
72057594037929463,1150,2460,130,476806,3114,8366,492026,5158,1318,38,6514,485512
72057594037929484,1174,2590,262,404930,2890,8180,420026,3946,1854,40,5840,414186
72057594037927983,1126,2462,128,648160,2754,16870,671500,7820,1484,38,9342,662158
72057594037928141,1134,2492,332,634158,2776,7754,648646,7980,2314,42,10336,638310
72057594037928072,1088,2258,276,603960,3348,17002,627932,7396,1380,36,8812,619120
72057594037928732,1176,2236,268,461106,3360,7912,476058,6990,1340,38,8368,467690
72057594037929293,1130,2276,126,470994,2466,6826,483818,5116,1296,42,6454,477364
72057594037928810,1124,2352,324,459928,2652,7780,474160,7010,1390,36,8436,465724
72057594037929035,722,2308,480,487770,2850,4670,498800,6868,1330,34,8232,490568
72057594037929303,1108,2308,118,479312,3450,8412,494708,4266,1452,38,5756,488952
72057594037929453,1108,2438,292,479416,2712,8104,494070,5276,1370,36,6682,487388
72057594037928030,1574,2490,296,489742,2608,7386,504096,7746,1500,36,9282,494814
72057594037928319,340,2404,278,469632,2744,7748,483146,7436,1362,38,8836,474310
72057594037928406,1178,2456,400,456464,3734,9804,474036,7874,1392,40,9306,464730
72057594037928437,1262,2660,280,476582,3672,7156,491612,6780,1614,38,8432,483180
72057594037928822,1204,2520,290,463046,2914,3258,473232,6744,3194,40,9978,463254
72057594037929069,1164,2462,138,474970,3758,7806,490298,6866,1352,38,8256,482042
72057594037929477,1180,2446,280,473332,3608,7976,488822,5676,1368,42,7086,481736
72057594037928578,1118,2290,174,471976,2556,18386,496500,7762,1454,40,9256,487244
72057594037929180,1216,2430,320,468232,4156,8336,484690,7404,1384,38,8826,475864
72057594037928083,1124,2456,280,721504,2716,19138,747218,7814,1518,38,9370,737848
72057594037928113,1206,2496,200,652386,2816,7962,667066,6972,1340,36,8348,658718
72057594037928177,1654,2468,262,636786,2634,7330,651134,7764,1432,38,9234,641900
72057594037928411,926,2604,260,455790,3636,7788,471004,15692,1552,38,17282,453722
72057594037928706,1186,2492,314,463018,3542,7842,478394,7582,1304,38,8924,469470
72057594037929109,1264,2866,286,477994,3528,7434,493372,6826,1540,40,8406,484966
72057594037928274,1234,2602,292,484432,3208,18298,510066,7594,1284,38,8916,501150
72057594037928915,1452,2262,148,466068,3492,9262,482684,7692,1270,38,9000,473684
72057594037929047,2032,2356,194,470098,2986,7910,485576,7172,1450,38,8660,476916
72057594037929121,1120,2400,290,491342,2594,3744,501490,7100,1396,38,8534,492956
72057594037927984,1116,2268,284,650804,3006,17894,675372,7726,1496,42,9264,666108
72057594037928319,1272,2300,312,483392,3066,7846,498188,7436,1362,38,8836,489352
72057594037928567,1392,2502,180,484186,2848,9170,500278,6870,1392,42,8304,491974
