[A:cfg] ring_sharding T=64 N=0 (disabled) -> shards=1 block=64 routing=worker_id
[A:thread] Worker pinned host=0 client=1 -> cpu=1 (pid=63434)
[A:thread] Worker pinned host=0 client=2 -> cpu=2 (pid=63435)
[A:thread] Worker pinned host=0 client=3 -> cpu=3 (pid=63436)
[A:thread] Worker pinned host=0 client=4 -> cpu=4 (pid=63437)
[A:thread] Worker pinned host=0 client=5 -> cpu=5 (pid=63438)
[A:thread] Worker pinned host=0 client=6 -> cpu=6 (pid=63439)
[A:thread] Worker pinned host=0 client=7 -> cpu=7 (pid=63440)
[A:thread] Worker pinned host=0 client=8 -> cpu=8 (pid=63441)
[A:thread] Worker pinned host=0 client=9 -> cpu=9 (pid=63442)
[A:thread] Worker pinned host=0 client=10 -> cpu=10 (pid=63443)
[A:thread] Worker pinned host=0 client=11 -> cpu=11 (pid=63444)
[A:thread] Worker pinned host=0 client=12 -> cpu=12 (pid=63445)
[A:thread] Worker pinned host=0 client=13 -> cpu=13 (pid=63446)
[A:thread] Worker pinned host=0 client=14 -> cpu=14 (pid=63447)
[A:thread] Worker pinned host=0 client=15 -> cpu=15 (pid=63448)
[A:thread] Worker pinned host=0 client=16 -> cpu=16 (pid=63449)
[A:thread] Worker pinned host=0 client=17 -> cpu=17 (pid=63450)
[A:thread] Worker pinned host=0 client=18 -> cpu=18 (pid=63451)
[A:thread] Worker pinned host=0 client=19 -> cpu=19 (pid=63452)
[A:thread] Worker pinned host=0 client=20 -> cpu=20 (pid=63453)
[A:thread] Worker pinned host=0 client=21 -> cpu=21 (pid=63454)
[A:thread] Worker pinned host=0 client=22 -> cpu=22 (pid=63455)
[A:thread] Worker pinned host=0 client=23 -> cpu=23 (pid=63456)
[A:thread] Worker pinned host=0 client=24 -> cpu=24 (pid=63457)
[A:thread] Worker pinned host=0 client=25 -> cpu=25 (pid=63458)
[A:thread] Worker pinned host=0 client=26 -> cpu=26 (pid=63459)
[A:thread] Worker pinned host=0 client=27 -> cpu=27 (pid=63460)
[A:thread] Worker pinned host=0 client=28 -> cpu=28 (pid=63461)
[A:thread] Worker pinned host=0 client=29 -> cpu=29 (pid=63462)
[A:thread] Worker pinned host=0 client=30 -> cpu=30 (pid=63463)
[A:thread] Worker pinned host=0 client=31 -> cpu=31 (pid=63464)
[A:thread] Worker pinned host=0 client=32 -> cpu=32 (pid=63465)
[A:thread] Worker pinned host=0 client=33 -> cpu=33 (pid=63466)
[A:thread] Worker pinned host=0 client=34 -> cpu=34 (pid=63467)
[A:thread] Worker pinned host=0 client=35 -> cpu=35 (pid=63468)
[A:thread] Worker pinned host=0 client=36 -> cpu=36 (pid=63469)
[A:thread] Worker pinned host=0 client=37 -> cpu=37 (pid=63470)
[A:thread] Worker pinned host=0 client=38 -> cpu=38 (pid=63471)
[A:thread] Worker pinned host=0 client=39 -> cpu=39 (pid=63472)
[A:thread] Worker pinned host=0 client=40 -> cpu=40 (pid=63473)
[A:thread] Worker pinned host=0 client=41 -> cpu=41 (pid=63474)
[A:thread] Worker pinned host=0 client=42 -> cpu=42 (pid=63475)
[A:thread] Worker pinned host=0 client=43 -> cpu=43 (pid=63476)
[A:thread] Worker pinned host=0 client=44 -> cpu=44 (pid=63477)
[A:thread] Worker pinned host=0 client=45 -> cpu=45 (pid=63478)
[A:thread] Worker pinned host=0 client=46 -> cpu=46 (pid=63479)
[A:thread] Worker pinned host=0 client=47 -> cpu=47 (pid=63480)
[A:thread] Worker pinned host=0 client=48 -> cpu=48 (pid=63481)
[A:thread] Worker pinned host=0 client=49 -> cpu=49 (pid=63482)
[A:thread] Worker pinned host=0 client=50 -> cpu=50 (pid=63483)
[A:thread] Worker pinned host=0 client=51 -> cpu=51 (pid=63484)
[A:thread] Worker pinned host=0 client=52 -> cpu=52 (pid=63485)
[A:thread] Worker pinned host=0 client=53 -> cpu=53 (pid=63486)
[A:thread] Worker pinned host=0 client=54 -> cpu=54 (pid=63487)
[A:thread] Worker pinned host=0 client=55 -> cpu=55 (pid=63488)
[A:thread] Worker pinned host=0 client=56 -> cpu=56 (pid=63489)
[A:thread] Worker pinned host=0 client=57 -> cpu=57 (pid=63490)
[A:thread] Worker pinned host=0 client=58 -> cpu=58 (pid=63491)
[A:thread] Worker pinned host=0 client=59 -> cpu=59 (pid=63492)
[A:thread] Worker pinned host=0 client=60 -> cpu=60 (pid=63493)
[A:thread] Worker pinned host=0 client=61 -> cpu=61 (pid=63494)
[A:thread] Worker pinned host=0 client=0 -> cpu=0 (pid=63411)
[A:thread] Worker pinned host=0 client=62 -> cpu=62 (pid=63495)
[A:thread] Worker pinned host=0 client=63 -> cpu=63 (pid=63496)
[A:thread] WriteRecv0 pid=63411 tid=139996799612608 cpu=64 host=0 rings=[0]
[A:thread] ReadRecv0 pid=63411 tid=139996791219904 cpu=65 host=0 rings=[0]
[A:thread] InvalRecv0 pid=63411 tid=139996782827200 cpu=66 host=0 rings=[0]
[A:thread] ReservHandler pid=63411 tid=139996774434496 pinned cpu=85 (host_id=0)
[A:tls] worker host=0 client=54 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=50 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=56 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=48 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=49 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=0 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=47 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=59 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=51 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=53 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=39 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=45 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=16 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=60 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=3 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=57 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=43 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=33 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=7 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=31 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=32 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=52 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=1 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=58 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=38 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=44 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=23 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=6 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=12 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=63 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=14 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=40 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=26 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=20 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=15 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=18 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=35 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=61 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=55 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=8 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=21 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=42 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=4 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=10 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=34 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=62 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=5 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=30 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=24 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=41 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=11 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=46 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=9 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=17 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=13 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=27 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=19 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=37 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=22 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=2 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=36 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=29 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=25 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=28 entries=1024 (~1088 KiB)
# PATH host=0 label=after_LOAD tid=139996799826048 r0_tls=0 r2hit=0 r2miss_local=0 r3=0 cpool_ins_r=0 local_w=2500630 fwd_w=0 local_w_blk_fwd=0 local_w_stg_fwd=0 cpool_ins_w=2500630 cp_evict=0 cp_set_stale=0 cp_lru_evict=1976344 rh_served=0
