op_id,Stage1,Stage2,Stage3,Stage4,Stage5,Stage6,StageW,StageR1,StageR2,StageR3,StageR,RTT
72057594037928082,1256,2734,334,12318,4288,4650,25580,5478,3748,44,9270,16310
72057594037928129,1240,2546,280,11356,3724,4392,23538,5668,3356,42,9066,14472
72057594037928232,1318,2612,298,11972,4052,4522,24774,5762,3718,46,9526,15248
72057594037928376,1248,3030,274,11444,3948,4380,24324,6206,3250,46,9502,14822
72057594037928442,1262,2724,266,12200,4480,4416,25348,5530,3836,40,9406,15942
72057594037928529,1262,2768,134,18744,4276,4410,31594,12506,3646,42,16194,15400
72057594037928608,1264,2782,332,11200,4116,4342,24036,5426,3100,36,8562,15474
72057594037928739,1256,2622,254,12068,3928,4422,24550,5616,3270,36,8922,15628
72057594037928812,1242,2768,296,11920,4284,4484,24994,5672,3436,38,9146,15848
72057594037928825,1256,2932,272,12292,4474,4904,26130,5398,3930,36,9364,16766
72057594037928990,1254,2688,252,10032,4130,11638,29994,5464,3016,38,8518,21476
72057594037929575,1260,2590,244,10844,3968,4480,23386,5610,3212,36,8858,14528
72057594037929654,1258,2810,312,12038,4812,4802,26032,5550,3394,38,8982,17050
72057594037929742,1258,2606,136,10658,3784,4438,22880,4874,3372,36,8282,14598
72057594037929916,1254,2508,248,10614,3974,4384,22982,4576,3022,36,7634,15348
72057594037929960,1274,2604,242,11286,3964,4466,23836,5606,3214,38,8858,14978
72057594037930197,1258,2618,136,10630,4150,4366,23158,4202,3332,38,7572,15586
72057594037930291,1268,2758,188,10182,4126,4378,22900,5522,2968,38,8528,14372
72057594037930419,1258,2716,250,11594,4124,4420,24362,5494,2828,36,8358,16004
72057594037930736,1270,2590,252,10458,3720,4384,22674,4176,3346,36,7558,15116
72057594037930889,1260,2662,358,12306,3982,4356,24924,6796,3766,36,10598,14326
72057594037930906,1272,2836,182,11698,3834,4358,24180,6234,3552,36,9822,14358
72057594037930940,1254,2530,188,12446,3968,4444,24830,6176,2886,38,9100,15730
72057594037930989,1250,2702,242,11480,3990,4448,24112,5438,3350,36,8824,15288
72057594037931076,1298,2768,300,12556,4480,4412,25814,6850,3044,38,9932,15882
72057594037931089,1254,2752,176,12358,4264,4674,25478,5452,4086,36,9574,15904
72057594037931401,1286,2656,166,10854,4000,4880,23842,5434,3068,38,8540,15302
72057594037931440,1256,2530,330,11660,3942,4438,24156,5648,3066,36,8750,15406
72057594037931903,1252,2620,162,10642,3946,4506,23128,4834,2994,36,7864,15264
72057594037931935,1260,2706,132,16950,4268,4404,29720,11080,3162,40,14282,15438
72057594037932023,1272,2680,328,12532,4008,4416,25236,5318,3794,36,9148,16088
72057594037932128,1264,2722,162,10492,4310,4434,23384,5376,3048,36,8460,14924
72057594037932512,1314,2760,330,12088,4244,4874,25610,5374,3386,38,8798,16812
72057594037932666,1262,2736,184,12136,3960,4550,24828,7086,3202,38,10326,14502
72057594037933022,1262,2728,288,12232,3994,4358,24862,6814,3256,36,10106,14756
72057594037933190,1402,2704,64,11016,4560,4876,24622,5394,3314,40,8748,15874
72057594037933220,1242,2610,290,11716,4044,5124,25026,5564,3022,36,8622,16404
72057594037933412,1256,2546,238,10542,3816,4420,22818,5664,2968,36,8668,14150
72057594037933782,1292,2574,186,11966,3798,4340,24156,5760,3562,38,9360,14796
72057594037933948,1264,2532,298,12958,3808,4374,25234,6210,3136,36,9382,15852
72057594037933968,1304,2786,574,10534,4128,4500,23826,5904,2900,40,8844,14982
72057594037934359,1256,2542,178,12040,3800,4596,24412,5696,3338,36,9070,15342
72057594037934401,1256,2546,252,11072,3920,4402,23448,4358,2910,36,7304,16144
72057594037934407,1260,2764,304,11446,4120,4448,24342,6916,3152,34,10102,14240
72057594037934443,1316,2716,306,12314,4094,4738,25484,5380,3220,38,8638,16846
72057594037934631,1252,2596,250,11710,3866,4606,24280,6232,3152,42,9426,14854
72057594037934751,1252,2718,188,11952,4252,4428,24790,5958,3004,12878,21840,2950
72057594037934787,1274,2714,178,11270,4034,4270,23740,6688,2850,44,9582,14158
72057594037934838,1256,2768,114,11970,4600,4604,25312,5466,3848,42,9356,15956
72057594037934869,1262,2604,106,11494,4052,4466,23984,5008,3326,42,8376,15608
72057594037935133,1266,2750,316,11342,4072,4420,24166,5422,3556,42,9020,15146
72057594037935221,8496,2710,138,11356,4008,4388,31096,5370,3294,42,8706,22390
72057594037935341,1256,2710,554,12628,3982,4424,25554,6796,3262,42,10100,15454
72057594037935450,1266,2606,150,10578,4076,4472,23148,5558,3002,38,8598,14550
72057594037935627,1256,2570,322,10518,3782,4410,22858,5594,3274,34,8902,13956
72057594037935695,1256,2666,280,10800,4032,4362,23396,5404,2824,40,8268,15128
72057594037935848,1250,2602,120,11180,3924,4410,23486,5610,2974,36,8620,14866
72057594037935915,1260,2760,254,11788,4560,4712,25334,5414,3672,40,9126,16208
72057594037936113,1262,2580,252,19158,3942,4412,31606,12952,3098,36,16086,15520
72057594037936204,1256,2606,292,11312,3970,4394,23830,5542,3054,36,8632,15198
72057594037936225,1256,2680,252,12036,3984,4396,24604,5402,3100,38,8540,16064
72057594037936236,1410,2766,252,11948,4254,4400,25030,6840,3300,36,10176,14854
72057594037936377,8672,2766,134,11548,4052,4500,31672,5494,3068,36,8598,23074
72057594037936601,1266,2578,272,11138,3912,4400,23566,5592,2786,36,8414,15152
72057594037936711,1256,2764,324,10696,4124,4462,23626,5494,2886,38,8418,15208
72057594037936786,1272,2740,58,12278,4252,4936,25536,5462,2988,36,8486,17050
