build,T,rep,thpt,r_p50_us,r_p99_us,wc_s
off,1,1,288211,0.22,13.24,31
off,1,2,287749,0.22,13.24,30
off,1,3,287976,0.22,13.21,30
off,2,1,520782,0.23,15.80,22
off,2,2,519119,0.23,15.73,22
off,2,3,518288,0.23,15.81,22
off,4,1,579052,0.24,24.57,21
off,4,2,574053,0.25,24.85,21
off,4,3,578560,0.24,24.67,21
off,8,1,586626,0.26,42.45,22
off,8,2,585789,0.27,42.71,22
off,8,3,585765,0.27,42.76,22
off,16,1,592510,0.28,77.67,21
off,16,2,592708,0.28,77.40,21
off,16,3,595719,0.27,77.40,21
off,32,1,648744,0.30,137.96,22
off,32,2,644527,0.31,135.16,21
off,32,3,642739,0.30,137.96,21
off,64,1,632394,0.36,287.30,30
off,64,2,629999,0.35,298.52,30
off,64,3,629194,0.35,313.21,31
on,1,1,213129,12.83,18.09,6
on,2,1,363787,12.89,27.31,6
on,4,1,464833,7.01,32.25,6
on,8,1,485794,33.66,50.43,6
on,16,1,492471,8.56,86.34,6
on,32,1,495454,98.78,150.79,6
on,64,1,521545,14.13,271.40,7
