build,V,rep,thpt,r_p50_us,r_p99_us,wc_s
off,64,1,581482,0.20,75.89,20
off,64,2,592622,0.20,76.81,19
off,64,3,585084,0.20,76.80,19
off,256,1,597764,0.23,76.40,19
off,256,2,596508,0.23,76.39,19
off,256,3,586054,0.25,76.49,19
off,512,1,593600,0.25,76.92,20
off,512,2,589303,0.25,77.15,20
off,512,3,590596,0.26,77.05,20
off,1024,1,590103,0.28,77.56,21
off,1024,2,585393,0.28,77.63,21
off,1024,3,594053,0.28,77.74,21
on,64,1,492040,8.20,81.99,5
on,256,1,492643,8.07,82.55,5
on,512,1,493580,8.20,84.09,5
on,1024,1,493192,8.49,84.25,5
