build,dist,rep,thpt,r_p50_us,r_p99_us,wc_s
off,uniform,1,497892,261.56,329.93,33
off,uniform,2,497070,261.69,332.85,32
off,uniform,3,496944,261.62,334.27,34
off,zipf-0.5,1,642285,0.80,327.77,30
off,zipf-0.5,2,653889,0.80,310.37,29
off,zipf-0.5,3,635749,0.80,334.59,31
off,zipf-0.99,1,638142,0.32,286.23,30
off,zipf-0.99,2,625412,0.34,337.12,30
off,zipf-0.99,3,631220,0.35,297.91,31
off,zipf-1.5,1,668133,0.17,253.80,30
off,zipf-1.5,2,668024,0.17,253.34,30
off,zipf-1.5,3,668394,0.18,253.99,29
on,uniform,1,515138,249.03,397.72,7
on,zipf-0.5,1,526880,246.65,266.12,7
on,zipf-0.99,1,521825,10.33,270.18,6
on,zipf-1.5,1,509590,7.48,277.46,7
