[A:cfg] ring_sharding T=32 N=0 (disabled) -> shards=1 block=32 routing=worker_id
[A:thread] Worker pinned host=0 client=1 -> cpu=1 (pid=83461)
[A:thread] Worker pinned host=0 client=2 -> cpu=2 (pid=83462)
[A:thread] Worker pinned host=0 client=3 -> cpu=3 (pid=83463)
[A:thread] Worker pinned host=0 client=4 -> cpu=4 (pid=83464)
[A:thread] Worker pinned host=0 client=5 -> cpu=5 (pid=83465)
[A:thread] Worker pinned host=0 client=6 -> cpu=6 (pid=83466)
[A:thread] Worker pinned host=0 client=7 -> cpu=7 (pid=83467)
[A:thread] Worker pinned host=0 client=8 -> cpu=8 (pid=83468)
[A:thread] Worker pinned host=0 client=9 -> cpu=9 (pid=83469)
[A:thread] Worker pinned host=0 client=10 -> cpu=10 (pid=83470)
[A:thread] Worker pinned host=0 client=11 -> cpu=11 (pid=83471)
[A:thread] Worker pinned host=0 client=12 -> cpu=12 (pid=83472)
[A:thread] Worker pinned host=0 client=13 -> cpu=13 (pid=83473)
[A:thread] Worker pinned host=0 client=14 -> cpu=14 (pid=83474)
[A:thread] Worker pinned host=0 client=15 -> cpu=15 (pid=83475)
[A:thread] Worker pinned host=0 client=16 -> cpu=16 (pid=83476)
[A:thread] Worker pinned host=0 client=17 -> cpu=17 (pid=83477)
[A:thread] Worker pinned host=0 client=18 -> cpu=18 (pid=83478)
[A:thread] Worker pinned host=0 client=19 -> cpu=19 (pid=83479)
[A:thread] Worker pinned host=0 client=20 -> cpu=20 (pid=83480)
[A:thread] Worker pinned host=0 client=21 -> cpu=21 (pid=83481)
[A:thread] Worker pinned host=0 client=22 -> cpu=22 (pid=83482)
[A:thread] Worker pinned host=0 client=23 -> cpu=23 (pid=83483)
[A:thread] Worker pinned host=0 client=24 -> cpu=24 (pid=83484)
[A:thread] Worker pinned host=0 client=25 -> cpu=25 (pid=83485)
[A:thread] Worker pinned host=0 client=26 -> cpu=26 (pid=83486)
[A:thread] Worker pinned host=0 client=27 -> cpu=27 (pid=83487)
[A:thread] Worker pinned host=0 client=28 -> cpu=28 (pid=83488)
[A:thread] Worker pinned host=0 client=29 -> cpu=29 (pid=83489)
[A:thread] Worker pinned host=0 client=0 -> cpu=0 (pid=83460)
[A:thread] Worker pinned host=0 client=30 -> cpu=30 (pid=83490)
[A:thread] Worker pinned host=0 client=31 -> cpu=31 (pid=83491)
[A:thread] WriteRecv0 pid=83460 tid=139708960548544 cpu=64 host=0 rings=[0]
[A:thread] ReadRecv0 pid=83460 tid=139708952155840 cpu=65 host=0 rings=[0]
[A:thread] InvalRecv0 pid=83460 tid=139708943763136 cpu=66 host=0 rings=[0]
[A:thread] ReservHandler pid=83460 tid=139708893742784 pinned cpu=85 (host_id=0)
[A:tls] worker host=0 client=0 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=16 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=12 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=9 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=6 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=23 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=26 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=1 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=2 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=4 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=3 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=20 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=8 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=19 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=31 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=17 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=29 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=5 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=21 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=11 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=24 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=28 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=30 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=14 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=18 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=10 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=7 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=25 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=27 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=22 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=13 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=15 entries=1024 (~1088 KiB)
