[A:cfg] ring_sharding T=32 N=0 (disabled) -> shards=1 block=32 routing=worker_id
[A:thread] Worker pinned host=0 client=1 -> cpu=1 (pid=84609)
[A:thread] Worker pinned host=0 client=2 -> cpu=2 (pid=84610)
[A:thread] Worker pinned host=0 client=3 -> cpu=3 (pid=84611)
[A:thread] Worker pinned host=0 client=4 -> cpu=4 (pid=84612)
[A:thread] Worker pinned host=0 client=5 -> cpu=5 (pid=84613)
[A:thread] Worker pinned host=0 client=6 -> cpu=6 (pid=84614)
[A:thread] Worker pinned host=0 client=7 -> cpu=7 (pid=84615)
[A:thread] Worker pinned host=0 client=8 -> cpu=8 (pid=84616)
[A:thread] Worker pinned host=0 client=9 -> cpu=9 (pid=84617)
[A:thread] Worker pinned host=0 client=10 -> cpu=10 (pid=84618)
[A:thread] Worker pinned host=0 client=11 -> cpu=11 (pid=84619)
[A:thread] Worker pinned host=0 client=12 -> cpu=12 (pid=84620)
[A:thread] Worker pinned host=0 client=13 -> cpu=13 (pid=84621)
[A:thread] Worker pinned host=0 client=14 -> cpu=14 (pid=84622)
[A:thread] Worker pinned host=0 client=15 -> cpu=15 (pid=84623)
[A:thread] Worker pinned host=0 client=16 -> cpu=16 (pid=84624)
[A:thread] Worker pinned host=0 client=17 -> cpu=17 (pid=84625)
[A:thread] Worker pinned host=0 client=18 -> cpu=18 (pid=84626)
[A:thread] Worker pinned host=0 client=19 -> cpu=19 (pid=84627)
[A:thread] Worker pinned host=0 client=20 -> cpu=20 (pid=84628)
[A:thread] Worker pinned host=0 client=21 -> cpu=21 (pid=84629)
[A:thread] Worker pinned host=0 client=22 -> cpu=22 (pid=84630)
[A:thread] Worker pinned host=0 client=23 -> cpu=23 (pid=84631)
[A:thread] Worker pinned host=0 client=24 -> cpu=24 (pid=84632)
[A:thread] Worker pinned host=0 client=25 -> cpu=25 (pid=84633)
[A:thread] Worker pinned host=0 client=26 -> cpu=26 (pid=84634)
[A:thread] Worker pinned host=0 client=27 -> cpu=27 (pid=84635)
[A:thread] Worker pinned host=0 client=28 -> cpu=28 (pid=84636)
[A:thread] Worker pinned host=0 client=29 -> cpu=29 (pid=84637)
[A:thread] Worker pinned host=0 client=0 -> cpu=0 (pid=84599)
[A:thread] Worker pinned host=0 client=30 -> cpu=30 (pid=84638)
[A:thread] Worker pinned host=0 client=31 -> cpu=31 (pid=84639)
[A:thread] WriteRecv0 pid=84599 tid=140227824694976 cpu=64 host=0 rings=[0]
[A:thread] ReadRecv0 pid=84599 tid=140227816302272 cpu=65 host=0 rings=[0]
[A:thread] InvalRecv0 pid=84599 tid=140227807909568 cpu=66 host=0 rings=[0]
[A:thread] ReservHandler pid=84599 tid=140227757889216 pinned cpu=85 (host_id=0)
[A:tls] worker host=0 client=11 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=0 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=29 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=17 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=31 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=30 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=23 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=28 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=1 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=12 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=20 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=7 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=15 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=9 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=3 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=10 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=8 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=4 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=19 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=27 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=6 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=24 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=13 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=21 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=16 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=22 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=14 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=5 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=2 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=25 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=26 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=18 entries=1024 (~1088 KiB)
