[A:cfg] ring_sharding T=64 N=0 (disabled) -> shards=1 block=64 routing=worker_id
[A:thread] Worker pinned host=0 client=1 -> cpu=1 (pid=86053)
[A:thread] Worker pinned host=0 client=2 -> cpu=2 (pid=86054)
[A:thread] Worker pinned host=0 client=3 -> cpu=3 (pid=86055)
[A:thread] Worker pinned host=0 client=4 -> cpu=4 (pid=86056)
[A:thread] Worker pinned host=0 client=5 -> cpu=5 (pid=86057)
[A:thread] Worker pinned host=0 client=6 -> cpu=6 (pid=86058)
[A:thread] Worker pinned host=0 client=7 -> cpu=7 (pid=86059)
[A:thread] Worker pinned host=0 client=8 -> cpu=8 (pid=86060)
[A:thread] Worker pinned host=0 client=9 -> cpu=9 (pid=86061)
[A:thread] Worker pinned host=0 client=10 -> cpu=10 (pid=86062)
[A:thread] Worker pinned host=0 client=11 -> cpu=11 (pid=86063)
[A:thread] Worker pinned host=0 client=12 -> cpu=12 (pid=86064)
[A:thread] Worker pinned host=0 client=13 -> cpu=13 (pid=86065)
[A:thread] Worker pinned host=0 client=14 -> cpu=14 (pid=86066)
[A:thread] Worker pinned host=0 client=15 -> cpu=15 (pid=86067)
[A:thread] Worker pinned host=0 client=16 -> cpu=16 (pid=86068)
[A:thread] Worker pinned host=0 client=17 -> cpu=17 (pid=86069)
[A:thread] Worker pinned host=0 client=18 -> cpu=18 (pid=86070)
[A:thread] Worker pinned host=0 client=19 -> cpu=19 (pid=86071)
[A:thread] Worker pinned host=0 client=20 -> cpu=20 (pid=86072)
[A:thread] Worker pinned host=0 client=21 -> cpu=21 (pid=86073)
[A:thread] Worker pinned host=0 client=22 -> cpu=22 (pid=86074)
[A:thread] Worker pinned host=0 client=23 -> cpu=23 (pid=86075)
[A:thread] Worker pinned host=0 client=24 -> cpu=24 (pid=86076)
[A:thread] Worker pinned host=0 client=25 -> cpu=25 (pid=86077)
[A:thread] Worker pinned host=0 client=26 -> cpu=26 (pid=86078)
[A:thread] Worker pinned host=0 client=27 -> cpu=27 (pid=86079)
[A:thread] Worker pinned host=0 client=28 -> cpu=28 (pid=86080)
[A:thread] Worker pinned host=0 client=29 -> cpu=29 (pid=86081)
[A:thread] Worker pinned host=0 client=30 -> cpu=30 (pid=86082)
[A:thread] Worker pinned host=0 client=31 -> cpu=31 (pid=86083)
[A:thread] Worker pinned host=0 client=32 -> cpu=32 (pid=86084)
[A:thread] Worker pinned host=0 client=33 -> cpu=33 (pid=86085)
[A:thread] Worker pinned host=0 client=34 -> cpu=34 (pid=86086)
[A:thread] Worker pinned host=0 client=35 -> cpu=35 (pid=86087)
[A:thread] Worker pinned host=0 client=36 -> cpu=36 (pid=86088)
[A:thread] Worker pinned host=0 client=37 -> cpu=37 (pid=86089)
[A:thread] Worker pinned host=0 client=38 -> cpu=38 (pid=86090)
[A:thread] Worker pinned host=0 client=39 -> cpu=39 (pid=86091)
[A:thread] Worker pinned host=0 client=40 -> cpu=40 (pid=86092)
[A:thread] Worker pinned host=0 client=41 -> cpu=41 (pid=86093)
[A:thread] Worker pinned host=0 client=42 -> cpu=42 (pid=86094)
[A:thread] Worker pinned host=0 client=43 -> cpu=43 (pid=86095)
[A:thread] Worker pinned host=0 client=44 -> cpu=44 (pid=86096)
[A:thread] Worker pinned host=0 client=45 -> cpu=45 (pid=86097)
[A:thread] Worker pinned host=0 client=46 -> cpu=46 (pid=86098)
[A:thread] Worker pinned host=0 client=47 -> cpu=47 (pid=86099)
[A:thread] Worker pinned host=0 client=48 -> cpu=48 (pid=86100)
[A:thread] Worker pinned host=0 client=49 -> cpu=49 (pid=86101)
[A:thread] Worker pinned host=0 client=50 -> cpu=50 (pid=86102)
[A:thread] Worker pinned host=0 client=51 -> cpu=51 (pid=86103)
[A:thread] Worker pinned host=0 client=52 -> cpu=52 (pid=86104)
[A:thread] Worker pinned host=0 client=53 -> cpu=53 (pid=86105)
[A:thread] Worker pinned host=0 client=54 -> cpu=54 (pid=86106)
[A:thread] Worker pinned host=0 client=55 -> cpu=55 (pid=86107)
[A:thread] Worker pinned host=0 client=56 -> cpu=56 (pid=86108)
[A:thread] Worker pinned host=0 client=57 -> cpu=57 (pid=86109)
[A:thread] Worker pinned host=0 client=58 -> cpu=58 (pid=86110)
[A:thread] Worker pinned host=0 client=59 -> cpu=59 (pid=86111)
[A:thread] Worker pinned host=0 client=60 -> cpu=60 (pid=86112)
[A:thread] Worker pinned host=0 client=61 -> cpu=61 (pid=86113)
[A:thread] Worker pinned host=0 client=62 -> cpu=62 (pid=86114)
[A:thread] Worker pinned host=0 client=0 -> cpu=0 (pid=86027)
[A:thread] Worker pinned host=0 client=63 -> cpu=63 (pid=86115)
[A:thread] WriteRecv0 pid=86027 tid=140417839761088 cpu=64 host=0 rings=[0]
[A:thread] ReadRecv0 pid=86027 tid=140417831368384 cpu=65 host=0 rings=[0]
[A:thread] InvalRecv0 pid=86027 tid=140417822975680 cpu=66 host=0 rings=[0]
[A:thread] ReservHandler pid=86027 tid=140417772955328 pinned cpu=85 (host_id=0)
[A:tls] worker host=0 client=10 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=59 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=60 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=48 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=61 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=63 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=38 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=7 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=0 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=50 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=33 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=4 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=39 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=56 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=45 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=26 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=47 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=2 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=44 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=46 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=49 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=53 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=27 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=13 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=43 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=55 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=3 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=16 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=12 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=30 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=17 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=37 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=32 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=23 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=21 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=11 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=40 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=5 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=51 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=14 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=36 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=1 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=41 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=31 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=8 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=28 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=9 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=19 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=6 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=22 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=18 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=42 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=25 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=34 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=24 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=29 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=35 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=15 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=20 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=62 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=57 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=54 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=52 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=58 entries=1024 (~1088 KiB)
# PATH host=0 label=after_LOAD tid=140417839974528 r0_tls=0 r2hit=0 r2miss_local=0 r3=0 cpool_ins_r=0 local_w=1000929 fwd_w=0 local_w_blk_fwd=0 local_w_stg_fwd=0 cpool_ins_w=1000929 cp_evict=0 cp_set_stale=0 cp_lru_evict=486677 rh_served=0
