[A:cfg] ring_sharding T=32 N=0 (disabled) -> shards=1 block=32 routing=worker_id
[A:thread] Worker pinned host=0 client=1 -> cpu=1 (pid=88393)
[A:thread] Worker pinned host=0 client=2 -> cpu=2 (pid=88394)
[A:thread] Worker pinned host=0 client=3 -> cpu=3 (pid=88395)
[A:thread] Worker pinned host=0 client=4 -> cpu=4 (pid=88396)
[A:thread] Worker pinned host=0 client=5 -> cpu=5 (pid=88397)
[A:thread] Worker pinned host=0 client=6 -> cpu=6 (pid=88398)
[A:thread] Worker pinned host=0 client=7 -> cpu=7 (pid=88399)
[A:thread] Worker pinned host=0 client=8 -> cpu=8 (pid=88400)
[A:thread] Worker pinned host=0 client=9 -> cpu=9 (pid=88401)
[A:thread] Worker pinned host=0 client=10 -> cpu=10 (pid=88402)
[A:thread] Worker pinned host=0 client=11 -> cpu=11 (pid=88403)
[A:thread] Worker pinned host=0 client=12 -> cpu=12 (pid=88404)
[A:thread] Worker pinned host=0 client=13 -> cpu=13 (pid=88405)
[A:thread] Worker pinned host=0 client=14 -> cpu=14 (pid=88406)
[A:thread] Worker pinned host=0 client=15 -> cpu=15 (pid=88407)
[A:thread] Worker pinned host=0 client=16 -> cpu=16 (pid=88408)
[A:thread] Worker pinned host=0 client=17 -> cpu=17 (pid=88409)
[A:thread] Worker pinned host=0 client=18 -> cpu=18 (pid=88410)
[A:thread] Worker pinned host=0 client=19 -> cpu=19 (pid=88411)
[A:thread] Worker pinned host=0 client=20 -> cpu=20 (pid=88412)
[A:thread] Worker pinned host=0 client=21 -> cpu=21 (pid=88413)
[A:thread] Worker pinned host=0 client=22 -> cpu=22 (pid=88414)
[A:thread] Worker pinned host=0 client=23 -> cpu=23 (pid=88415)
[A:thread] Worker pinned host=0 client=24 -> cpu=24 (pid=88416)
[A:thread] Worker pinned host=0 client=25 -> cpu=25 (pid=88417)
[A:thread] Worker pinned host=0 client=26 -> cpu=26 (pid=88418)
[A:thread] Worker pinned host=0 client=27 -> cpu=27 (pid=88419)
[A:thread] Worker pinned host=0 client=28 -> cpu=28 (pid=88420)
[A:thread] Worker pinned host=0 client=29 -> cpu=29 (pid=88421)
[A:thread] Worker pinned host=0 client=30 -> cpu=30 (pid=88422)
[A:thread] Worker pinned host=0 client=0 -> cpu=0 (pid=88388)
[A:thread] Worker pinned host=0 client=31 -> cpu=31 (pid=88423)
[A:thread] WriteRecv0 pid=88388 tid=140458722244288 cpu=64 host=0 rings=[0]
[A:thread] ReadRecv0 pid=88388 tid=140458713851584 cpu=65 host=0 rings=[0]
[A:thread] InvalRecv0 pid=88388 tid=140458705458880 cpu=66 host=0 rings=[0]
[A:thread] ReservHandler pid=88388 tid=140458449696448 pinned cpu=85 (host_id=0)
[A:tls] worker host=0 client=25 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=10 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=28 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=23 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=13 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=14 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=4 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=22 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=12 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=15 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=27 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=19 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=20 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=26 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=1 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=2 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=11 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=31 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=5 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=16 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=0 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=21 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=3 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=30 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=6 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=29 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=24 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=17 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=18 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=8 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=7 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=9 entries=1024 (~1088 KiB)
