build,T,rep,thpt,r_p50_us,r_p99_us,wc_s
p3_final,1,1,812174,0.24,11.06,16
p3_final,1,2,811920,0.24,11.06,16
p3_final,1,3,812267,0.24,11.05,16
p3_final,2,1,1129935,0.26,14.63,14
p3_final,2,2,1112356,0.25,14.83,14
p3_final,2,3,1116343,0.26,14.64,14
p3_final,4,1,1074440,0.30,23.78,14
p3_final,4,2,1032480,0.31,23.77,15
p3_final,4,3,1073628,0.30,23.79,14
p3_final,8,1,1159637,0.31,42.23,14
p3_final,8,2,1156262,0.31,42.26,13
p3_final,8,3,1148977,0.31,42.31,14
p3_final,16,1,1135777,0.34,80.95,14
p3_final,16,2,1091571,0.34,80.71,14
p3_final,16,3,1132691,0.34,80.69,14
p3_final,32,1,1210426,0.41,143.47,13
p3_final,32,2,1089040,0.41,145.39,14
p3_final,32,3,1181318,0.41,144.54,14
p3_final,64,1,1118547,0.39,284.81,17
p3_final,64,2,1142984,0.38,300.90,18
p3_final,64,3,1143808,0.38,298.90,18
