dist,T,N,routing,rep,thpt,r_p50_us,r_p99_us,wc_s
uniform,1,0,worker_id,1,256730,10.66,12.50,32
uniform,1,0,worker_id,2,256844,10.68,12.50,32
uniform,1,0,worker_id,3,256955,10.67,12.52,33
uniform,1,0,key_hash,1,256978,10.66,12.52,33
uniform,1,0,key_hash,2,257012,10.68,12.53,33
uniform,1,0,key_hash,3,256766,10.68,12.50,33
uniform,1,4,worker_id,1,257124,10.67,12.48,33
uniform,1,4,worker_id,2,257107,10.67,12.52,33
uniform,1,4,worker_id,3,257198,10.66,12.49,33
uniform,1,4,key_hash,1,256502,10.69,12.53,33
uniform,1,4,key_hash,2,257303,10.65,12.52,33
uniform,1,4,key_hash,3,257162,10.66,12.53,33
uniform,1,8,worker_id,1,256871,10.67,12.55,33
uniform,1,8,worker_id,2,257061,10.67,12.52,32
uniform,1,8,worker_id,3,257181,10.65,12.43,32
uniform,1,8,key_hash,1,257078,10.67,12.53,32
uniform,1,8,key_hash,2,257034,10.68,12.51,32
uniform,1,8,key_hash,3,257289,10.66,12.51,32
uniform,2,0,worker_id,1,404622,13.42,16.30,25
uniform,2,0,worker_id,2,404458,13.43,16.33,25
uniform,2,0,worker_id,3,404166,13.45,16.32,25
uniform,2,0,key_hash,1,404487,13.43,16.36,26
uniform,2,0,key_hash,2,404766,13.43,16.33,26
uniform,2,0,key_hash,3,404531,13.43,16.32,25
uniform,2,4,worker_id,1,404374,13.43,16.38,25
uniform,2,4,worker_id,2,404241,13.45,16.39,25
uniform,2,4,worker_id,3,404233,13.46,16.35,26
uniform,2,4,key_hash,1,404499,13.43,16.29,26
uniform,2,4,key_hash,2,404796,13.42,16.31,26
uniform,2,4,key_hash,3,404769,13.43,16.28,26
uniform,2,8,worker_id,1,403918,13.44,16.32,25
uniform,2,8,worker_id,2,404440,13.43,16.34,25
uniform,2,8,worker_id,3,403915,13.45,16.34,25
uniform,2,8,key_hash,1,404476,13.43,16.33,26
uniform,2,8,key_hash,2,404438,13.44,16.34,26
uniform,2,8,key_hash,3,404339,13.44,16.30,26
uniform,4,0,worker_id,1,449805,21.56,25.21,24
uniform,4,0,worker_id,2,449859,21.57,25.22,24
uniform,4,0,worker_id,3,450436,21.54,25.21,24
uniform,4,0,key_hash,1,449753,21.58,25.11,24
uniform,4,0,key_hash,2,449771,21.57,24.99,25
uniform,4,0,key_hash,3,449952,21.56,25.15,24
uniform,4,4,worker_id,1,450118,21.55,25.19,25
uniform,4,4,worker_id,2,449820,21.57,25.03,24
uniform,4,4,worker_id,3,449918,21.57,25.15,25
uniform,4,4,key_hash,1,450039,21.56,25.11,24
uniform,4,4,key_hash,2,450116,21.56,25.16,24
uniform,4,4,key_hash,3,449940,21.56,25.16,24
uniform,4,8,worker_id,1,450150,21.55,25.13,24
uniform,4,8,worker_id,2,449952,21.56,25.15,25
uniform,4,8,worker_id,3,449674,21.59,24.97,24
uniform,4,8,key_hash,1,449880,21.57,25.12,24
uniform,4,8,key_hash,2,449924,21.57,25.08,24
uniform,4,8,key_hash,3,450022,21.57,25.12,24
uniform,8,0,worker_id,1,461442,38.49,43.89,24
uniform,8,0,worker_id,2,460937,38.50,43.95,24
uniform,8,0,worker_id,3,460870,38.51,44.04,24
uniform,8,0,key_hash,1,461256,38.49,44.00,24
uniform,8,0,key_hash,2,460832,38.51,44.32,24
uniform,8,0,key_hash,3,460719,38.54,43.86,24
uniform,8,4,worker_id,1,852402,22.46,27.78,19
uniform,8,4,worker_id,2,852411,22.47,27.74,19
uniform,8,4,worker_id,3,851844,22.45,27.52,19
uniform,8,4,key_hash,1,794689,22.49,40.85,20
uniform,8,4,key_hash,2,794955,22.49,41.09,20
uniform,8,4,key_hash,3,795084,22.49,40.87,20
uniform,8,8,worker_id,1,461380,38.48,43.76,24
uniform,8,8,worker_id,2,461429,38.49,43.69,24
uniform,8,8,worker_id,3,461276,38.50,43.88,24
uniform,8,8,key_hash,1,461205,38.51,43.89,24
uniform,8,8,key_hash,2,461114,38.50,44.03,24
uniform,8,8,key_hash,3,461093,38.55,44.01,24
uniform,16,0,worker_id,1,464525,73.19,80.50,24
uniform,16,0,worker_id,2,464710,73.17,80.24,24
uniform,16,0,worker_id,3,464557,73.19,80.23,24
uniform,16,0,key_hash,1,464904,73.15,80.17,24
uniform,16,0,key_hash,2,464594,73.18,80.37,24
uniform,16,0,key_hash,3,464887,73.12,80.21,24
uniform,16,4,worker_id,1,1849243,20.29,27.79,16
uniform,16,4,worker_id,2,1849094,20.28,27.65,16
uniform,16,4,worker_id,3,1857400,20.21,27.52,16
uniform,16,4,key_hash,1,1676184,19.56,49.25,16
uniform,16,4,key_hash,2,1677301,19.59,49.10,16
uniform,16,4,key_hash,3,1681124,19.59,49.17,17
uniform,16,8,worker_id,1,874576,40.28,46.77,19
uniform,16,8,worker_id,2,873976,40.29,46.66,19
uniform,16,8,worker_id,3,873440,40.31,46.66,19
uniform,16,8,key_hash,1,848996,39.28,75.10,19
uniform,16,8,key_hash,2,849337,39.33,75.08,19
uniform,16,8,key_hash,3,848322,39.33,75.07,19
uniform,32,0,worker_id,1,506439,131.26,142.32,23
uniform,32,0,worker_id,2,507305,131.08,140.58,23
uniform,32,0,worker_id,3,506817,131.15,142.21,23
uniform,32,0,key_hash,1,506184,131.24,143.26,24
uniform,32,0,key_hash,2,507034,131.10,141.07,24
uniform,32,0,key_hash,3,506805,131.09,141.81,24
uniform,32,4,worker_id,1,1919982,20.80,43.79,16
uniform,32,4,worker_id,2,1919226,20.85,43.69,16
uniform,32,4,worker_id,3,1918283,20.86,43.84,15
uniform,32,4,key_hash,1,1972750,14.56,139.73,15
uniform,32,4,key_hash,2,1972595,14.56,139.71,15
uniform,32,4,key_hash,3,1972091,14.54,139.68,15
uniform,32,8,worker_id,1,1902085,36.44,46.31,16
uniform,32,8,worker_id,2,1897639,36.55,46.54,16
uniform,32,8,worker_id,3,1893141,36.59,47.01,17
uniform,32,8,key_hash,1,1817047,32.80,96.52,16
uniform,32,8,key_hash,2,1822698,32.79,96.38,16
uniform,32,8,key_hash,3,1824601,32.84,96.69,17
uniform,64,0,worker_id,1,501455,262.24,275.81,32
uniform,64,0,worker_id,2,495930,262.32,332.00,33
uniform,64,0,worker_id,3,497475,262.48,326.98,33
uniform,64,0,key_hash,1,497374,262.34,329.02,33
uniform,64,0,key_hash,2,499962,262.15,322.60,33
uniform,64,0,key_hash,3,497937,262.41,326.36,33
uniform,64,4,worker_id,1,2416833,39.19,85.86,32
uniform,64,4,worker_id,2,2435780,39.17,81.18,32
uniform,64,4,worker_id,3,190479,39.56,3013.57,56
uniform,64,4,key_hash,1,2393912,22.32,286.45,32
uniform,64,4,key_hash,2,2468109,22.26,264.51,32
uniform,64,4,key_hash,3,2508469,22.31,255.55,32
uniform,64,8,worker_id,1,1906897,38.07,95.12,32
uniform,64,8,worker_id,2,1754593,37.92,1170.46,32
uniform,64,8,worker_id,3,1782422,37.98,83.53,33
uniform,64,8,key_hash,1,1945890,16.19,311.40,32
uniform,64,8,key_hash,2,1731216,16.26,327.62,32
uniform,64,8,key_hash,3,1906328,16.26,322.65,32
zipf-0.99,1,0,worker_id,1,824697,0.24,10.86,16
zipf-0.99,1,0,worker_id,2,824715,0.24,10.88,15
zipf-0.99,1,0,worker_id,3,823290,0.24,10.86,15
zipf-0.99,1,0,key_hash,1,825853,0.24,10.84,15
zipf-0.99,1,0,key_hash,2,826310,0.24,10.86,16
zipf-0.99,1,0,key_hash,3,828638,0.24,10.82,16
zipf-0.99,1,4,worker_id,1,826665,0.24,10.84,16
zipf-0.99,1,4,worker_id,2,824066,0.25,10.86,16
zipf-0.99,1,4,worker_id,3,823996,0.24,10.87,16
zipf-0.99,1,4,key_hash,1,825980,0.25,10.86,16
zipf-0.99,1,4,key_hash,2,827118,0.24,10.83,15
zipf-0.99,1,4,key_hash,3,827609,0.24,10.85,15
zipf-0.99,1,8,worker_id,1,824276,0.25,10.86,15
zipf-0.99,1,8,worker_id,2,824854,0.24,10.85,15
zipf-0.99,1,8,worker_id,3,825154,0.24,10.85,15
zipf-0.99,1,8,key_hash,1,826663,0.24,10.84,15
zipf-0.99,1,8,key_hash,2,826607,0.24,10.84,16
zipf-0.99,1,8,key_hash,3,826305,0.24,10.85,16
zipf-0.99,2,0,worker_id,1,1145127,0.25,14.67,14
zipf-0.99,2,0,worker_id,2,1133591,0.25,14.68,13
zipf-0.99,2,0,worker_id,3,1038889,0.26,14.73,14
zipf-0.99,2,0,key_hash,1,1135054,0.25,14.70,13
zipf-0.99,2,0,key_hash,2,1141295,0.25,14.66,14
zipf-0.99,2,0,key_hash,3,1118892,0.26,14.68,14
zipf-0.99,2,4,worker_id,1,1123691,0.26,14.67,14
zipf-0.99,2,4,worker_id,2,1136888,0.25,14.70,14
zipf-0.99,2,4,worker_id,3,1132566,0.26,14.70,14
zipf-0.99,2,4,key_hash,1,1104053,0.26,14.70,14
zipf-0.99,2,4,key_hash,2,1130539,0.26,14.72,14
zipf-0.99,2,4,key_hash,3,1056259,0.25,14.71,15
