T,N,rep,thpt,r_p50_us,r_p99_us,wc_s
16,0,1,23901144,0.20,45.69,6
16,0,2,23973111,0.20,46.16,6
16,0,3,23874781,0.19,45.90,6
16,4,1,37406110,0.20,11.46,6
16,4,2,38039881,0.20,10.73,6
16,4,3,37915266,0.20,10.79,5
32,0,1,23867031,0.20,99.71,6
32,0,2,24723468,0.20,97.31,6
32,0,3,24730682,0.20,98.42,6
32,4,1,47452286,0.20,15.08,6
32,4,2,47324732,0.20,14.35,6
32,4,3,46474448,0.20,14.42,5
64,0,1,22748884,0.28,189.11,7
64,0,2,25204280,0.29,187.23,7
64,0,3,25175219,0.28,187.12,7
64,4,1,53926379,0.22,17.66,7
64,4,2,54421176,0.22,17.81,7
64,4,3,51995590,0.22,18.22,7
