[A:cfg] ring_sharding T=32 N=0 (disabled) -> shards=1 block=32 routing=worker_id
[A:thread] Worker pinned host=0 client=1 -> cpu=1 (pid=117786)
[A:thread] Worker pinned host=0 client=2 -> cpu=2 (pid=117787)
[A:thread] Worker pinned host=0 client=3 -> cpu=3 (pid=117788)
[A:thread] Worker pinned host=0 client=4 -> cpu=4 (pid=117789)
[A:thread] Worker pinned host=0 client=6 -> cpu=6 (pid=117791)
[A:thread] Worker pinned host=0 client=5 -> cpu=5 (pid=117790)
[A:thread] Worker pinned host=0 client=7 -> cpu=7 (pid=117792)
[A:thread] Worker pinned host=0 client=8 -> cpu=8 (pid=117793)
[A:thread] Worker pinned host=0 client=9 -> cpu=9 (pid=117794)
[A:thread] Worker pinned host=0 client=10 -> cpu=10 (pid=117795)
[A:thread] Worker pinned host=0 client=11 -> cpu=11 (pid=117796)
[A:thread] Worker pinned host=0 client=12 -> cpu=12 (pid=117797)
[A:thread] Worker pinned host=0 client=13 -> cpu=13 (pid=117798)
[A:thread] Worker pinned host=0 client=14 -> cpu=14 (pid=117799)
[A:thread] Worker pinned host=0 client=15 -> cpu=15 (pid=117800)
[A:thread] Worker pinned host=0 client=16 -> cpu=16 (pid=117801)
[A:thread] Worker pinned host=0 client=17 -> cpu=17 (pid=117802)
[A:thread] Worker pinned host=0 client=18 -> cpu=18 (pid=117803)
[A:thread] Worker pinned host=0 client=19 -> cpu=19 (pid=117804)
[A:thread] Worker pinned host=0 client=20 -> cpu=20 (pid=117805)
[A:thread] Worker pinned host=0 client=21 -> cpu=21 (pid=117806)
[A:thread] Worker pinned host=0 client=22 -> cpu=22 (pid=117807)
[A:thread] Worker pinned host=0 client=23 -> cpu=23 (pid=117808)
[A:thread] Worker pinned host=0 client=24 -> cpu=24 (pid=117809)
[A:thread] Worker pinned host=0 client=25 -> cpu=25 (pid=117810)
[A:thread] Worker pinned host=0 client=26 -> cpu=26 (pid=117811)
[A:thread] Worker pinned host=0 client=27 -> cpu=27 (pid=117812)
[A:thread] Worker pinned host=0 client=28 -> cpu=28 (pid=117813)
[A:thread] Worker pinned host=0 client=29 -> cpu=29 (pid=117814)
[A:thread] Worker pinned host=0 client=30 -> cpu=30 (pid=117815)
[A:thread] Worker pinned host=0 client=0 -> cpu=0 (pid=117760)
[A:thread] Worker pinned host=0 client=31 -> cpu=31 (pid=117816)
[A:thread] WriteRecv0 pid=117760 tid=140552188257984 cpu=64 host=0 rings=[0]
[A:thread] ReadRecv0 pid=117760 tid=140552179865280 cpu=65 host=0 rings=[0]
[A:thread] InvalRecv0 pid=117760 tid=140552171472576 cpu=66 host=0 rings=[0]
[A:tls] worker host=0 client=3 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=18 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=16 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=12 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=14 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=30 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=0 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=24 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=31 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=5 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=8 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=13 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=9 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=17 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=7 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=1 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=29 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=6 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=19 entries=1024 (~1088 KiB)
[A:thread] ReservHandler pid=117760 tid=140552163079872 pinned cpu=85 (host_id=0)
[A:tls] worker host=0 client=10 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=11 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=4 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=22 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=2 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=15 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=21 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=23 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=27 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=25 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=26 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=20 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=28 entries=1024 (~1088 KiB)
# PATH host=0 label=after_LOAD tid=140552192346240 r0_tls=0 r2hit=0 r2miss_local=0 r3=0 cpool_ins_r=0 local_w=49998 fwd_w=0 local_w_blk_fwd=0 local_w_stg_fwd=0 cpool_ins_w=49998 cp_evict=0 cp_set_stale=0 cp_lru_evict=6 rh_served=0
# PATH host=0 label=after_LOAD AGG r0_tls=0 r2hit=0 r2miss_local=0 r3=0 cpool_ins_r=0 local_w=49998 fwd_w=0 local_w_blk_fwd=0 local_w_stg_fwd=0 cpool_ins_w=49998 cp_evict=0 cp_set_stale=0 cp_lru_evict=6 rh_served=0
YCSB opt=A cache=1 num_hosts=2 threads=32 threads_eff=32 rep=2 load_ops=100000 load_thpt=326758 trans_ops=5000000 trans_wall_max=0.202236 trans_agg_thpt=24723468 w_avg_ns=0 w_p50_ns=0 w_p99_ns=0 r_avg_ns=2173 r_p50_ns=201 r_p99_ns=97314 first_op_ns_max=362377 first_op_ns_avg=51686 ops_to_first_ns_max=413829 ops_to_first_ns_avg=53878 # workloadc_optA_t32_cacheon_rep2
# PATH host=0 label=after_TRANS tid=140552192346240 r0_tls=0 r2hit=76485 r2miss_local=2 r3=1638 cpool_ins_r=1405 local_w=49998 fwd_w=0 local_w_blk_fwd=0 local_w_stg_fwd=0 cpool_ins_w=49998 cp_evict=0 cp_set_stale=0 cp_lru_evict=8 rh_served=0
# PATH host=0 label=after_TRANS tid=140552179865280 r0_tls=0 r2hit=0 r2miss_local=0 r3=0 cpool_ins_r=0 local_w=0 fwd_w=0 local_w_blk_fwd=0 local_w_stg_fwd=0 cpool_ins_w=0 cp_evict=0 cp_set_stale=0 cp_lru_evict=0 rh_served=40815
# PATH host=0 label=after_TRANS AGG r0_tls=0 r2hit=76485 r2miss_local=2 r3=1638 cpool_ins_r=1405 local_w=49998 fwd_w=0 local_w_blk_fwd=0 local_w_stg_fwd=0 cpool_ins_w=49998 cp_evict=0 cp_set_stale=0 cp_lru_evict=8 rh_served=40815
# CACHE_FILL host=0 cache_buckets=131072 capacity=524288 filled=84594 stale=0 tomb=0 fill_pct=16.135
