id,phase,V,T,cache_pct,cache_buckets,scenario,keydist,rep,thpt_Mops,r_p50_us,r_p99_us,r0_tls,r2hit,r2miss_local,r3,cpool_ins_r,cp_evict,cp_set_stale,cp_lru_evict,cache_filled,cache_fill_pct,wallclock_s
ph0a_V1024_T64_c1_local_read_zipf-0.99,phase3,1024,64,1,16384,local_read,zipf-0.99,1,65.749,0.306,12.321,0,26010,52115,0,0,0,0,4877254,0,0,23
ph0a_V1024_T64_c1_local_read_zipf-0.99,phase3,1024,64,1,16384,local_read,zipf-0.99,2,65.514,0.300,12.368,0,26001,52124,0,0,0,0,4877371,0,0,23
ph0a_V1024_T64_c1_local_read_zipf-0.99,phase3,1024,64,1,16384,local_read,zipf-0.99,3,65.610,0.309,12.299,0,26049,52076,0,0,0,0,4877316,0,0,23
ph0a_V1024_T64_c2_local_read_zipf-0.99,phase3,1024,64,2,32768,local_read,zipf-0.99,1,62.415,0.294,12.968,0,28101,50024,0,0,0,0,4744351,0,0,23
ph0a_V1024_T64_c2_local_read_zipf-0.99,phase3,1024,64,2,32768,local_read,zipf-0.99,2,62.440,0.299,13.128,0,28172,49953,0,0,0,0,4744431,0,0,23
ph0a_V1024_T64_c2_local_read_zipf-0.99,phase3,1024,64,2,32768,local_read,zipf-0.99,3,62.553,0.297,12.902,0,28123,50002,0,0,0,0,4744394,0,0,23
ph0a_V1024_T64_c5_local_read_zipf-0.99,phase3,1024,64,5,65536,local_read,zipf-0.99,1,55.816,0.292,13.818,0,29883,48242,0,0,0,0,4480592,0,0,23
ph0a_V1024_T64_c5_local_read_zipf-0.99,phase3,1024,64,5,65536,local_read,zipf-0.99,2,56.123,0.292,13.981,0,29886,48239,0,0,0,0,4480631,0,0,24
ph0a_V1024_T64_c5_local_read_zipf-0.99,phase3,1024,64,5,65536,local_read,zipf-0.99,3,55.887,0.292,13.864,0,29880,48245,0,0,0,0,4480617,0,0,25
ph0a_V1024_T64_c10_local_read_zipf-0.99,phase3,1024,64,10,131072,local_read,zipf-0.99,1,47.354,0.293,14.756,0,31352,46773,0,0,0,0,3954870,0,0,25
ph0a_V1024_T64_c10_local_read_zipf-0.99,phase3,1024,64,10,131072,local_read,zipf-0.99,2,47.657,0.293,14.366,0,31329,46796,0,0,0,0,3954906,0,0,24
ph0a_V1024_T64_c10_local_read_zipf-0.99,phase3,1024,64,10,131072,local_read,zipf-0.99,3,47.596,0.293,14.458,0,31338,46787,0,0,0,0,3954901,0,0,24
ph0a_V1024_T64_c20_local_read_zipf-0.99,phase3,1024,64,20,262144,local_read,zipf-0.99,1,39.864,0.310,15.373,0,32750,45375,0,0,0,0,2915061,0,0,25
ph0a_V1024_T64_c20_local_read_zipf-0.99,phase3,1024,64,20,262144,local_read,zipf-0.99,2,38.487,0.327,15.205,0,32734,45391,0,0,0,0,2915087,0,0,25
ph0a_V1024_T64_c20_local_read_zipf-0.99,phase3,1024,64,20,262144,local_read,zipf-0.99,3,38.700,0.327,15.303,0,32747,45378,0,0,0,0,2915074,0,0,26
ph0a_V1024_T64_c50_local_read_zipf-0.99,phase3,1024,64,50,524288,local_read,zipf-0.99,1,32.114,0.474,16.344,0,34316,43809,0,0,0,0,1333980,0,0,27
ph0a_V1024_T64_c50_local_read_zipf-0.99,phase3,1024,64,50,524288,local_read,zipf-0.99,2,32.036,0.479,16.492,0,34316,43809,0,0,0,0,1333983,0,0,26
ph0a_V1024_T64_c50_local_read_zipf-0.99,phase3,1024,64,50,524288,local_read,zipf-0.99,3,32.110,0.474,16.571,0,34306,43819,0,0,0,0,1333978,0,0,28
ph0a_V1024_T64_c100_local_read_zipf-0.99,phase3,1024,64,100,2097152,local_read,zipf-0.99,1,25.383,0.533,18.455,0,35522,42603,0,0,0,0,38915,0,0,37
ph0a_V1024_T64_c100_local_read_zipf-0.99,phase3,1024,64,100,2097152,local_read,zipf-0.99,2,26.069,0.536,17.496,0,35524,42601,0,0,0,0,38913,0,0,37
ph0a_V1024_T64_c100_local_read_zipf-0.99,phase3,1024,64,100,2097152,local_read,zipf-0.99,3,24.608,0.537,19.216,0,35521,42604,0,0,0,0,38916,0,0,37
ph0b_V1024_T64_c10_local_read_uniform,phase4,1024,64,10,131072,local_read,uniform,1,29.999,3.827,16.532,0,8132,69993,0,0,0,0,3984398,0,0,24
ph0b_V1024_T64_c10_local_read_uniform,phase4,1024,64,10,131072,local_read,uniform,2,29.976,3.824,16.394,0,8126,69999,0,0,0,0,3984391,0,0,24
ph0b_V1024_T64_c10_local_read_uniform,phase4,1024,64,10,131072,local_read,uniform,3,29.944,3.825,16.746,0,8113,70012,0,0,0,0,3984413,0,0,25
ph0b_V1024_T64_c10_local_read_zipf-0.5,phase4,1024,64,10,131072,local_read,zipf-0.5,1,40.769,0.616,15.089,0,27933,50192,0,0,0,0,3963465,0,0,25
ph0b_V1024_T64_c10_local_read_zipf-0.5,phase4,1024,64,10,131072,local_read,zipf-0.5,2,40.649,0.618,15.108,0,27942,50183,0,0,0,0,3963440,0,0,24
ph0b_V1024_T64_c10_local_read_zipf-0.5,phase4,1024,64,10,131072,local_read,zipf-0.5,3,40.324,0.616,16.066,0,27959,50166,0,0,0,0,3963416,0,0,24
ph0b_V1024_T64_c10_local_read_zipf-0.99,phase4,1024,64,10,131072,local_read,zipf-0.99,1,47.427,0.295,14.491,0,31367,46758,0,0,0,0,3954862,0,0,25
ph0b_V1024_T64_c10_local_read_zipf-0.99,phase4,1024,64,10,131072,local_read,zipf-0.99,2,47.733,0.293,14.522,0,31341,46784,0,0,0,0,3954886,0,0,24
ph0b_V1024_T64_c10_local_read_zipf-0.99,phase4,1024,64,10,131072,local_read,zipf-0.99,3,47.413,0.294,14.574,0,31350,46775,0,0,0,0,3954883,0,0,25
ph0b_V1024_T64_c10_local_read_zipf-1.5,phase4,1024,64,10,131072,local_read,zipf-1.5,1,16.431,0.206,46.060,0,17281,60844,0,0,0,0,3949929,0,0,25
ph0b_V1024_T64_c10_local_read_zipf-1.5,phase4,1024,64,10,131072,local_read,zipf-1.5,2,16.416,0.210,48.987,0,17278,60847,0,0,0,0,3949950,0,0,24
ph0b_V1024_T64_c10_local_read_zipf-1.5,phase4,1024,64,10,131072,local_read,zipf-1.5,3,16.316,0.206,49.268,0,17280,60845,0,0,0,0,3949947,0,0,25
