cache_pct,rep,thpt_Mops,IPC,LLCmiss_pct,dTLBmiss_pct,L1dmiss_pct,cycles_tot,instructions_tot
1,1,65.007,0.0260,64.552,0.0764,1.380,7034360050819,183117705608
1,2,65.116,0.0255,63.700,0.0742,1.362,7152462863942,182429976257
1,3,65.442,0.0257,63.518,0.0755,1.356,7172192221198,184399871764
2,1,62.070,0.0274,61.150,0.0689,1.287,7065105091073,193701790135
2,2,62.199,0.0265,61.810,0.0678,1.300,7266972948722,192369032225
2,3,61.584,0.0273,61.534,0.0699,1.282,7124477273671,194423558581
5,1,55.696,0.0298,59.084,0.0608,1.148,7332271849448,218610650530
5,2,55.423,0.0299,59.184,0.0613,1.150,7329787202329,218800937635
5,3,54.883,0.0300,59.369,0.0615,1.155,7322286960347,219618768438
10,1,47.183,0.0337,58.313,0.0526,0.983,7707867765521,259635943303
10,2,47.113,0.0338,58.118,0.0524,0.996,7677243423367,259318472949
10,3,46.991,0.0340,57.991,0.0509,0.985,7557206846021,257189678010
20,1,37.877,0.0396,59.403,0.0441,0.829,7655812623662,303418307934
20,2,37.882,0.0394,59.411,0.0437,0.829,7739960631748,304767412524
20,3,39.062,0.0397,59.443,0.0437,0.826,7689467860025,304987758600
50,1,31.771,0.0466,60.509,0.0375,0.692,7703751892227,359245359043
50,2,31.995,0.0467,60.737,0.0371,0.685,7716005882700,360059723700
50,3,31.852,0.0469,60.949,0.0378,0.693,7704153019023,360951485919
100,1,25.962,0.0756,63.289,0.0226,0.470,7870254849660,595308585907
100,2,25.755,0.0767,63.120,0.0225,0.459,7764931513322,595789976686
100,3,25.624,0.0766,62.549,0.0223,0.466,7780638694109,595869695647
