build,V,T,cache_pct,cache_buckets,scenario,keydist,rep,thpt_Mops,r_p50_us,r_p99_us,r2hit,r2miss_local,wallclock_s
baseline,1024,64,1,16384,local_read,zipf-0.99,1,65.337,0.302,12.862,26025,52100,22
baseline,1024,64,1,16384,local_read,zipf-0.99,2,65.276,0.304,12.832,26072,52053,21
baseline,1024,64,1,16384,local_read,zipf-0.99,3,64.890,0.304,13.209,26027,52098,20
baseline,1024,64,2,32768,local_read,zipf-0.99,1,61.607,0.298,13.280,28085,50040,21
baseline,1024,64,2,32768,local_read,zipf-0.99,2,61.573,0.298,13.326,28106,50019,21
baseline,1024,64,2,32768,local_read,zipf-0.99,3,61.767,0.302,13.600,28116,50009,21
baseline,1024,64,5,65536,local_read,zipf-0.99,1,54.679,0.297,14.368,29857,48268,22
baseline,1024,64,5,65536,local_read,zipf-0.99,2,54.672,0.295,14.492,29897,48228,22
baseline,1024,64,5,65536,local_read,zipf-0.99,3,54.688,0.297,14.467,29879,48246,22
baseline,1024,64,10,131072,local_read,zipf-0.99,1,46.458,0.297,14.768,31325,46800,23
baseline,1024,64,10,131072,local_read,zipf-0.99,2,46.281,0.296,15.098,31332,46793,23
baseline,1024,64,10,131072,local_read,zipf-0.99,3,46.341,0.296,14.872,31318,46807,22
baseline,1024,64,20,262144,local_read,zipf-0.99,1,39.013,0.313,15.856,32750,45375,24
baseline,1024,64,20,262144,local_read,zipf-0.99,2,37.280,0.351,16.074,32708,45417,24
baseline,1024,64,20,262144,local_read,zipf-0.99,3,38.036,0.341,15.304,32760,45365,23
baseline,1024,64,50,524288,local_read,zipf-0.99,1,32.175,0.478,16.289,34332,43793,26
baseline,1024,64,50,524288,local_read,zipf-0.99,2,31.965,0.477,16.260,34324,43801,26
baseline,1024,64,50,524288,local_read,zipf-0.99,3,31.544,0.481,16.541,34305,43820,25
baseline,1024,64,100,2097152,local_read,zipf-0.99,1,26.799,0.537,16.400,35523,42602,35
baseline,1024,64,100,2097152,local_read,zipf-0.99,2,26.766,0.535,16.235,35526,42599,35
baseline,1024,64,100,2097152,local_read,zipf-0.99,3,26.581,0.534,16.453,35522,42603,35
B_no_flush,1024,64,1,16384,local_read,zipf-0.99,1,100.130,0.311,12.207,25965,52160,21
B_no_flush,1024,64,1,16384,local_read,zipf-0.99,2,98.530,0.318,12.378,25905,52220,21
B_no_flush,1024,64,1,16384,local_read,zipf-0.99,3,99.621,0.308,12.433,25898,52227,20
B_no_flush,1024,64,2,32768,local_read,zipf-0.99,1,88.518,0.300,13.138,27887,50238,22
B_no_flush,1024,64,2,32768,local_read,zipf-0.99,2,88.985,0.303,13.388,27848,50277,21
B_no_flush,1024,64,2,32768,local_read,zipf-0.99,3,88.769,0.301,13.255,27881,50244,21
B_no_flush,1024,64,5,65536,local_read,zipf-0.99,1,71.709,0.301,14.237,29513,48612,22
B_no_flush,1024,64,5,65536,local_read,zipf-0.99,2,71.264,0.299,14.753,29637,48488,21
B_no_flush,1024,64,5,65536,local_read,zipf-0.99,3,71.569,0.297,14.132,29559,48566,22
B_no_flush,1024,64,10,131072,local_read,zipf-0.99,1,55.272,0.309,15.156,31059,47066,23
B_no_flush,1024,64,10,131072,local_read,zipf-0.99,2,55.684,0.303,14.895,30992,47133,23
B_no_flush,1024,64,10,131072,local_read,zipf-0.99,3,56.228,0.304,14.842,31090,47035,22
B_no_flush,1024,64,20,262144,local_read,zipf-0.99,1,44.409,0.376,15.239,32518,45607,24
B_no_flush,1024,64,20,262144,local_read,zipf-0.99,2,44.018,0.388,15.473,32498,45627,24
B_no_flush,1024,64,20,262144,local_read,zipf-0.99,3,44.739,0.370,15.312,32482,45643,25
B_no_flush,1024,64,50,524288,local_read,zipf-0.99,1,38.817,0.353,15.685,34155,43970,25
B_no_flush,1024,64,50,524288,local_read,zipf-0.99,2,39.037,0.345,15.555,34143,43982,25
B_no_flush,1024,64,50,524288,local_read,zipf-0.99,3,38.763,0.341,15.544,34170,43955,26
B_no_flush,1024,64,100,2097152,local_read,zipf-0.99,1,30.110,0.542,16.272,35515,42610,34
B_no_flush,1024,64,100,2097152,local_read,zipf-0.99,2,29.655,0.541,16.373,35511,42614,35
B_no_flush,1024,64,100,2097152,local_read,zipf-0.99,3,29.783,0.542,16.208,35500,42625,35
