id,V,T,cache_buckets,scenario,keydist,rep,thpt_Mops,r_p50_us,r_p99_us,r0_tls,r2hit,r2miss_local,lrs2r,lrs4r,cp_lru_evict,wallclock_s
ph2_4v2_uniform,1024,64,131072,local_read,uniform,1,27.730,3.884,17.519,0,8134,69991,0,0,3984395,23
ph2_4v2_uniform,1024,64,131072,local_read,uniform,2,27.771,3.872,17.753,0,8123,70002,1,8,3984409,23
ph2_4v2_uniform,1024,64,131072,local_read,uniform,3,27.452,3.895,18.222,0,8112,70013,1,0,3984414,23
ph2_4v2_zipf-0.5,1024,64,131072,local_read,zipf-0.5,1,36.627,0.723,16.347,0,28193,49932,1,0,3963206,22
ph2_4v2_zipf-0.5,1024,64,131072,local_read,zipf-0.5,2,36.610,0.726,17.064,0,28132,49993,0,0,3963262,24
ph2_4v2_zipf-0.5,1024,64,131072,local_read,zipf-0.5,3,36.360,0.720,16.626,0,28199,49926,1,0,3963180,23
ph2_4v2_zipf-0.99,1024,64,131072,local_read,zipf-0.99,1,42.786,0.391,15.455,0,31156,46969,1,8,3955080,23
ph2_4v2_zipf-0.99,1024,64,131072,local_read,zipf-0.99,2,42.754,0.392,15.694,0,31476,46649,0,16,3954779,22
ph2_4v2_zipf-0.99,1024,64,131072,local_read,zipf-0.99,3,42.816,0.389,15.365,0,31454,46671,0,2,3954788,23
ph2_4v2_zipf-1.5,1024,64,131072,local_read,zipf-1.5,1,15.739,0.335,48.015,0,17274,60851,0,0,3949949,23
ph2_4v2_zipf-1.5,1024,64,131072,local_read,zipf-1.5,2,15.471,0.337,51.240,0,17266,60859,0,0,3949962,23
ph2_4v2_zipf-1.5,1024,64,131072,local_read,zipf-1.5,3,15.784,0.324,52.881,0,17268,60857,0,0,3949960,23
