build,V,T,cache_buckets,scenario,keydist,rep,thpt_Mops,r_p50_us,r_p99_us,r2hit,r2miss_local,lrs2r,lrs4r,cp_lru_evict,wallclock_s
baseline,1024,64,131072,local_read,uniform,1,27.651,3.883,17.859,8134,69991,0,0,3984395,23
baseline,1024,64,131072,local_read,uniform,2,27.603,3.861,17.747,8109,70016,1,0,3984418,23
baseline,1024,64,131072,local_read,uniform,3,27.750,3.886,17.659,8115,70010,1,4,3984414,23
baseline,1024,64,131072,local_read,zipf-0.5,1,36.320,0.735,16.703,28197,49928,0,0,3963207,23
baseline,1024,64,131072,local_read,zipf-0.5,2,36.524,0.727,16.472,28138,49987,1,0,3963251,22
baseline,1024,64,131072,local_read,zipf-0.5,3,36.467,0.724,16.541,28225,49900,2,0,3963161,23
baseline,1024,64,131072,local_read,zipf-0.99,1,42.633,0.392,15.586,31495,46630,1,0,3954740,23
baseline,1024,64,131072,local_read,zipf-0.99,2,42.707,0.390,15.592,31456,46669,0,0,3954784,22
baseline,1024,64,131072,local_read,zipf-0.99,3,42.764,0.391,15.739,31479,46646,0,0,3954758,23
baseline,1024,64,131072,local_read,zipf-1.5,1,15.756,0.336,50.222,17275,60850,0,0,3949950,22
baseline,1024,64,131072,local_read,zipf-1.5,2,15.952,0.326,50.345,17270,60855,0,0,3949959,23
baseline,1024,64,131072,local_read,zipf-1.5,3,15.712,0.315,55.816,17272,60853,0,0,3949955,22
A_no_lru,1024,64,131072,local_read,uniform,1,27.788,3.905,17.740,8110,70015,0,0,3984421,23
A_no_lru,1024,64,131072,local_read,uniform,2,27.792,3.877,17.735,8136,69989,0,0,3984389,23
A_no_lru,1024,64,131072,local_read,uniform,3,27.718,3.906,17.870,8116,70009,0,0,3984413,23
A_no_lru,1024,64,131072,local_read,zipf-0.5,1,37.391,0.474,16.628,28782,49343,0,0,3962619,23
A_no_lru,1024,64,131072,local_read,zipf-0.5,2,37.663,0.476,16.534,28825,49300,0,8,3962570,22
A_no_lru,1024,64,131072,local_read,zipf-0.5,3,37.724,0.474,16.317,28846,49279,1,0,3962543,22
A_no_lru,1024,64,131072,local_read,zipf-0.99,1,43.551,0.312,15.527,31607,46518,1,0,3954628,22
A_no_lru,1024,64,131072,local_read,zipf-0.99,2,43.244,0.312,15.869,31601,46524,0,0,3954642,22
A_no_lru,1024,64,131072,local_read,zipf-0.99,3,43.800,0.311,15.341,31625,46500,0,0,3954607,23
A_no_lru,1024,64,131072,local_read,zipf-1.5,1,15.805,0.159,47.627,17270,60855,0,0,3949954,23
A_no_lru,1024,64,131072,local_read,zipf-1.5,2,16.098,0.159,44.681,17271,60854,0,0,3949958,23
