exp,build,V,T,scenario,keydist,rep,thpt_Mops,r_p50_us,r_p99_us,r2hit,r2miss_local,wallclock_s
exp1,baseline,1024,64,local_read,uniform,1,29.636,3.816,16.688,8116,70009,23
exp1,baseline,1024,64,local_read,uniform,2,29.544,3.809,16.805,8133,69992,23
exp1,baseline,1024,64,local_read,uniform,3,29.686,3.815,16.883,8136,69989,23
exp1,baseline,1024,64,local_read,zipf-0.5,1,40.079,0.626,15.265,27890,50235,23
exp1,baseline,1024,64,local_read,zipf-0.5,2,40.118,0.632,15.326,27894,50231,23
exp1,baseline,1024,64,local_read,zipf-0.5,3,39.558,0.626,15.584,27930,50195,23
exp1,baseline,1024,64,local_read,zipf-0.99,1,46.356,0.297,14.902,31328,46797,22
exp1,baseline,1024,64,local_read,zipf-0.99,2,46.565,0.300,14.813,31331,46794,23
exp1,baseline,1024,64,local_read,zipf-0.99,3,46.370,0.298,14.982,31317,46808,23
exp1,baseline,1024,64,local_read,zipf-1.5,1,16.357,0.223,57.187,17279,60846,22
exp1,baseline,1024,64,local_read,zipf-1.5,2,16.380,0.211,44.700,17281,60844,23
exp1,baseline,1024,64,local_read,zipf-1.5,3,16.439,0.213,52.807,17275,60850,23
exp1,B_no_flush,1024,64,local_read,uniform,1,30.807,3.637,17.402,8104,70021,23
exp1,B_no_flush,1024,64,local_read,uniform,2,31.252,3.615,16.731,8123,70002,23
exp1,B_no_flush,1024,64,local_read,uniform,3,31.186,3.634,16.749,8117,70008,23
exp1,B_no_flush,1024,64,local_read,zipf-0.5,1,43.898,0.843,15.395,27622,50503,23
exp1,B_no_flush,1024,64,local_read,zipf-0.5,2,44.094,0.843,15.237,27517,50608,22
exp1,B_no_flush,1024,64,local_read,zipf-0.5,3,44.004,0.842,15.331,27523,50602,23
exp1,B_no_flush,1024,64,local_read,zipf-0.99,1,56.110,0.304,14.691,31087,47038,22
exp1,B_no_flush,1024,64,local_read,zipf-0.99,2,55.399,0.302,14.852,31037,47088,23
exp1,B_no_flush,1024,64,local_read,zipf-0.99,3,56.239,0.304,14.829,31068,47057,23
exp1,B_no_flush,1024,64,local_read,zipf-1.5,1,108.050,0.358,17.117,17196,60929,23
exp1,B_no_flush,1024,64,local_read,zipf-1.5,2,112.887,0.361,15.954,17197,60928,22
exp1,B_no_flush,1024,64,local_read,zipf-1.5,3,111.799,0.362,17.206,17178,60947,22
exp1,B1_no_flush_only,1024,64,local_read,uniform,1,29.937,3.760,16.968,8134,69991,22
exp1,B1_no_flush_only,1024,64,local_read,uniform,2,29.836,3.759,17.074,8133,69992,23
exp1,B1_no_flush_only,1024,64,local_read,uniform,3,29.916,3.751,16.695,8140,69985,22
exp1,B1_no_flush_only,1024,64,local_read,zipf-0.5,1,43.197,0.628,15.493,27559,50566,23
exp1,B1_no_flush_only,1024,64,local_read,zipf-0.5,2,42.773,0.631,15.645,27734,50391,23
exp1,B1_no_flush_only,1024,64,local_read,zipf-0.5,3,42.691,0.632,15.424,27735,50390,22
