T	PHR	rep	DECOMP_LINE
2	0	1	DECOMP_A threads=2 num_hosts=2 cache=1 ops=99926 stage_lock_avg=5084 stage_lock_p50=5068 stage_lock_p99=20252 stage_scan_avg=1004 stage_scan_p50=970 stage_scan_p99=1789 stage_publish_avg=4214 stage_publish_p50=4020 stage_publish_p99=5108 stage_epoch_avg=7917 stage_epoch_p50=8030 stage_epoch_p99=11855 stage_unlock_avg=1871 stage_unlock_p50=1995 stage_unlock_p99=2907 stage_total_avg=20131 stage_total_p50=19959 stage_total_p99=35584 lfm_localstore_avg=0 lfm_localstore_p50=0 lfm_localstore_p99=0 lfm_peerscan_avg=0 lfm_peerscan_p50=0 lfm_peerscan_p99=0 lfm_contwait_avg=0 lfm_contwait_p50=0 lfm_contwait_p99=0 lfm_entercs_avg=0 lfm_entercs_p50=0 lfm_entercs_p99=0 trans_wall_max=0.599s trans_agg_thpt=166837
2	0	2	DECOMP_A threads=2 num_hosts=2 cache=1 ops=99926 stage_lock_avg=5038 stage_lock_p50=5038 stage_lock_p99=21550 stage_scan_avg=964 stage_scan_p50=947 stage_scan_p99=1690 stage_publish_avg=4002 stage_publish_p50=3950 stage_publish_p99=4684 stage_epoch_avg=7947 stage_epoch_p50=8137 stage_epoch_p99=11769 stage_unlock_avg=1831 stage_unlock_p50=1900 stage_unlock_p99=2851 stage_total_avg=19823 stage_total_p50=19597 stage_total_p99=36765 lfm_localstore_avg=0 lfm_localstore_p50=0 lfm_localstore_p99=0 lfm_peerscan_avg=0 lfm_peerscan_p50=0 lfm_peerscan_p99=0 lfm_contwait_avg=0 lfm_contwait_p50=0 lfm_contwait_p99=0 lfm_entercs_avg=0 lfm_entercs_p50=0 lfm_entercs_p99=0 trans_wall_max=0.586s trans_agg_thpt=170498
2	1	1	DECOMP_A threads=2 num_hosts=2 cache=1 ops=99926 stage_lock_avg=5030 stage_lock_p50=5036 stage_lock_p99=19591 stage_scan_avg=976 stage_scan_p50=952 stage_scan_p99=1690 stage_publish_avg=4009 stage_publish_p50=3948 stage_publish_p99=4665 stage_epoch_avg=7910 stage_epoch_p50=8166 stage_epoch_p99=11761 stage_unlock_avg=1693 stage_unlock_p50=1844 stage_unlock_p99=2707 stage_total_avg=19659 stage_total_p50=19427 stage_total_p99=34782 lfm_localstore_avg=0 lfm_localstore_p50=0 lfm_localstore_p99=0 lfm_peerscan_avg=0 lfm_peerscan_p50=0 lfm_peerscan_p99=0 lfm_contwait_avg=0 lfm_contwait_p50=0 lfm_contwait_p99=0 lfm_entercs_avg=0 lfm_entercs_p50=0 lfm_entercs_p99=0 trans_wall_max=0.581s trans_agg_thpt=172057
2	1	2	DECOMP_A threads=2 num_hosts=2 cache=1 ops=99926 stage_lock_avg=4985 stage_lock_p50=4924 stage_lock_p99=19853 stage_scan_avg=944 stage_scan_p50=915 stage_scan_p99=1447 stage_publish_avg=3961 stage_publish_p50=3911 stage_publish_p99=4628 stage_epoch_avg=7885 stage_epoch_p50=8026 stage_epoch_p99=11735 stage_unlock_avg=1755 stage_unlock_p50=1876 stage_unlock_p99=2691 stage_total_avg=19573 stage_total_p50=19409 stage_total_p99=34771 lfm_localstore_avg=0 lfm_localstore_p50=0 lfm_localstore_p99=0 lfm_peerscan_avg=0 lfm_peerscan_p50=0 lfm_peerscan_p99=0 lfm_contwait_avg=0 lfm_contwait_p50=0 lfm_contwait_p99=0 lfm_entercs_avg=0 lfm_entercs_p50=0 lfm_entercs_p99=0 trans_wall_max=0.575s trans_agg_thpt=173814
4	0	1	DECOMP_A threads=4 num_hosts=2 cache=1 ops=99926 stage_lock_avg=6789 stage_lock_p50=4987 stage_lock_p99=65885 stage_scan_avg=964 stage_scan_p50=932 stage_scan_p99=1500 stage_publish_avg=9214 stage_publish_p50=9249 stage_publish_p99=10138 stage_epoch_avg=17524 stage_epoch_p50=17651 stage_epoch_p99=23187 stage_unlock_avg=1511 stage_unlock_p50=1416 stage_unlock_p99=2470 stage_total_avg=36047 stage_total_p50=34240 stage_total_p99=96112 lfm_localstore_avg=0 lfm_localstore_p50=0 lfm_localstore_p99=0 lfm_peerscan_avg=0 lfm_peerscan_p50=0 lfm_peerscan_p99=0 lfm_contwait_avg=0 lfm_contwait_p50=0 lfm_contwait_p99=0 lfm_entercs_avg=0 lfm_entercs_p50=0 lfm_entercs_p99=0 trans_wall_max=0.499s trans_agg_thpt=200097
4	0	2	DECOMP_A threads=4 num_hosts=2 cache=1 ops=99926 stage_lock_avg=6899 stage_lock_p50=5052 stage_lock_p99=67163 stage_scan_avg=980 stage_scan_p50=952 stage_scan_p99=1731 stage_publish_avg=9215 stage_publish_p50=9155 stage_publish_p99=10215 stage_epoch_avg=17852 stage_epoch_p50=17992 stage_epoch_p99=23467 stage_unlock_avg=1533 stage_unlock_p50=1428 stage_unlock_p99=2749 stage_total_avg=36522 stage_total_p50=34638 stage_total_p99=98312 lfm_localstore_avg=0 lfm_localstore_p50=0 lfm_localstore_p99=0 lfm_peerscan_avg=0 lfm_peerscan_p50=0 lfm_peerscan_p99=0 lfm_contwait_avg=0 lfm_contwait_p50=0 lfm_contwait_p99=0 lfm_entercs_avg=0 lfm_entercs_p50=0 lfm_entercs_p99=0 trans_wall_max=0.509s trans_agg_thpt=196417
4	1	1	DECOMP_A threads=4 num_hosts=2 cache=1 ops=99926 stage_lock_avg=6916 stage_lock_p50=4991 stage_lock_p99=66321 stage_scan_avg=966 stage_scan_p50=948 stage_scan_p99=1488 stage_publish_avg=9216 stage_publish_p50=9266 stage_publish_p99=10146 stage_epoch_avg=17826 stage_epoch_p50=17986 stage_epoch_p99=24334 stage_unlock_avg=1511 stage_unlock_p50=1413 stage_unlock_p99=2592 stage_total_avg=36477 stage_total_p50=34638 stage_total_p99=96074 lfm_localstore_avg=0 lfm_localstore_p50=0 lfm_localstore_p99=0 lfm_peerscan_avg=0 lfm_peerscan_p50=0 lfm_peerscan_p99=0 lfm_contwait_avg=0 lfm_contwait_p50=0 lfm_contwait_p99=0 lfm_entercs_avg=0 lfm_entercs_p50=0 lfm_entercs_p99=0 trans_wall_max=0.506s trans_agg_thpt=197454
4	1	2	DECOMP_A threads=4 num_hosts=2 cache=1 ops=99926 stage_lock_avg=6940 stage_lock_p50=5073 stage_lock_p99=72386 stage_scan_avg=999 stage_scan_p50=980 stage_scan_p99=1790 stage_publish_avg=9262 stage_publish_p50=9231 stage_publish_p99=10210 stage_epoch_avg=18057 stage_epoch_p50=17924 stage_epoch_p99=23701 stage_unlock_avg=1543 stage_unlock_p50=1442 stage_unlock_p99=2647 stage_total_avg=36879 stage_total_p50=34718 stage_total_p99=100304 lfm_localstore_avg=0 lfm_localstore_p50=0 lfm_localstore_p99=0 lfm_peerscan_avg=0 lfm_peerscan_p50=0 lfm_peerscan_p99=0 lfm_contwait_avg=0 lfm_contwait_p50=0 lfm_contwait_p99=0 lfm_entercs_avg=0 lfm_entercs_p50=0 lfm_entercs_p99=0 trans_wall_max=0.514s trans_agg_thpt=194277
8	0	1	DECOMP_A threads=8 num_hosts=2 cache=1 ops=99926 stage_lock_avg=34417 stage_lock_p50=5075 stage_lock_p99=344798 stage_scan_avg=977 stage_scan_p50=937 stage_scan_p99=1610 stage_publish_avg=19806 stage_publish_p50=19691 stage_publish_p99=22564 stage_epoch_avg=35220 stage_epoch_p50=35397 stage_epoch_p99=46031 stage_unlock_avg=1775 stage_unlock_p50=1639 stage_unlock_p99=3064 stage_total_avg=92246 stage_total_p50=63380 stage_total_p99=406512 lfm_localstore_avg=0 lfm_localstore_p50=0 lfm_localstore_p99=0 lfm_peerscan_avg=0 lfm_peerscan_p50=0 lfm_peerscan_p99=0 lfm_contwait_avg=0 lfm_contwait_p50=0 lfm_contwait_p99=0 lfm_entercs_avg=0 lfm_entercs_p50=0 lfm_entercs_p99=0 trans_wall_max=0.741s trans_agg_thpt=134847
8	0	2	DECOMP_A threads=8 num_hosts=2 cache=1 ops=99926 stage_lock_avg=33808 stage_lock_p50=5072 stage_lock_p99=348620 stage_scan_avg=976 stage_scan_p50=950 stage_scan_p99=1621 stage_publish_avg=19779 stage_publish_p50=19659 stage_publish_p99=22729 stage_epoch_avg=34839 stage_epoch_p50=35226 stage_epoch_p99=45087 stage_unlock_avg=1806 stage_unlock_p50=1665 stage_unlock_p99=3155 stage_total_avg=91258 stage_total_p50=63098 stage_total_p99=403183 lfm_localstore_avg=0 lfm_localstore_p50=0 lfm_localstore_p99=0 lfm_peerscan_avg=0 lfm_peerscan_p50=0 lfm_peerscan_p99=0 lfm_contwait_avg=0 lfm_contwait_p50=0 lfm_contwait_p99=0 lfm_entercs_avg=0 lfm_entercs_p50=0 lfm_entercs_p99=0 trans_wall_max=0.765s trans_agg_thpt=130574
