# iter-8A spare-time A.5 grid: 5 wl × 2 KV × T=64 cache=on × 5 reps
# Captured 2026-05-04 ~05:00 CDT, post-fix binary (kBudgetUs=5000)
# inval_timeout_msg=1 means "[A] inval timeout #1 (key=...)" appeared on stderr
wl,kv,rep,mops,inval_timeout_msg
a,256,1,4.6211,1
a,256,2,10.0583,1
a,256,3,6.4006,1
a,256,4,7.7694,1
a,256,5,0.0830,0
a,1024,1,5.4057,1
a,1024,2,0.0832,0
a,1024,3,9.5854,1
a,1024,4,7.2664,1
a,1024,5,10.4570,1
b,256,1,11.3103,0
b,256,2,7.1154,1
b,256,3,11.0668,1
b,256,4,15.5739,1
b,256,5,18.2282,0
b,1024,1,11.6530,0
b,1024,2,10.8566,1
b,1024,3,18.3419,0
b,1024,4,0.3166,0
b,1024,5,0.3165,0
c,256,1,19.1150,0
c,256,2,0.3835,0
c,256,3,0.2911,0
c,256,4,0.4430,0
c,256,5,18.9771,0
c,1024,1,18.9591,0
c,1024,2,0.3380,0
c,1024,3,18.9215,0
c,1024,4,0.4332,0
c,1024,5,18.3066,0
d,256,1,16.7140,0
d,256,2,18.9861,0
d,256,3,17.7699,0
d,256,4,18.6863,0
d,256,5,18.4570,0
d,1024,1,17.3491,0
d,1024,2,18.1934,0
d,1024,3,18.4315,0
d,1024,4,0.1347,0
d,1024,5,19.0277,0
f,256,1,6.3704,1
f,256,2,5.7341,1
f,256,3,12.8469,1
f,256,4,14.7297,1
f,256,5,5.5039,1
f,1024,1,5.6880,1
f,1024,2,6.2741,0
f,1024,3,5.8439,1
f,1024,4,6.6046,1
f,1024,5,6.6298,0
