| Stage | N | p50 µs | p90 µs | p99 µs | max µs | mean µs |
|---|---|---|---|---|---|---|
| W1 | 150975 | 0.870 | 4.339 | 31.999 | 9679.617 | 4.047 |
| W2 | 150963 | 0.151 | 0.422 | 1.806 | 102.308 | 0.262 |
| W3 | 150963 | 0.027 | 0.155 | 2.204 | 154.816 | 0.174 |
| W7 | 150963 | 0.036 | 0.040 | 1.102 | 262.501 | 0.120 |
| W8 | 150963 | 0.030 | 0.030 | 1.610 | 119.930 | 0.148 |
| W9 | 150963 | 0.022 | 0.025 | 0.054 | 261.644 | 0.056 |
| W10 | 150963 | 3.633 | 12.909 | 19.200 | 3941.764 | 6.355 |
| W12 | 150914 | 0.340 | 2.470 | 8.723 | 10229.807 | 1.222 |
| R1 | 100074 | 7.278 | 11.261 | 17.801 | 265.551 | 5.528 |
| R2hit | 65134 | 0.079 | 0.215 | 0.452 | 71.173 | 0.147 |
| R2miss | 15702 | 2.872 | 5.088 | 8.574 | 215.922 | 3.279 |
| R3 | 173 | 9.247 | 11.769 | 17.326 | 24.883 | 9.543 |
| R4 | 173 | 0.392 | 0.559 | 5.547 | 5.739 | 0.460 |
| R6 | 99925 | 0.725 | 1.620 | 5.900 | 1402.050 | 1.045 |
| I3 | 6 | 1.361 | 1.592 | 1.592 | 1.592 | 1.097 |
| R0_tls_h | 19238 | 0.027 | 0.031 | 0.074 | 291.719 | 0.088 |
