| Stage | N | p50 µs | p90 µs | p99 µs | max µs | mean µs |
|---|---|---|---|---|---|---|
| W1 | 105086 | 0.774 | 3.468 | 7.467 | 161.816 | 1.448 |
| W2 | 105073 | 0.151 | 0.442 | 1.797 | 47.610 | 0.266 |
| W3 | 105073 | 0.025 | 0.028 | 4.932 | 79.202 | 0.146 |
| W7 | 105073 | 0.036 | 0.039 | 0.058 | 50.487 | 0.094 |
| W8 | 105073 | 0.030 | 0.030 | 5.705 | 195.307 | 0.181 |
| W9 | 105073 | 0.021 | 0.024 | 0.030 | 136.637 | 0.033 |
| W10 | 105073 | 3.335 | 11.168 | 17.572 | 185.252 | 5.145 |
| W12 | 105066 | 0.309 | 2.623 | 8.129 | 40323.971 | 1.441 |
| R1 | 189949 | 7.142 | 10.628 | 17.603 | 218.200 | 5.124 |
| R2hit | 75405 | 0.079 | 0.182 | 0.386 | 112.621 | 0.137 |
| R2miss | 50232 | 1.406 | 3.169 | 6.462 | 223.381 | 2.089 |
| R3 | 676 | 10.268 | 11.545 | 18.243 | 36.346 | 10.461 |
| R4 | 676 | 0.503 | 2.692 | 12.699 | 26.029 | 1.215 |
| R6 | 160498 | 0.467 | 0.747 | 1.872 | 218.963 | 0.594 |
| R0_tls_h | 64287 | 0.026 | 0.030 | 0.042 | 193.948 | 0.072 |
