| Stage | N | p50 µs | p90 µs | p99 µs | max µs | mean µs |
|---|---|---|---|---|---|---|
| W1 | 150975 | 0.820 | 4.200 | 28.435 | 9061.941 | 4.084 |
| W2 | 150963 | 0.151 | 0.413 | 1.518 | 113.422 | 0.258 |
| W3 | 150963 | 0.027 | 0.174 | 0.414 | 274.750 | 0.163 |
| W4 | 14 | 0.655 | 0.800 | 0.893 | 0.893 | 0.682 |
| W6 | 14 | 1.229 | 1.268 | 1.441 | 1.441 | 1.141 |
| W7 | 150963 | 0.036 | 0.040 | 0.846 | 74.561 | 0.098 |
| W8 | 150963 | 0.029 | 0.030 | 1.672 | 267.671 | 0.146 |
| W9 | 150963 | 0.022 | 0.025 | 0.041 | 228.252 | 0.050 |
| W10 | 150963 | 3.507 | 13.132 | 18.927 | 291.159 | 6.048 |
| W12 | 150914 | 0.329 | 1.923 | 8.620 | 599981.270 | 96.823 |
| R1 | 100074 | 7.338 | 11.993 | 18.525 | 257.515 | 5.811 |
| R2hit | 63936 | 0.080 | 0.213 | 0.465 | 275.906 | 0.154 |
| R2miss | 17472 | 2.836 | 4.839 | 8.696 | 76.992 | 3.097 |
| R3 | 234 | 13.284 | 199981.558 | 200005.217 | 200028.142 | 62397.401 |
| R4 | 150 | 0.369 | 0.562 | 0.795 | 0.987 | 0.390 |
| R6 | 97375 | 0.729 | 1.836 | 6.027 | 234.551 | 1.035 |
| I1 | 14 | 1.344 | 1.441 | 1.459 | 1.459 | 1.356 |
| I2 | 14 | 3.369 | 4.404 | 4.770 | 4.770 | 3.406 |
| I3 | 22 | 0.854 | 1.516 | 1.819 | 1.819 | 1.054 |
| I4 | 14 | 0.541 | 0.870 | 0.885 | 0.885 | 0.571 |
| I5 | 14 | 0.028 | 0.040 | 0.051 | 0.051 | 0.031 |
| I6 | 12 | 1919.707 | 2200431.262 | 2200906.828 | 2200906.828 | 600107.130 |
| I7 | 14 | 0.030 | 0.054 | 0.057 | 0.057 | 0.035 |
| I8 | 14 | 0.033 | 0.120 | 0.125 | 0.125 | 0.047 |
| R0_tls_h | 18666 | 0.026 | 0.035 | 0.699 | 55.446 | 0.075 |
