| Stage | N | p50 µs | p90 µs | p99 µs | max µs | mean µs |
|---|---|---|---|---|---|---|
| W1 | 150975 | 0.789 | 4.156 | 33.566 | 7072.322 | 3.934 |
| W2 | 150965 | 0.143 | 0.212 | 2.050 | 206.771 | 0.227 |
| W3 | 150965 | 0.027 | 0.145 | 4.186 | 300.790 | 0.165 |
| W4 | 6 | 0.737 | 0.801 | 0.801 | 0.801 | 0.688 |
| W6 | 6 | 0.615 | 1.458 | 1.458 | 1.458 | 0.764 |
| W7 | 150965 | 0.045 | 0.051 | 2.454 | 109.249 | 0.115 |
| W8 | 150965 | 0.029 | 0.030 | 1.684 | 95.395 | 0.131 |
| W9 | 150965 | 0.022 | 0.024 | 0.110 | 2719.378 | 0.077 |
| W10 | 150965 | 3.737 | 14.022 | 25.046 | 2372.743 | 6.584 |
| W12 | 150916 | 0.563 | 2.366 | 13.624 | 9591.825 | 1.540 |
| R1 | 100074 | 7.196 | 10.976 | 17.721 | 465.712 | 5.431 |
| R2hit | 65168 | 0.086 | 0.213 | 0.441 | 172.614 | 0.154 |
| R2miss | 15609 | 2.918 | 5.443 | 8.654 | 108.130 | 3.476 |
| R3 | 228 | 11.372 | 12.959 | 24.297 | 26.227 | 11.977 |
| R4 | 204 | 0.354 | 0.570 | 0.751 | 5.882 | 0.411 |
| R6 | 99936 | 0.867 | 1.997 | 6.101 | 622.747 | 1.204 |
| I1 | 6 | 1.290 | 1.311 | 1.311 | 1.311 | 1.256 |
| I2 | 6 | 3.352 | 18.211 | 18.211 | 18.211 | 7.103 |
| I3 | 10 | 0.777 | 1.395 | 1.395 | 1.395 | 0.981 |
| I4 | 6 | 0.532 | 0.735 | 0.735 | 0.735 | 0.536 |
| I5 | 6 | 0.035 | 0.051 | 0.051 | 0.051 | 0.039 |
| I7 | 6 | 0.042 | 0.043 | 0.043 | 0.043 | 0.035 |
| I8 | 6 | 0.102 | 0.113 | 0.113 | 0.113 | 0.080 |
| R0_tls_h | 19297 | 0.031 | 0.040 | 0.093 | 46.232 | 0.074 |
