| Stage | N | p50 µs | p90 µs | p99 µs | max µs | mean µs |
|---|---|---|---|---|---|---|
| W1 | 105011 | 0.774 | 3.616 | 7.924 | 148.318 | 1.479 |
| W2 | 105003 | 0.151 | 0.501 | 1.865 | 148.531 | 0.278 |
| W3 | 105003 | 0.025 | 0.029 | 4.976 | 321.683 | 0.162 |
| W7 | 105003 | 0.035 | 0.039 | 0.073 | 68.811 | 0.100 |
| W8 | 105003 | 0.029 | 0.030 | 2.112 | 136.830 | 0.169 |
| W9 | 105003 | 0.022 | 0.023 | 0.030 | 50.254 | 0.038 |
| W10 | 105003 | 3.315 | 10.761 | 17.532 | 257.430 | 4.988 |
| W12 | 105000 | 0.308 | 2.565 | 8.431 | 10015.689 | 1.132 |
| R1 | 190062 | 7.566 | 11.627 | 18.909 | 263.406 | 5.588 |
| R2hit | 115863 | 0.079 | 0.208 | 0.407 | 205.776 | 0.154 |
| R2miss | 23132 | 2.971 | 3.816 | 9.165 | 79.714 | 3.291 |
| R3 | 268 | 12.283 | 199980.571 | 199981.842 | 204987.305 | 64945.946 |
| R4 | 157 | 0.340 | 0.494 | 5.864 | 30.328 | 0.616 |
| R6 | 189776 | 0.468 | 0.859 | 1.942 | 5008.301 | 1.579 |
| R0_tls_h | 51067 | 0.024 | 0.031 | 0.061 | 191.483 | 0.073 |
