| Stage | N | p50 µs | p90 µs | p99 µs | max µs | mean µs |
|---|---|---|---|---|---|---|
| W1 | 105050 | 0.779 | 4.026 | 8.541 | 207.642 | 1.610 |
| W2 | 105042 | 0.154 | 0.554 | 2.256 | 84.036 | 0.299 |
| W3 | 105042 | 0.025 | 0.030 | 4.756 | 407.122 | 0.171 |
| W7 | 105042 | 0.035 | 0.039 | 0.062 | 159.463 | 0.106 |
| W8 | 105042 | 0.029 | 0.030 | 5.489 | 355.167 | 0.183 |
| W9 | 105042 | 0.022 | 0.024 | 0.028 | 151.453 | 0.033 |
| W10 | 105042 | 3.392 | 11.414 | 18.393 | 108.147 | 5.337 |
| W12 | 105038 | 0.309 | 3.604 | 8.755 | 10779.952 | 1.253 |
| R1 | 190062 | 7.444 | 11.449 | 18.500 | 421.498 | 5.495 |
| R2hit | 115995 | 0.078 | 0.193 | 0.400 | 186.263 | 0.145 |
| R2miss | 23288 | 2.925 | 3.669 | 8.901 | 291.183 | 3.215 |
| R3 | 383 | 12.587 | 13.396 | 27.480 | 38.288 | 12.927 |
| R4 | 347 | 0.340 | 0.492 | 0.828 | 6.222 | 0.394 |
| R6 | 189557 | 0.469 | 0.832 | 1.918 | 324.296 | 0.640 |
| R0_tls_h | 50779 | 0.024 | 0.030 | 0.062 | 269.767 | 0.087 |
