| Stage | N | p50 µs | p90 µs | p99 µs | max µs | mean µs |
|---|---|---|---|---|---|---|
| W1 | 100000 | 0.740 | 0.895 | 1.107 | 86.967 | 0.771 |
| W2 | 99992 | 0.133 | 0.164 | 0.186 | 20.700 | 0.149 |
| W3 | 99992 | 0.021 | 0.024 | 4.301 | 21.712 | 0.076 |
| W7 | 99992 | 0.030 | 0.033 | 0.067 | 13.371 | 0.052 |
| W8 | 99992 | 0.025 | 0.025 | 4.964 | 14.166 | 0.085 |
| W9 | 99992 | 0.018 | 0.020 | 0.040 | 14.304 | 0.025 |
| W10 | 99992 | 3.022 | 3.631 | 3.961 | 210.301 | 3.134 |
| W12 | 99992 | 0.259 | 0.297 | 4.549 | 1786.420 | 0.339 |
| R1 | 155488 | 0.160 | 0.634 | 8.166 | 87.355 | 0.634 |
| R2hit | 64886 | 0.058 | 0.062 | 0.409 | 10.657 | 0.092 |
| R2miss | 20131 | 2.625 | 3.025 | 3.649 | 34.304 | 1.926 |
| R3 | 6473 | 11.672 | 13.254 | 199980.295 | 199985.619 | 18238.311 |
| R4 | 5216 | 0.298 | 0.436 | 0.651 | 10.970 | 0.336 |
| R6 | 154220 | 0.057 | 0.060 | 0.377 | 84.703 | 0.099 |
| R0_tls_h | 70471 | 0.021 | 0.026 | 0.052 | 15.670 | 0.053 |
