| Stage | N | p50 µs | p90 µs | p99 µs | max µs | mean µs |
|---|---|---|---|---|---|---|
| W1 | 100000 | 0.740 | 0.882 | 1.099 | 13.723 | 0.768 |
| W2 | 99992 | 0.133 | 0.164 | 0.178 | 180.342 | 0.150 |
| W3 | 99992 | 0.021 | 0.024 | 4.268 | 201.384 | 0.080 |
| W7 | 99992 | 0.030 | 0.033 | 0.051 | 11.197 | 0.052 |
| W8 | 99992 | 0.025 | 0.025 | 4.956 | 13.037 | 0.084 |
| W9 | 99992 | 0.018 | 0.020 | 0.030 | 13.132 | 0.024 |
| W10 | 99992 | 3.016 | 3.632 | 3.967 | 108.343 | 3.136 |
| W12 | 99992 | 0.259 | 0.295 | 4.509 | 808.312 | 0.327 |
| R1 | 200000 | 0.159 | 0.570 | 7.734 | 115.152 | 0.538 |
| R2hit | 85229 | 0.058 | 0.061 | 0.127 | 12.218 | 0.088 |
| R2miss | 23979 | 2.379 | 2.965 | 3.532 | 13.053 | 1.477 |
| R3 | 11604 | 11.587 | 12.204 | 13.220 | 67.527 | 11.615 |
| R4 | 10379 | 0.371 | 0.519 | 0.746 | 13.327 | 0.407 |
| R6 | 198764 | 0.057 | 0.059 | 0.327 | 51.474 | 0.095 |
| R0_tls_h | 90792 | 0.021 | 0.022 | 0.055 | 101.694 | 0.052 |
