| Stage | N | p50 µs | p90 µs | p99 µs | max µs | mean µs |
|---|---|---|---|---|---|---|
| W1 | 105086 | 0.773 | 3.487 | 7.706 | 160.035 | 1.453 |
| W2 | 105073 | 0.151 | 0.457 | 1.941 | 132.325 | 0.265 |
| W3 | 105073 | 0.025 | 0.028 | 4.918 | 234.135 | 0.157 |
| W7 | 105073 | 0.035 | 0.039 | 0.135 | 371.218 | 0.100 |
| W8 | 105073 | 0.029 | 0.030 | 5.731 | 264.958 | 0.178 |
| W9 | 105073 | 0.022 | 0.024 | 0.031 | 143.637 | 0.037 |
| W10 | 105073 | 3.319 | 11.433 | 17.973 | 190.561 | 5.145 |
| W12 | 105066 | 0.308 | 2.718 | 8.188 | 5799751.916 | 256.486 |
| R1 | 189949 | 7.577 | 11.401 | 18.513 | 235.378 | 5.446 |
| R2hit | 74920 | 0.080 | 0.221 | 0.424 | 180.213 | 0.161 |
| R2miss | 65186 | 1.489 | 3.167 | 6.344 | 80.055 | 2.020 |
| R3 | 544 | 14.441 | 199980.591 | 199992.445 | 199994.007 | 50005.973 |
| R4 | 337 | 0.774 | 1.066 | 5.671 | 9.372 | 0.885 |
| R6 | 144798 | 0.468 | 0.778 | 1.936 | 214.236 | 0.597 |
| R0_tls_h | 49818 | 0.024 | 0.028 | 0.047 | 231.249 | 0.068 |
