| Stage | N | p50 µs | p90 µs | p99 µs | max µs | mean µs |
|---|---|---|---|---|---|---|
| W1 | 105407 | 0.829 | 1.077 | 3.541 | 399991.269 | 4.739 |
| W2 | 105393 | 0.205 | 0.282 | 0.421 | 19.876 | 0.231 |
| W3 | 105393 | 0.021 | 0.024 | 4.336 | 27.416 | 0.081 |
| W7 | 105393 | 0.030 | 0.033 | 0.772 | 48.713 | 0.063 |
| W8 | 105393 | 0.025 | 0.025 | 5.229 | 36.039 | 0.087 |
| W9 | 105393 | 0.018 | 0.019 | 0.022 | 13.179 | 0.023 |
| W10 | 105393 | 3.543 | 4.264 | 12.382 | 114.885 | 3.757 |
| W12 | 105391 | 0.264 | 0.327 | 5.153 | 3599788.129 | 1099.758 |
| R1 | 172215 | 0.340 | 7.679 | 10.974 | 123.983 | 1.429 |
| R2hit | 72602 | 0.058 | 0.066 | 0.876 | 13.960 | 0.103 |
| R2miss | 22984 | 3.479 | 3.992 | 5.609 | 101.063 | 3.020 |
| R3 | 3635 | 15.007 | 199979.901 | 199980.662 | 200005.852 | 32471.621 |
| R4 | 2756 | 0.512 | 0.688 | 1.047 | 8.686 | 0.550 |
| R6 | 170825 | 0.068 | 0.200 | 4.775 | 120.656 | 0.200 |
| R0_tls_h | 76629 | 0.021 | 0.091 | 1.151 | 99.909 | 0.082 |
