| Stage | N | p50 µs | p90 µs | p99 µs | max µs | mean µs |
|---|---|---|---|---|---|---|
| W1 | 106339 | 0.768 | 1.004 | 3.586 | 332.505 | 0.894 |
| W2 | 106322 | 0.152 | 0.247 | 0.407 | 18.993 | 0.189 |
| W3 | 106322 | 0.021 | 0.024 | 4.268 | 64.112 | 0.084 |
| W7 | 106322 | 0.030 | 0.033 | 0.804 | 251.245 | 0.066 |
| W8 | 106322 | 0.025 | 0.025 | 5.038 | 214.772 | 0.091 |
| W9 | 106322 | 0.018 | 0.020 | 0.028 | 18.758 | 0.026 |
| W10 | 106322 | 3.311 | 4.050 | 12.135 | 509.031 | 3.515 |
| W12 | 106320 | 0.260 | 0.307 | 19.520 | 26830.821 | 1.834 |
| R1 | 189949 | 0.354 | 7.258 | 10.812 | 177.369 | 1.340 |
| R2hit | 78358 | 0.059 | 0.067 | 0.434 | 17.417 | 0.101 |
| R2miss | 29432 | 3.219 | 3.928 | 4.980 | 20.988 | 2.431 |
| R3 | 5700 | 14.780 | 15.789 | 19.510 | 31.019 | 14.882 |
| R4 | 5186 | 0.635 | 0.886 | 1.234 | 8.866 | 0.674 |
| R6 | 184053 | 0.068 | 0.224 | 5.115 | 171.388 | 0.242 |
| R0_tls_h | 82159 | 0.021 | 0.074 | 1.173 | 47.634 | 0.079 |
