| Stage | N | p50 µs | p90 µs | p99 µs | max µs | mean µs |
|---|---|---|---|---|---|---|
| W1 | 133475 | 0.797 | 3.960 | 13.172 | 987.545 | 2.228 |
| W2 | 133465 | 0.148 | 0.430 | 1.632 | 101.762 | 0.249 |
| W3 | 133465 | 0.027 | 0.139 | 3.536 | 73.498 | 0.161 |
| W7 | 133465 | 0.035 | 0.039 | 0.686 | 170.153 | 0.096 |
| W8 | 133465 | 0.029 | 0.030 | 1.699 | 802.111 | 0.159 |
| W9 | 133465 | 0.022 | 0.024 | 0.035 | 78.095 | 0.044 |
| W10 | 133465 | 3.397 | 12.074 | 18.545 | 313.908 | 5.665 |
| W12 | 133432 | 0.324 | 1.891 | 8.274 | 15022.371 | 3.089 |
| R1 | 133475 | 7.405 | 11.270 | 17.821 | 156.924 | 5.436 |
| R2hit | 87359 | 0.079 | 0.188 | 0.402 | 49.652 | 0.140 |
| R2miss | 18934 | 2.730 | 4.686 | 8.262 | 72.135 | 3.075 |
| R3 | 202 | 12.223 | 204987.486 | 209994.085 | 209997.241 | 83786.973 |
| R4 | 107 | 0.300 | 0.393 | 0.535 | 0.544 | 0.311 |
| R6 | 133262 | 0.551 | 1.346 | 4.900 | 20029.515 | 8.731 |
| R0_tls_h | 27182 | 0.024 | 0.028 | 0.566 | 16.067 | 0.063 |
